#Coverage (X)	Coverage
1.0	98.95662642544227
2.0	98.77938668361034
3.0	98.08714844664415
4.0	97.98682406447514
5.0	97.92328528910143
6.0	97.86309065980002
7.0	97.50526703006388
8.0	97.02036584958032
9.0	96.73611343343477
10.0	96.07397251111928
11.0	95.67267498244323
12.0	95.52887670133431
13.0	95.34160452128549
14.0	95.08410527371835
15.0	94.98043674547704
16.0	94.79650871150052
17.0	94.59251580109019
18.0	94.45874995819817
19.0	94.40524362104136
20.0	94.37849045246296
21.0	94.02735511487141
22.0	93.8802126876902
23.0	93.73307026050898
24.0	93.63943417048456
25.0	93.51235661973715
26.0	93.27826639467612
27.0	93.00739056281978
28.0	92.93381934922917
29.0	92.85690398956626
30.0	92.82346252884327
31.0	92.56930742734843
32.0	92.27502257298599
33.0	92.09443868508177
34.0	91.98408186469585
35.0	91.82021870715313
36.0	91.63963481924891
37.0	91.53262214493529
38.0	91.48245995385079
39.0	91.36541484132027
40.0	91.15138949269304
41.0	91.04103267230713
42.0	90.8270073236799
43.0	90.61298197505268
44.0	90.44243052536535
45.0	90.25515834531653
46.0	90.0879510417015
47.0	89.96756178309869
48.0	89.76022472661606
49.0	89.65655619837474
50.0	89.52947864762733
51.0	89.47597231047052
