#Mapping quality	mapping quality
1.0	86.0
2.0	155.0
3.0	81.0
4.0	308.0
5.0	279.0
6.0	161.0
7.0	293.0
8.0	146.0
9.0	224.0
10.0	336.0
11.0	286.0
12.0	173.0
13.0	157.0
14.0	238.0
15.0	274.0
16.0	136.0
17.0	285.0
18.0	239.0
19.0	124.0
20.0	166.0
21.0	216.0
22.0	254.0
23.0	195.0
24.0	294.0
25.0	293.0
26.0	196.0
27.0	200.0
28.0	252.0
29.0	229.0
30.0	285.0
31.0	351.0
32.0	341.0
33.0	334.0
34.0	288.0
35.0	373.0
36.0	314.0
37.0	429.0
38.0	206.0
39.0	194.0
40.0	320.0
41.0	420.0
42.0	439.0
43.0	304.0
44.0	308.0
45.0	418.0
46.0	348.0
47.0	357.0
48.0	434.0
49.0	548.0
50.0	571.0
51.0	652.0
52.0	664.0
53.0	615.0
54.0	614.0
55.0	614.0
56.0	664.0
57.0	1005.0
58.0	2340.0
59.0	8232.0
60.0	644.0
