#Coverage	Number of genomic locations
0.0	10.0
1.0	5.0
2.0	2.0
3.0	4.0
4.0	4.0
7.0	4.0
11.0	1.0
12.0	2.0
13.0	1.0
19.0	1.0
52.0	1.0
53.0	2.0
54.0	5.0
55.0	4.0
56.0	2.0
57.0	2.0
58.0	2.0
59.0	7.0
60.0	5.0
61.0	1.0
62.0	3.0
63.0	1.0
64.0	3.0
65.0	4.0
66.0	2.0
67.0	1.0
68.0	2.0
69.0	1.0
70.0	2.0
71.0	1.0
75.0	1.0
77.0	1.0
78.0	1.0
79.0	1.0
87.0	1.0
99.0	1.0
112.0	5.0
113.0	1.0
114.0	2.0
115.0	2.0
116.0	1.0
117.0	1.0
119.0	1.0
120.0	2.0
121.0	1.0
122.0	2.0
123.0	2.0
124.0	3.0
125.0	11.0
126.0	7.0
127.0	13.0
128.0	4.0
129.0	2.0
130.0	1.0
131.0	2.0
132.0	3.0
134.0	1.0
137.0	1.0
138.0	3.0
140.0	2.0
141.0	4.0
142.0	1.0
145.0	2.0
146.0	1.0
149.0	2.0
150.0	4.0
151.0	2.0
152.0	2.0
154.0	1.0
155.0	3.0
156.0	1.0
158.0	2.0
162.0	1.0
163.0	1.0
164.0	2.0
167.0	1.0
168.0	3.0
170.0	1.0
172.0	1.0
175.0	1.0
180.0	1.0
183.0	1.0
214.0	1.0
217.0	3.0
219.0	2.0
221.0	1.0
224.0	1.0
226.0	1.0
232.0	2.0
233.0	3.0
234.0	2.0
235.0	1.0
236.0	5.0
237.0	3.0
238.0	2.0
239.0	1.0
240.0	2.0
241.0	3.0
243.0	8.0
244.0	2.0
245.0	7.0
246.0	4.0
247.0	6.0
248.0	3.0
249.0	4.0
250.0	9.0
251.0	9.0
252.0	3.0
253.0	2.0
258.0	1.0
262.0	1.0
263.0	1.0
265.0	1.0
266.0	2.0
267.0	1.0
269.0	1.0
270.0	1.0
272.0	1.0
273.0	2.0
277.0	1.0
280.0	1.0
281.0	1.0
282.0	1.0
283.0	1.0
284.0	1.0
285.0	1.0
288.0	1.0
289.0	1.0
290.0	1.0
293.0	2.0
296.0	1.0
297.0	1.0
299.0	1.0
300.0	1.0
301.0	4.0
302.0	4.0
303.0	5.0
304.0	1.0
305.0	1.0
307.0	3.0
310.0	6.0
312.0	1.0
313.0	2.0
314.0	3.0
315.0	4.0
316.0	2.0
317.0	2.0
318.0	4.0
319.0	3.0
320.0	5.0
322.0	1.0
324.0	2.0
325.0	2.0
326.0	2.0
330.0	2.0
331.0	1.0
332.0	2.0
333.0	2.0
334.0	1.0
335.0	1.0
336.0	1.0
337.0	4.0
338.0	3.0
339.0	1.0
340.0	1.0
342.0	1.0
343.0	1.0
344.0	1.0
345.0	1.0
347.0	2.0
348.0	3.0
349.0	1.0
352.0	2.0
353.0	1.0
355.0	4.0
356.0	1.0
359.0	2.0
360.0	1.0
361.0	3.0
362.0	1.0
363.0	2.0
364.0	2.0
365.0	1.0
366.0	1.0
367.0	1.0
368.0	1.0
369.0	4.0
370.0	3.0
371.0	1.0
372.0	1.0
373.0	2.0
374.0	2.0
376.0	1.0
377.0	2.0
379.0	2.0
380.0	2.0
382.0	1.0
383.0	1.0
384.0	2.0
386.0	1.0
388.0	1.0
389.0	1.0
394.0	1.0
395.0	1.0
396.0	1.0
398.0	1.0
400.0	1.0
403.0	1.0
411.0	1.0
412.0	1.0
414.0	2.0
415.0	2.0
416.0	2.0
417.0	1.0
418.0	1.0
421.0	1.0
430.0	1.0
431.0	1.0
433.0	1.0
434.0	4.0
435.0	5.0
436.0	6.0
437.0	9.0
438.0	5.0
439.0	11.0
440.0	7.0
441.0	6.0
442.0	9.0
443.0	8.0
444.0	5.0
445.0	2.0
446.0	11.0
447.0	5.0
448.0	6.0
