#Insert size (bp)	insert size
36.0	2.0
38.0	4.0
40.0	12.0
41.0	8.0
42.0	8.0
43.0	13.0
44.0	5.0
45.0	24.0
46.0	30.0
47.0	33.0
48.0	26.0
49.0	31.0
50.0	39.0
51.0	66.0
52.0	42.0
53.0	55.0
54.0	80.0
55.0	59.0
56.0	96.0
57.0	114.0
58.0	149.0
59.0	135.0
60.0	199.0
61.0	129.0
62.0	260.0
63.0	367.0
64.0	351.0
65.0	327.0
66.0	313.0
67.0	352.0
68.0	446.0
69.0	577.0
70.0	568.0
71.0	559.0
72.0	947.0
73.0	738.0
74.0	787.0
75.0	721.0
76.0	553.0
77.0	530.0
78.0	483.0
79.0	561.0
80.0	892.0
81.0	654.0
82.0	604.0
83.0	646.0
84.0	791.0
85.0	794.0
86.0	797.0
87.0	638.0
88.0	664.0
89.0	570.0
90.0	632.0
91.0	545.0
92.0	640.0
93.0	580.0
94.0	686.0
95.0	644.0
96.0	530.0
97.0	628.0
98.0	603.0
99.0	674.0
100.0	697.0
101.0	595.0
102.0	984.0
103.0	742.0
104.0	937.0
105.0	936.0
106.0	844.0
107.0	1208.0
108.0	1549.0
109.0	1518.0
110.0	1315.0
111.0	2636.0
112.0	1773.0
113.0	3496.0
114.0	2481.0
115.0	1464.0
116.0	4343.0
117.0	1819.0
118.0	2531.0
119.0	1597.0
120.0	1268.0
121.0	1822.0
122.0	1271.0
123.0	1262.0
124.0	1083.0
125.0	889.0
126.0	900.0
127.0	1122.0
128.0	1026.0
129.0	1225.0
130.0	1210.0
131.0	1239.0
132.0	1219.0
133.0	1515.0
134.0	1522.0
135.0	1386.0
136.0	2177.0
137.0	1834.0
138.0	1804.0
139.0	1454.0
140.0	2812.0
141.0	3542.0
142.0	1921.0
143.0	2043.0
144.0	3823.0
145.0	3466.0
146.0	4003.0
147.0	3881.0
148.0	5724.0
149.0	5746.0
150.0	7251.0
151.0	40079.0
152.0	42784.0
153.0	59334.0
154.0	42166.0
155.0	49379.0
156.0	43368.0
157.0	45806.0
158.0	38528.0
159.0	28966.0
160.0	36646.0
161.0	39116.0
162.0	38846.0
163.0	47790.0
164.0	70151.0
165.0	37084.0
166.0	42964.0
167.0	32989.0
168.0	38685.0
169.0	33515.0
170.0	29818.0
171.0	47562.0
172.0	36921.0
173.0	45108.0
174.0	32307.0
175.0	31925.0
176.0	26637.0
177.0	37043.0
178.0	27997.0
179.0	31640.0
180.0	29074.0
181.0	34791.0
182.0	28945.0
183.0	29244.0
184.0	27335.0
185.0	34258.0
186.0	34757.0
187.0	23373.0
188.0	31582.0
189.0	30712.0
190.0	27264.0
191.0	27494.0
192.0	26345.0
193.0	33494.0
194.0	35734.0
195.0	41719.0
196.0	33594.0
197.0	32017.0
198.0	31306.0
199.0	28706.0
200.0	25678.0
201.0	25328.0
202.0	27783.0
203.0	27635.0
204.0	25222.0
205.0	26811.0
206.0	40244.0
207.0	40517.0
208.0	31826.0
209.0	29459.0
210.0	33717.0
211.0	33250.0
212.0	27811.0
213.0	28885.0
214.0	30398.0
215.0	30182.0
216.0	29274.0
217.0	32399.0
218.0	26909.0
219.0	20862.0
220.0	24324.0
221.0	24611.0
222.0	25196.0
223.0	32545.0
224.0	26766.0
225.0	28733.0
226.0	26310.0
227.0	22980.0
228.0	21353.0
229.0	22104.0
230.0	23566.0
231.0	23472.0
232.0	19990.0
233.0	21522.0
234.0	18288.0
235.0	20069.0
236.0	23606.0
237.0	19295.0
238.0	23432.0
239.0	20264.0
240.0	25085.0
241.0	24356.0
