#GC Content (%)	Sample
1.0	9.369059430754687E-7
2.0	9.369059430754687E-7
3.0	0.0
4.0	9.369059430754687E-7
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	9.369059430754687E-7
11.0	0.0
12.0	9.369059430754687E-7
13.0	0.0
14.0	0.0
15.0	9.369059430754687E-7
16.0	0.0
17.0	9.369059430754687E-7
18.0	9.369059430754687E-7
19.0	0.0
20.0	3.7476237723018747E-6
21.0	0.0
22.0	9.369059430754687E-7
23.0	1.8738118861509373E-6
24.0	9.369059430754687E-7
25.0	1.1242871316905625E-5
26.0	1.49904950892075E-4
27.0	6.567710660959035E-4
28.0	5.65891189617583E-4
29.0	6.117995808282811E-4
30.0	0.0013528921818009767
31.0	0.0015393364644729949
32.0	0.002196107530568899
33.0	0.0062276138036226406
34.0	0.015141336946042652
35.0	0.021805548919138457
36.0	0.029927586539659698
37.0	0.03739472690597118
38.0	0.03990469792747036
39.0	0.023838634815612228
40.0	0.0342813884571314
41.0	0.02888293641313055
42.0	0.030430705031091222
43.0	0.05288365595689482
44.0	0.07116831234195568
45.0	0.07659299775236264
46.0	0.10674263100053122
47.0	0.1723803875605124
48.0	0.08492958683384817
49.0	0.03607931096189322
50.0	0.029209916587263886
51.0	0.026040363781839576
52.0	0.018436435147839072
53.0	0.04157239050614469
54.0	0.006312872244442508
55.0	0.0016377115884959196
56.0	7.588938138911297E-4
57.0	1.5646329249360334E-4
58.0	8.338462893371671E-5
59.0	2.6233366406113127E-5
60.0	2.4359554519962183E-5
61.0	9.369059430754687E-7
62.0	2.8107178292264062E-6
63.0	0.0
64.0	9.369059430754687E-7
65.0	0.0
66.0	1.8738118861509373E-6
67.0	3.7476237723018747E-6
68.0	0.0
69.0	0.0
70.0	9.369059430754687E-7
71.0	0.0
72.0	9.369059430754687E-7
73.0	1.8738118861509373E-6
74.0	0.0
75.0	1.8738118861509373E-6
76.0	0.0
77.0	9.369059430754687E-7
78.0	1.8738118861509373E-6
79.0	0.0
80.0	4.684529715377344E-6
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	6.558341601528281E-6
