#Coverage	Number of genomic locations
4.0	12.0
5.0	50.0
6.0	73.0
7.0	16.0
8.0	40.0
9.0	14.0
10.0	5.0
11.0	31.0
12.0	58.0
13.0	14.0
14.0	37.0
15.0	84.0
16.0	73.0
17.0	54.0
18.0	27.0
19.0	81.0
20.0	61.0
21.0	32.0
22.0	20.0
23.0	8.0
24.0	41.0
25.0	48.0
26.0	29.0
27.0	51.0
28.0	56.0
29.0	29.0
30.0	35.0
31.0	36.0
32.0	39.0
33.0	71.0
34.0	55.0
35.0	44.0
36.0	36.0
37.0	27.0
38.0	17.0
39.0	37.0
40.0	32.0
41.0	37.0
42.0	19.0
43.0	15.0
44.0	5.0
45.0	4.0
46.0	13.0
47.0	12.0
48.0	7.0
49.0	14.0
50.0	7.0
51.0	8.0
52.0	10.0
53.0	15.0
54.0	25.0
55.0	21.0
56.0	27.0
57.0	19.0
58.0	25.0
59.0	42.0
60.0	41.0
61.0	32.0
62.0	16.0
63.0	20.0
64.0	49.0
65.0	47.0
66.0	45.0
67.0	51.0
68.0	64.0
69.0	60.0
70.0	75.0
71.0	60.0
72.0	70.0
73.0	44.0
74.0	43.0
75.0	61.0
76.0	65.0
77.0	67.0
78.0	69.0
79.0	53.0
80.0	87.0
81.0	85.0
82.0	79.0
83.0	43.0
84.0	62.0
85.0	38.0
86.0	36.0
87.0	36.0
88.0	37.0
89.0	41.0
90.0	64.0
91.0	52.0
92.0	76.0
93.0	74.0
94.0	64.0
95.0	37.0
96.0	34.0
97.0	56.0
98.0	47.0
99.0	52.0
100.0	53.0
101.0	66.0
102.0	33.0
103.0	18.0
104.0	20.0
105.0	19.0
106.0	33.0
107.0	30.0
108.0	19.0
109.0	10.0
110.0	31.0
111.0	19.0
112.0	9.0
113.0	10.0
114.0	11.0
115.0	4.0
116.0	11.0
117.0	11.0
118.0	11.0
119.0	16.0
120.0	18.0
121.0	10.0
122.0	30.0
123.0	24.0
124.0	25.0
125.0	21.0
126.0	11.0
127.0	16.0
128.0	21.0
129.0	22.0
130.0	19.0
131.0	24.0
132.0	33.0
133.0	25.0
134.0	27.0
135.0	27.0
136.0	27.0
137.0	27.0
138.0	26.0
139.0	35.0
140.0	34.0
141.0	31.0
142.0	39.0
143.0	43.0
144.0	56.0
145.0	57.0
146.0	35.0
147.0	59.0
148.0	70.0
149.0	53.0
150.0	49.0
151.0	67.0
152.0	51.0
153.0	35.0
154.0	41.0
155.0	45.0
