#Insert size (bp)	insert size
37.0	1.0
38.0	3.0
39.0	9.0
40.0	13.0
41.0	17.0
42.0	8.0
43.0	4.0
44.0	5.0
45.0	6.0
46.0	1.0
47.0	1.0
48.0	2.0
49.0	2.0
50.0	2.0
51.0	2.0
52.0	4.0
53.0	4.0
54.0	4.0
55.0	1.0
56.0	6.0
57.0	3.0
58.0	6.0
59.0	2.0
60.0	4.0
61.0	10.0
62.0	4.0
63.0	2.0
64.0	14.0
65.0	9.0
66.0	9.0
67.0	6.0
68.0	6.0
69.0	11.0
70.0	9.0
71.0	22.0
72.0	11.0
73.0	22.0
74.0	14.0
75.0	5.0
76.0	16.0
77.0	19.0
78.0	16.0
79.0	31.0
80.0	12.0
81.0	23.0
82.0	11.0
83.0	23.0
84.0	24.0
85.0	26.0
86.0	37.0
87.0	34.0
88.0	21.0
89.0	38.0
90.0	30.0
91.0	27.0
92.0	40.0
93.0	40.0
94.0	48.0
95.0	35.0
96.0	49.0
97.0	33.0
98.0	78.0
99.0	41.0
100.0	44.0
101.0	35.0
102.0	35.0
103.0	41.0
104.0	28.0
105.0	34.0
106.0	29.0
107.0	37.0
108.0	41.0
109.0	52.0
110.0	30.0
111.0	30.0
112.0	32.0
113.0	51.0
114.0	49.0
115.0	56.0
116.0	60.0
117.0	32.0
118.0	49.0
119.0	39.0
120.0	42.0
121.0	57.0
122.0	47.0
123.0	47.0
124.0	48.0
125.0	38.0
126.0	33.0
127.0	38.0
128.0	44.0
129.0	54.0
130.0	54.0
131.0	47.0
132.0	39.0
133.0	45.0
134.0	46.0
135.0	61.0
136.0	46.0
137.0	51.0
138.0	59.0
139.0	46.0
140.0	52.0
141.0	51.0
142.0	57.0
143.0	57.0
144.0	511.0
145.0	560.0
146.0	511.0
147.0	547.0
148.0	656.0
149.0	694.0
150.0	1707.0
151.0	13113.0
152.0	12383.0
153.0	10969.0
154.0	11194.0
155.0	11171.0
156.0	12169.0
157.0	11552.0
158.0	10826.0
159.0	7159.0
160.0	7017.0
161.0	6981.0
162.0	7143.0
163.0	6978.0
164.0	6978.0
165.0	7035.0
166.0	7144.0
167.0	7160.0
168.0	7069.0
169.0	6968.0
170.0	6891.0
171.0	7250.0
172.0	7141.0
173.0	6778.0
174.0	6964.0
175.0	6859.0
176.0	6719.0
177.0	7077.0
178.0	6613.0
179.0	6567.0
180.0	6556.0
181.0	6531.0
182.0	6878.0
183.0	6340.0
184.0	6173.0
185.0	6665.0
186.0	6586.0
187.0	6294.0
188.0	6356.0
189.0	6136.0
190.0	6231.0
191.0	6234.0
192.0	6066.0
193.0	6289.0
194.0	6131.0
195.0	6057.0
196.0	6179.0
197.0	6029.0
198.0	5928.0
199.0	5896.0
200.0	5724.0
201.0	5926.0
202.0	5666.0
203.0	5782.0
204.0	5820.0
205.0	5705.0
206.0	5661.0
207.0	5512.0
208.0	6014.0
209.0	5409.0
210.0	5684.0
211.0	5719.0
212.0	5243.0
213.0	5700.0
214.0	5515.0
215.0	5235.0
216.0	5275.0
217.0	5341.0
218.0	5296.0
219.0	5011.0
220.0	5409.0
221.0	5077.0
222.0	5053.0
223.0	5028.0
224.0	5037.0
225.0	4979.0
226.0	4858.0
227.0	4748.0
228.0	4655.0
229.0	4970.0
230.0	4844.0
231.0	4742.0
232.0	4710.0
233.0	4611.0
234.0	4659.0
235.0	4324.0
236.0	4982.0
237.0	4503.0
238.0	4400.0
239.0	4307.0
240.0	4281.0
241.0	4072.0
242.0	3995.0
243.0	4055.0
244.0	4021.0
245.0	4023.0
246.0	3954.0
247.0	4256.0
248.0	3886.0
249.0	3886.0
250.0	3773.0
251.0	3988.0
252.0	3695.0
253.0	3935.0
254.0	3815.0
255.0	3663.0
256.0	3597.0
257.0	3703.0
258.0	3677.0
259.0	3886.0
260.0	3604.0
261.0	3523.0
262.0	3440.0
263.0	3468.0
264.0	3515.0
265.0	3382.0
266.0	3232.0
267.0	3195.0
268.0	3223.0
269.0	3233.0
270.0	3383.0
271.0	3136.0
272.0	3015.0
273.0	3094.0
274.0	3048.0
275.0	3116.0
276.0	2954.0
277.0	2910.0
278.0	2812.0
279.0	2941.0
280.0	2963.0
281.0	3001.0
282.0	2764.0
283.0	2701.0
284.0	2832.0
285.0	2758.0
286.0	2768.0
287.0	2592.0
288.0	2578.0
289.0	2576.0
290.0	2614.0
291.0	2523.0
292.0	2524.0
293.0	2503.0
294.0	2412.0
295.0	2463.0
296.0	2487.0
297.0	2250.0
298.0	2331.0
299.0	2271.0
300.0	2210.0
301.0	2232.0
302.0	2181.0
303.0	2194.0
304.0	2156.0
305.0	2109.0
306.0	2071.0
307.0	2056.0
308.0	2037.0
309.0	2216.0
310.0	2244.0
311.0	2075.0
312.0	2179.0
313.0	2101.0
314.0	2060.0
315.0	1913.0
316.0	1839.0
317.0	1880.0
318.0	1782.0
319.0	1725.0
320.0	1744.0
321.0	1692.0
322.0	1730.0
323.0	1729.0
324.0	1657.0
325.0	1601.0
326.0	1627.0
327.0	1643.0
328.0	1561.0
329.0	1604.0
330.0	1577.0
331.0	1489.0
332.0	1488.0
333.0	1480.0
334.0	1404.0
335.0	1424.0
336.0	1423.0
337.0	1481.0
338.0	1459.0
339.0	1340.0
340.0	1351.0
341.0	1296.0
342.0	1301.0
343.0	1284.0
344.0	1263.0
345.0	1304.0
346.0	1248.0
347.0	1319.0
348.0	1244.0
349.0	1222.0
350.0	1239.0
351.0	1229.0
352.0	1202.0
353.0	1170.0
354.0	1228.0
355.0	1219.0
356.0	1213.0
357.0	1183.0
358.0	1145.0
359.0	1146.0
360.0	1150.0
361.0	1084.0
362.0	1107.0
363.0	1143.0
364.0	1198.0
365.0	1173.0
366.0	1199.0
367.0	1231.0
368.0	1087.0
369.0	1087.0
370.0	1093.0
371.0	1494.0
372.0	1307.0
373.0	1948.0
374.0	1352.0
375.0	1144.0
376.0	1189.0
377.0	1483.0
378.0	1123.0
379.0	1051.0
380.0	955.0
381.0	768.0
382.0	2270.0
383.0	761.0
384.0	781.0
385.0	983.0
386.0	679.0
387.0	619.0
388.0	573.0
389.0	552.0
390.0	664.0
391.0	564.0
392.0	468.0
393.0	466.0
394.0	471.0
395.0	364.0
396.0	339.0
397.0	320.0
398.0	290.0
399.0	273.0
400.0	266.0
401.0	285.0
402.0	211.0
403.0	190.0
404.0	218.0
405.0	179.0
406.0	162.0
407.0	165.0
408.0	157.0
409.0	130.0
410.0	136.0
411.0	161.0
412.0	139.0
413.0	115.0
414.0	125.0
415.0	133.0
416.0	116.0
417.0	98.0
418.0	105.0
419.0	99.0
420.0	102.0
421.0	96.0
422.0	86.0
423.0	94.0
424.0	97.0
425.0	96.0
426.0	82.0
427.0	85.0
428.0	87.0
429.0	73.0
430.0	62.0
431.0	92.0
432.0	87.0
433.0	78.0
434.0	83.0
435.0	65.0
436.0	81.0
437.0	63.0
438.0	58.0
439.0	71.0
440.0	70.0
441.0	57.0
442.0	61.0
443.0	55.0
444.0	62.0
445.0	62.0
446.0	57.0
447.0	45.0
448.0	50.0
449.0	57.0
450.0	68.0
451.0	80.0
452.0	58.0
453.0	56.0
454.0	61.0
455.0	52.0
456.0	64.0
457.0	67.0
458.0	49.0
459.0	58.0
460.0	60.0
461.0	55.0
462.0	55.0
463.0	52.0
464.0	45.0
465.0	48.0
466.0	56.0
467.0	46.0
468.0	55.0
469.0	49.0
470.0	47.0
471.0	51.0
472.0	63.0
473.0	57.0
474.0	51.0
475.0	46.0
476.0	58.0
477.0	57.0
478.0	52.0
479.0	35.0
480.0	62.0
481.0	57.0
482.0	53.0
483.0	39.0
484.0	85.0
485.0	60.0
486.0	54.0
487.0	42.0
488.0	39.0
489.0	31.0
490.0	42.0
491.0	28.0
492.0	40.0
493.0	46.0
494.0	32.0
495.0	38.0
496.0	35.0
497.0	26.0
498.0	36.0
499.0	24.0
500.0	29.0
501.0	42.0
502.0	22.0
503.0	64.0
504.0	43.0
505.0	71.0
506.0	48.0
507.0	54.0
508.0	37.0
509.0	56.0
510.0	63.0
511.0	36.0
512.0	35.0
513.0	22.0
514.0	36.0
515.0	44.0
516.0	28.0
517.0	44.0
518.0	30.0
519.0	29.0
520.0	15.0
521.0	18.0
522.0	22.0
523.0	22.0
524.0	22.0
525.0	28.0
526.0	33.0
527.0	24.0
528.0	34.0
529.0	26.0
530.0	14.0
531.0	28.0
532.0	23.0
533.0	23.0
534.0	31.0
535.0	22.0
536.0	19.0
537.0	16.0
538.0	29.0
539.0	21.0
540.0	19.0
541.0	15.0
542.0	11.0
543.0	20.0
544.0	16.0
545.0	20.0
546.0	21.0
547.0	21.0
548.0	26.0
549.0	35.0
550.0	22.0
551.0	14.0
552.0	16.0
