#Mapping quality	mapping quality
2.0	1.0
3.0	42.0
4.0	28.0
5.0	24.0
6.0	28.0
7.0	35.0
8.0	48.0
9.0	89.0
10.0	47.0
11.0	25.0
12.0	13.0
13.0	22.0
14.0	42.0
15.0	176.0
16.0	45.0
17.0	111.0
18.0	133.0
19.0	105.0
20.0	91.0
21.0	76.0
22.0	54.0
23.0	120.0
24.0	118.0
25.0	55.0
26.0	80.0
27.0	54.0
28.0	95.0
29.0	65.0
30.0	103.0
31.0	131.0
32.0	181.0
33.0	163.0
34.0	105.0
35.0	115.0
36.0	112.0
37.0	125.0
38.0	106.0
39.0	85.0
40.0	47.0
41.0	64.0
42.0	56.0
43.0	77.0
44.0	70.0
45.0	89.0
46.0	92.0
47.0	127.0
48.0	267.0
49.0	200.0
50.0	180.0
51.0	162.0
52.0	134.0
53.0	174.0
54.0	274.0
55.0	258.0
56.0	399.0
57.0	723.0
58.0	1094.0
59.0	12792.0
60.0	9576.0
