#Duplication rate	Coverage
1.0	462.0
2.0	561.0
3.0	581.0
4.0	597.0
5.0	548.0
6.0	543.0
7.0	509.0
8.0	499.0
9.0	434.0
10.0	432.0
11.0	396.0
12.0	387.0
13.0	398.0
14.0	372.0
15.0	376.0
16.0	337.0
17.0	320.0
18.0	314.0
19.0	295.0
20.0	324.0
21.0	300.0
22.0	294.0
23.0	273.0
24.0	318.0
25.0	299.0
26.0	295.0
27.0	265.0
28.0	264.0
29.0	238.0
30.0	272.0
31.0	233.0
32.0	258.0
33.0	266.0
34.0	241.0
35.0	218.0
36.0	238.0
37.0	259.0
38.0	192.0
39.0	259.0
40.0	232.0
41.0	212.0
42.0	202.0
43.0	209.0
44.0	224.0
45.0	210.0
46.0	208.0
47.0	197.0
48.0	189.0
49.0	190.0
50.0	13875.0
