#Coverage (X)	Coverage
1.0	100.0
2.0	100.0
3.0	100.0
4.0	100.0
5.0	100.0
6.0	100.0
7.0	100.0
8.0	100.0
9.0	100.0
10.0	100.0
11.0	100.0
12.0	100.0
13.0	100.0
14.0	100.0
15.0	100.0
16.0	100.0
17.0	100.0
18.0	99.9966558539277
19.0	99.9966558539277
20.0	99.9966558539277
21.0	99.9966558539277
22.0	99.9933117078554
23.0	99.9866234157108
24.0	99.9866234157108
25.0	99.9832792696385
26.0	99.9799351235662
27.0	99.9765909774939
28.0	99.9765909774939
29.0	99.9765909774939
30.0	99.97324683142159
31.0	99.9699026853493
32.0	99.9632143932047
33.0	99.9632143932047
34.0	99.9632143932047
35.0	99.9632143932047
36.0	99.9632143932047
37.0	99.95652610106009
38.0	99.93646122462629
39.0	99.92642878640939
40.0	99.92642878640939
41.0	99.92642878640939
42.0	99.92642878640939
43.0	99.9230846403371
44.0	99.9230846403371
45.0	99.9230846403371
46.0	99.91639634819249
47.0	99.91305220212018
48.0	99.91305220212018
49.0	99.90970805604789
50.0	99.899675617831
51.0	99.899675617831
