#Coverage	Number of genomic locations
12.0	35.0
13.0	40.0
14.0	49.0
15.0	1.0
16.0	5.0
17.0	2.0
18.0	4.0
19.0	13.0
20.0	5.0
21.0	13.0
22.0	22.0
23.0	16.0
24.0	16.0
25.0	1.0
26.0	1.0
32.0	1.0
33.0	9.0
34.0	3.0
35.0	4.0
37.0	1.0
38.0	4.0
39.0	5.0
40.0	3.0
41.0	3.0
42.0	3.0
44.0	11.0
45.0	9.0
46.0	22.0
47.0	29.0
48.0	16.0
49.0	18.0
50.0	8.0
51.0	19.0
52.0	11.0
53.0	10.0
54.0	36.0
55.0	20.0
56.0	20.0
57.0	9.0
58.0	1.0
61.0	4.0
62.0	4.0
63.0	1.0
69.0	1.0
73.0	1.0
80.0	1.0
81.0	1.0
83.0	1.0
84.0	5.0
85.0	9.0
86.0	11.0
87.0	8.0
88.0	7.0
89.0	4.0
90.0	1.0
91.0	1.0
92.0	1.0
93.0	9.0
94.0	14.0
95.0	3.0
96.0	2.0
97.0	1.0
98.0	2.0
100.0	5.0
102.0	2.0
103.0	2.0
104.0	4.0
105.0	7.0
106.0	11.0
107.0	2.0
108.0	6.0
109.0	2.0
110.0	3.0
111.0	8.0
112.0	6.0
113.0	5.0
114.0	10.0
115.0	1.0
116.0	3.0
117.0	3.0
118.0	4.0
119.0	1.0
120.0	1.0
121.0	5.0
122.0	2.0
123.0	3.0
124.0	4.0
126.0	1.0
128.0	5.0
129.0	2.0
131.0	4.0
133.0	4.0
134.0	13.0
135.0	9.0
136.0	7.0
137.0	12.0
138.0	13.0
139.0	12.0
140.0	19.0
141.0	17.0
142.0	10.0
143.0	10.0
144.0	15.0
145.0	16.0
146.0	4.0
147.0	5.0
148.0	8.0
149.0	5.0
150.0	7.0
151.0	9.0
152.0	3.0
153.0	6.0
154.0	5.0
155.0	13.0
156.0	15.0
157.0	24.0
158.0	21.0
159.0	5.0
160.0	10.0
161.0	10.0
162.0	5.0
163.0	10.0
164.0	9.0
165.0	5.0
166.0	3.0
167.0	9.0
168.0	5.0
169.0	1.0
171.0	7.0
172.0	1.0
173.0	4.0
174.0	2.0
175.0	4.0
176.0	3.0
186.0	1.0
190.0	1.0
211.0	1.0
228.0	1.0
231.0	2.0
232.0	1.0
233.0	1.0
234.0	3.0
235.0	1.0
236.0	3.0
237.0	6.0
238.0	6.0
239.0	4.0
240.0	4.0
241.0	1.0
242.0	3.0
246.0	1.0
247.0	2.0
248.0	3.0
249.0	1.0
250.0	3.0
251.0	3.0
252.0	7.0
253.0	3.0
254.0	13.0
255.0	2.0
256.0	3.0
259.0	2.0
260.0	1.0
266.0	3.0
268.0	2.0
269.0	1.0
271.0	2.0
272.0	2.0
274.0	3.0
275.0	1.0
278.0	1.0
279.0	2.0
280.0	5.0
281.0	3.0
282.0	2.0
283.0	3.0
284.0	4.0
285.0	2.0
286.0	1.0
287.0	8.0
288.0	6.0
289.0	10.0
290.0	7.0
291.0	7.0
292.0	10.0
293.0	11.0
294.0	12.0
295.0	9.0
296.0	6.0
297.0	2.0
298.0	5.0
299.0	7.0
300.0	5.0
301.0	2.0
302.0	2.0
305.0	1.0
308.0	2.0
309.0	4.0
310.0	5.0
311.0	7.0
312.0	7.0
314.0	2.0
315.0	5.0
316.0	2.0
317.0	2.0
318.0	2.0
319.0	9.0
320.0	4.0
321.0	2.0
322.0	2.0
323.0	3.0
324.0	3.0
325.0	5.0
326.0	3.0
327.0	3.0
328.0	6.0
329.0	7.0
330.0	6.0
331.0	13.0
332.0	7.0
333.0	10.0
334.0	11.0
335.0	11.0
336.0	9.0
337.0	7.0
338.0	9.0
339.0	11.0
340.0	12.0
341.0	7.0
342.0	9.0
343.0	10.0
344.0	8.0
345.0	2.0
346.0	9.0
347.0	3.0
348.0	3.0
349.0	5.0
350.0	5.0
351.0	6.0
352.0	2.0
353.0	3.0
354.0	5.0
355.0	6.0
356.0	4.0
357.0	1.0
358.0	4.0
359.0	2.0
360.0	1.0
361.0	4.0
362.0	5.0
363.0	3.0
364.0	3.0
365.0	4.0
366.0	2.0
367.0	9.0
368.0	4.0
369.0	5.0
370.0	12.0
371.0	11.0
372.0	6.0
373.0	4.0
374.0	5.0
375.0	7.0
376.0	2.0
379.0	1.0
380.0	1.0
381.0	3.0
