#Duplication rate	Coverage
1.0	131.0
2.0	154.0
3.0	243.0
4.0	248.0
5.0	272.0
6.0	273.0
7.0	263.0
8.0	241.0
9.0	269.0
10.0	275.0
11.0	231.0
12.0	261.0
13.0	264.0
14.0	247.0
15.0	242.0
16.0	266.0
17.0	253.0
18.0	239.0
19.0	251.0
20.0	214.0
21.0	255.0
22.0	226.0
23.0	203.0
24.0	217.0
25.0	229.0
26.0	194.0
27.0	207.0
28.0	191.0
29.0	213.0
30.0	193.0
31.0	188.0
32.0	189.0
33.0	191.0
34.0	175.0
35.0	171.0
36.0	170.0
37.0	183.0
38.0	178.0
39.0	182.0
40.0	167.0
41.0	158.0
42.0	149.0
43.0	157.0
44.0	151.0
45.0	160.0
46.0	150.0
47.0	160.0
48.0	138.0
49.0	125.0
50.0	19702.0
