#Coverage	Number of genomic locations
0.0	399.0
1.0	24.0
2.0	199.0
3.0	42.0
4.0	234.0
5.0	49.0
6.0	169.0
7.0	108.0
8.0	25.0
9.0	30.0
10.0	27.0
11.0	19.0
12.0	25.0
13.0	26.0
14.0	10.0
15.0	39.0
16.0	23.0
17.0	37.0
18.0	29.0
19.0	36.0
20.0	32.0
21.0	30.0
22.0	96.0
23.0	61.0
24.0	51.0
25.0	39.0
26.0	16.0
27.0	46.0
28.0	28.0
29.0	46.0
30.0	41.0
31.0	33.0
32.0	37.0
33.0	28.0
34.0	35.0
35.0	50.0
36.0	69.0
37.0	85.0
38.0	63.0
39.0	64.0
40.0	62.0
41.0	45.0
42.0	51.0
43.0	77.0
44.0	109.0
45.0	72.0
46.0	49.0
47.0	42.0
48.0	50.0
49.0	63.0
50.0	66.0
51.0	68.0
52.0	45.0
53.0	57.0
54.0	54.0
55.0	58.0
56.0	70.0
57.0	52.0
58.0	63.0
59.0	59.0
60.0	43.0
61.0	45.0
62.0	31.0
63.0	28.0
64.0	52.0
65.0	30.0
66.0	51.0
67.0	62.0
68.0	75.0
69.0	71.0
70.0	52.0
71.0	63.0
72.0	57.0
73.0	42.0
74.0	50.0
75.0	45.0
76.0	60.0
77.0	38.0
78.0	54.0
79.0	54.0
80.0	49.0
81.0	57.0
82.0	80.0
83.0	75.0
84.0	63.0
85.0	61.0
86.0	76.0
87.0	67.0
88.0	80.0
89.0	83.0
90.0	90.0
91.0	91.0
92.0	96.0
93.0	102.0
94.0	108.0
95.0	87.0
96.0	122.0
97.0	108.0
98.0	97.0
99.0	90.0
100.0	94.0
101.0	81.0
102.0	73.0
103.0	68.0
104.0	47.0
105.0	63.0
106.0	75.0
107.0	74.0
108.0	113.0
109.0	90.0
110.0	94.0
111.0	93.0
112.0	106.0
113.0	112.0
114.0	130.0
115.0	107.0
116.0	91.0
117.0	108.0
118.0	138.0
119.0	96.0
120.0	83.0
121.0	90.0
122.0	89.0
123.0	91.0
124.0	101.0
125.0	99.0
126.0	93.0
127.0	118.0
128.0	128.0
129.0	155.0
130.0	161.0
131.0	127.0
132.0	134.0
133.0	109.0
134.0	128.0
135.0	132.0
136.0	146.0
137.0	148.0
138.0	155.0
139.0	181.0
140.0	192.0
141.0	167.0
142.0	157.0
143.0	171.0
144.0	176.0
145.0	187.0
146.0	212.0
147.0	209.0
148.0	174.0
149.0	180.0
150.0	161.0
151.0	163.0
152.0	197.0
153.0	174.0
154.0	169.0
155.0	226.0
156.0	252.0
157.0	236.0
158.0	261.0
159.0	276.0
160.0	216.0
161.0	271.0
162.0	270.0
163.0	247.0
164.0	264.0
165.0	197.0
166.0	218.0
167.0	223.0
168.0	231.0
169.0	223.0
170.0	227.0
171.0	235.0
172.0	237.0
173.0	265.0
174.0	246.0
175.0	265.0
176.0	265.0
177.0	237.0
178.0	256.0
179.0	250.0
180.0	254.0
181.0	262.0
182.0	255.0
183.0	252.0
184.0	248.0
185.0	257.0
186.0	227.0
187.0	273.0
188.0	295.0
189.0	280.0
190.0	285.0
191.0	259.0
192.0	268.0
193.0	236.0
194.0	263.0
195.0	264.0
196.0	273.0
197.0	240.0
198.0	249.0
199.0	234.0
200.0	242.0
201.0	222.0
202.0	286.0
203.0	267.0
204.0	236.0
205.0	236.0
206.0	224.0
207.0	222.0
208.0	201.0
209.0	196.0
210.0	154.0
211.0	176.0
212.0	159.0
213.0	162.0
214.0	181.0
215.0	189.0
216.0	160.0
217.0	145.0
218.0	132.0
219.0	137.0
220.0	126.0
221.0	84.0
222.0	83.0
223.0	76.0
224.0	74.0
225.0	63.0
226.0	37.0
227.0	39.0
228.0	49.0
229.0	42.0
230.0	30.0
231.0	51.0
232.0	52.0
233.0	46.0
234.0	52.0
235.0	56.0
236.0	44.0
237.0	36.0
238.0	27.0
239.0	38.0
240.0	36.0
241.0	32.0
242.0	16.0
243.0	25.0
244.0	18.0
245.0	19.0
246.0	15.0
247.0	13.0
248.0	8.0
249.0	5.0
250.0	6.0
251.0	1.0
252.0	2.0
