#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	2.1992522542335605E-4
23.0	0.0
24.0	0.0
25.0	4.398504508467121E-4
26.0	0.0013195513525401364
27.0	0.0019793270288102046
28.0	0.0030789531559269846
29.0	0.005718055861007257
30.0	0.011875962172861227
31.0	0.01847371893556191
32.0	0.03430833516604355
33.0	0.04926325049483176
34.0	0.07345502529140092
35.0	0.0785133054761381
36.0	0.0945678469320431
37.0	0.10072575324389707
38.0	0.09390807125577302
39.0	0.084011436111722
40.0	0.06751704420497032
41.0	0.06597756762700682
42.0	0.054541455904992306
43.0	0.03298878381350341
44.0	0.02573125137453266
45.0	0.017374092808445128
46.0	0.020892896415218826
47.0	0.018253793710138556
48.0	0.010556410820321094
49.0	0.009236859467780953
50.0	0.008137233340664173
51.0	0.007257532438970749
52.0	0.006377831537277325
53.0	0.0021992522542335605
54.0	2.1992522542335605E-4
55.0	2.1992522542335605E-4
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	2.1992522542335605E-4
68.0	0.0
69.0	0.0
70.0	2.1992522542335605E-4
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	2.1992522542335605E-4
