#Coverage (X)	Coverage
1.0	99.42815102163662
2.0	99.2308464033709
3.0	99.09708056047889
4.0	98.98337959402066
5.0	98.95328227936996
6.0	98.88639935792395
7.0	98.54529645854932
8.0	98.4382837842357
9.0	98.4115306156573
10.0	98.21757014346386
11.0	97.90322041266762
12.0	97.14409925425542
13.0	96.21777079222821
14.0	95.20449453232118
15.0	93.73307026050898
16.0	92.58602815770993
17.0	91.64966725746581
18.0	90.69324148078788
19.0	88.90077918603484
20.0	87.0982844530649
21.0	84.683810988864
22.0	82.02521486138514
23.0	78.73123098016922
24.0	76.3501989766913
25.0	73.43075945557302
26.0	70.61498846269605
27.0	67.79587332374678
28.0	64.43835066715714
29.0	60.445440256830416
30.0	56.5160686218774
31.0	52.85088452663612
32.0	49.57696552185399
33.0	46.42009162960238
34.0	42.159649533491624
35.0	38.9526134501555
36.0	35.55496104069826
37.0	32.588703474567765
38.0	29.100759121158404
39.0	26.141189847172512
40.0	23.278600809283333
41.0	20.750426378624198
42.0	18.386115105507784
43.0	16.687288900779166
44.0	15.08544293214726
45.0	13.971842290071208
46.0	12.961910176236472
47.0	11.935257332040237
48.0	10.778182791024292
49.0	9.811724576129464
50.0	8.771695147644024
51.0	7.922282045279715
