#Insert size (bp)	insert size
2.0	2.0
3.0	2.0
5.0	1.0
6.0	1.0
8.0	1.0
9.0	1.0
10.0	3.0
11.0	2.0
14.0	1.0
15.0	2.0
19.0	5.0
21.0	1.0
22.0	2.0
23.0	6.0
24.0	7.0
25.0	2.0
26.0	1.0
27.0	2.0
28.0	1.0
29.0	4.0
30.0	3.0
31.0	3.0
32.0	6.0
33.0	6.0
34.0	1.0
35.0	2.0
38.0	1.0
39.0	1.0
40.0	1.0
41.0	1.0
42.0	1.0
44.0	1.0
45.0	2.0
47.0	3.0
48.0	1.0
49.0	4.0
50.0	2.0
51.0	3.0
53.0	3.0
54.0	1.0
57.0	1.0
58.0	1.0
59.0	3.0
60.0	4.0
61.0	2.0
62.0	2.0
63.0	1.0
64.0	1.0
65.0	3.0
66.0	2.0
67.0	3.0
68.0	2.0
71.0	3.0
72.0	4.0
73.0	2.0
75.0	2.0
76.0	5.0
77.0	6.0
78.0	2.0
79.0	2.0
80.0	3.0
81.0	5.0
82.0	2.0
83.0	3.0
84.0	6.0
85.0	4.0
86.0	4.0
87.0	6.0
88.0	2.0
91.0	3.0
92.0	5.0
93.0	3.0
94.0	5.0
95.0	6.0
96.0	4.0
97.0	3.0
98.0	9.0
99.0	2.0
100.0	18.0
101.0	11.0
102.0	17.0
103.0	15.0
104.0	20.0
105.0	18.0
106.0	18.0
107.0	18.0
108.0	23.0
109.0	6.0
110.0	20.0
111.0	17.0
112.0	19.0
113.0	14.0
114.0	19.0
115.0	12.0
116.0	22.0
117.0	16.0
118.0	27.0
119.0	19.0
120.0	12.0
121.0	15.0
122.0	15.0
123.0	4.0
124.0	5.0
125.0	5.0
126.0	4.0
127.0	2.0
128.0	9.0
129.0	4.0
130.0	6.0
131.0	7.0
132.0	7.0
133.0	3.0
134.0	3.0
135.0	7.0
136.0	8.0
137.0	7.0
138.0	5.0
139.0	8.0
140.0	7.0
141.0	9.0
142.0	5.0
143.0	11.0
144.0	24.0
145.0	31.0
146.0	30.0
147.0	23.0
148.0	23.0
149.0	34.0
150.0	36.0
151.0	31.0
152.0	33.0
153.0	24.0
154.0	29.0
155.0	32.0
156.0	29.0
157.0	31.0
158.0	23.0
159.0	44.0
160.0	34.0
161.0	36.0
162.0	30.0
163.0	40.0
164.0	35.0
165.0	30.0
166.0	31.0
167.0	27.0
168.0	43.0
169.0	36.0
170.0	43.0
171.0	36.0
172.0	31.0
173.0	37.0
174.0	34.0
175.0	29.0
176.0	48.0
177.0	32.0
178.0	30.0
179.0	31.0
180.0	37.0
181.0	37.0
182.0	25.0
183.0	40.0
184.0	45.0
185.0	37.0
186.0	34.0
187.0	39.0
188.0	27.0
189.0	31.0
190.0	30.0
191.0	38.0
192.0	31.0
193.0	40.0
194.0	42.0
195.0	44.0
196.0	47.0
197.0	41.0
198.0	28.0
199.0	29.0
200.0	35.0
201.0	46.0
202.0	36.0
203.0	54.0
204.0	42.0
205.0	36.0
206.0	41.0
207.0	40.0
208.0	44.0
209.0	44.0
210.0	32.0
211.0	40.0
212.0	48.0
213.0	39.0
214.0	47.0
215.0	47.0
216.0	39.0
217.0	41.0
218.0	48.0
219.0	51.0
220.0	39.0
221.0	58.0
222.0	50.0
223.0	44.0
224.0	32.0
225.0	40.0
226.0	46.0
227.0	48.0
228.0	44.0
229.0	54.0
230.0	32.0
231.0	40.0
232.0	39.0
233.0	44.0
234.0	40.0
235.0	52.0
236.0	47.0
237.0	42.0
238.0	42.0
239.0	47.0
240.0	41.0
241.0	47.0
242.0	39.0
243.0	56.0
244.0	44.0
245.0	46.0
246.0	48.0
247.0	50.0
248.0	45.0
249.0	44.0
250.0	52.0
251.0	42.0
252.0	33.0
253.0	39.0
254.0	48.0
255.0	47.0
256.0	42.0
257.0	47.0
258.0	40.0
259.0	39.0
260.0	47.0
261.0	33.0
262.0	34.0
263.0	48.0
