#Coverage (X)	Coverage
1.0	97.71929237869111
2.0	96.39501053406013
3.0	94.35173728388456
4.0	92.11784770758787
5.0	90.15148981707522
6.0	87.58318563354848
7.0	85.29578972009497
8.0	83.2056984249072
9.0	81.32294418620205
10.0	80.23944085877672
11.0	79.13587265491756
12.0	78.02896030498613
13.0	77.1327291576096
14.0	76.22312142594389
15.0	75.70812293080962
16.0	75.21318931210915
17.0	74.8353008059392
18.0	74.30358158044343
19.0	73.71166772564627
20.0	73.19666923051199
21.0	72.88566364578804
22.0	72.56128147677491
23.0	72.23355516168947
24.0	71.7252449586998
25.0	71.22362304785473
26.0	70.66849479985287
27.0	70.00300973146507
28.0	69.41778416881249
29.0	68.6620071564726
30.0	67.97645721165101
31.0	67.1738621542989
32.0	66.29435173728389
33.0	65.6522756914022
34.0	65.13393305019564
35.0	64.55873992575997
36.0	63.94341704845668
37.0	63.47523659833462
38.0	63.02377687857406
39.0	62.35829181018627
40.0	61.8198842925459
41.0	61.32829481991774
42.0	60.62267999866234
43.0	60.047486874226664
44.0	59.6027154466107
45.0	59.167976457211644
46.0	58.77336722068019
47.0	58.51921211918536
48.0	58.23495970303983
49.0	57.83031802829147
50.0	57.43905293783232
51.0	57.08122930809618
