#Coverage	Number of genomic locations
0.0	13544.0
1.0	3549.0
2.0	2535.0
3.0	1305.0
4.0	631.0
5.0	634.0
6.0	523.0
7.0	216.0
8.0	273.0
9.0	343.0
10.0	220.0
11.0	250.0
12.0	196.0
13.0	119.0
14.0	90.0
15.0	65.0
16.0	53.0
17.0	47.0
18.0	28.0
19.0	39.0
20.0	63.0
21.0	72.0
22.0	78.0
23.0	126.0
24.0	72.0
25.0	51.0
26.0	71.0
27.0	46.0
28.0	42.0
29.0	50.0
30.0	49.0
31.0	47.0
32.0	37.0
33.0	33.0
34.0	43.0
35.0	38.0
36.0	39.0
37.0	49.0
38.0	40.0
39.0	39.0
40.0	52.0
41.0	70.0
42.0	61.0
43.0	62.0
44.0	89.0
45.0	57.0
46.0	85.0
47.0	56.0
48.0	66.0
49.0	79.0
50.0	65.0
51.0	67.0
52.0	49.0
53.0	30.0
54.0	31.0
55.0	40.0
56.0	45.0
57.0	46.0
58.0	49.0
59.0	30.0
60.0	28.0
61.0	24.0
62.0	27.0
63.0	33.0
64.0	20.0
65.0	35.0
66.0	36.0
67.0	33.0
68.0	25.0
69.0	28.0
70.0	39.0
71.0	20.0
72.0	30.0
73.0	22.0
74.0	19.0
75.0	27.0
76.0	26.0
77.0	22.0
78.0	13.0
79.0	23.0
80.0	13.0
81.0	24.0
82.0	10.0
83.0	29.0
84.0	37.0
85.0	27.0
86.0	41.0
87.0	24.0
88.0	19.0
89.0	32.0
90.0	58.0
91.0	29.0
92.0	24.0
93.0	27.0
94.0	25.0
95.0	26.0
96.0	17.0
97.0	11.0
98.0	13.0
99.0	25.0
100.0	14.0
101.0	23.0
102.0	16.0
103.0	16.0
104.0	10.0
105.0	23.0
106.0	8.0
107.0	22.0
108.0	13.0
109.0	17.0
110.0	9.0
111.0	4.0
112.0	12.0
113.0	16.0
114.0	13.0
115.0	11.0
116.0	20.0
117.0	17.0
118.0	16.0
119.0	11.0
120.0	6.0
121.0	14.0
122.0	7.0
123.0	5.0
124.0	8.0
125.0	8.0
126.0	7.0
127.0	10.0
128.0	10.0
129.0	18.0
130.0	19.0
131.0	16.0
132.0	8.0
133.0	9.0
134.0	13.0
135.0	5.0
136.0	8.0
137.0	6.0
139.0	5.0
140.0	2.0
141.0	1.0
142.0	3.0
144.0	1.0
145.0	2.0
146.0	2.0
147.0	1.0
149.0	3.0
150.0	1.0
153.0	3.0
154.0	3.0
156.0	1.0
157.0	2.0
160.0	3.0
161.0	3.0
162.0	1.0
163.0	1.0
164.0	2.0
165.0	2.0
166.0	4.0
167.0	5.0
168.0	6.0
169.0	6.0
170.0	2.0
171.0	2.0
173.0	1.0
175.0	2.0
176.0	1.0
177.0	1.0
179.0	2.0
181.0	1.0
182.0	2.0
183.0	4.0
184.0	3.0
185.0	3.0
186.0	2.0
187.0	1.0
188.0	3.0
189.0	3.0
190.0	2.0
191.0	3.0
192.0	3.0
193.0	8.0
194.0	4.0
195.0	2.0
196.0	2.0
197.0	7.0
198.0	2.0
199.0	2.0
200.0	1.0
201.0	3.0
202.0	8.0
203.0	10.0
204.0	5.0
205.0	2.0
207.0	6.0
208.0	4.0
209.0	1.0
210.0	2.0
211.0	1.0
212.0	1.0
213.0	2.0
215.0	1.0
216.0	4.0
217.0	6.0
218.0	9.0
219.0	7.0
220.0	9.0
221.0	8.0
222.0	3.0
223.0	9.0
225.0	5.0
226.0	1.0
227.0	2.0
228.0	5.0
229.0	2.0
230.0	5.0
231.0	2.0
232.0	1.0
233.0	2.0
234.0	5.0
235.0	5.0
236.0	5.0
237.0	3.0
238.0	1.0
239.0	4.0
240.0	6.0
241.0	2.0
242.0	4.0
243.0	2.0
244.0	1.0
245.0	1.0
247.0	1.0
248.0	1.0
250.0	1.0
251.0	2.0
252.0	5.0
253.0	2.0
254.0	1.0
255.0	2.0
256.0	1.0
257.0	2.0
258.0	3.0
260.0	2.0
261.0	2.0
262.0	5.0
263.0	5.0
264.0	5.0
265.0	2.0
266.0	1.0
267.0	2.0
268.0	1.0
270.0	3.0
271.0	2.0
273.0	14.0
274.0	1.0
276.0	3.0
277.0	1.0
279.0	1.0
280.0	1.0
288.0	2.0
289.0	2.0
290.0	2.0
291.0	3.0
293.0	1.0
294.0	2.0
295.0	3.0
297.0	2.0
299.0	2.0
300.0	3.0
301.0	1.0
302.0	6.0
303.0	7.0
304.0	2.0
305.0	5.0
306.0	3.0
307.0	6.0
308.0	5.0
309.0	4.0
310.0	2.0
311.0	6.0
312.0	6.0
313.0	1.0
317.0	1.0
326.0	1.0
333.0	1.0
353.0	1.0
360.0	1.0
380.0	1.0
387.0	1.0
415.0	1.0
430.0	1.0
436.0	1.0
447.0	1.0
453.0	1.0
470.0	1.0
504.0	1.0
505.0	1.0
531.0	1.0
568.0	1.0
588.0	1.0
594.0	1.0
611.0	1.0
616.0	2.0
619.0	1.0
622.0	2.0
625.0	1.0
630.0	1.0
633.0	1.0
638.0	1.0
640.0	1.0
641.0	2.0
643.0	1.0
644.0	10.0
645.0	2.0
646.0	2.0
647.0	3.0
662.0	1.0
670.0	1.0
673.0	1.0
678.0	1.0
679.0	1.0
682.0	1.0
686.0	1.0
691.0	1.0
698.0	1.0
699.0	1.0
704.0	1.0
705.0	1.0
716.0	1.0
718.0	1.0
721.0	1.0
724.0	1.0
725.0	1.0
726.0	1.0
727.0	1.0
730.0	3.0
733.0	1.0
734.0	1.0
736.0	1.0
737.0	1.0
740.0	1.0
745.0	1.0
746.0	2.0
748.0	1.0
752.0	1.0
756.0	1.0
761.0	1.0
765.0	1.0
766.0	1.0
770.0	1.0
772.0	1.0
776.0	2.0
778.0	1.0
779.0	1.0
790.0	1.0
792.0	1.0
795.0	1.0
798.0	2.0
799.0	1.0
804.0	1.0
807.0	1.0
809.0	1.0
821.0	1.0
834.0	1.0
837.0	1.0
846.0	1.0
850.0	2.0
851.0	1.0
852.0	1.0
854.0	2.0
859.0	1.0
862.0	1.0
863.0	1.0
864.0	1.0
866.0	1.0
867.0	1.0
869.0	1.0
872.0	2.0
876.0	1.0
878.0	1.0
880.0	1.0
881.0	2.0
883.0	1.0
884.0	1.0
888.0	3.0
889.0	2.0
890.0	1.0
892.0	1.0
893.0	2.0
894.0	1.0
896.0	1.0
897.0	3.0
899.0	4.0
900.0	3.0
901.0	2.0
902.0	1.0
903.0	5.0
904.0	2.0
907.0	1.0
908.0	3.0
909.0	1.0
910.0	1.0
911.0	3.0
913.0	1.0
914.0	4.0
915.0	4.0
916.0	2.0
917.0	2.0
918.0	2.0
919.0	1.0
920.0	3.0
921.0	6.0
922.0	7.0
923.0	5.0
924.0	4.0
925.0	2.0
926.0	2.0
927.0	1.0
928.0	4.0
929.0	4.0
930.0	1.0
931.0	2.0
932.0	1.0
933.0	1.0
934.0	1.0
935.0	3.0
937.0	1.0
938.0	1.0
940.0	3.0
941.0	2.0
942.0	1.0
943.0	3.0
945.0	1.0
946.0	1.0
948.0	2.0
949.0	1.0
950.0	1.0
951.0	1.0
952.0	3.0
953.0	1.0
954.0	2.0
955.0	3.0
960.0	3.0
962.0	1.0
964.0	2.0
965.0	1.0
966.0	1.0
967.0	3.0
968.0	3.0
969.0	1.0
970.0	2.0
971.0	1.0
972.0	1.0
973.0	2.0
974.0	1.0
975.0	2.0
976.0	1.0
977.0	1.0
979.0	1.0
982.0	1.0
983.0	3.0
984.0	1.0
986.0	2.0
987.0	2.0
988.0	1.0
990.0	1.0
991.0	1.0
992.0	1.0
995.0	1.0
996.0	2.0
998.0	1.0
1000.0	1.0
1001.0	2.0
1002.0	1.0
1004.0	1.0
1006.0	1.0
1007.0	2.0
1009.0	2.0
1010.0	5.0
1011.0	2.0
1012.0	3.0
1014.0	1.0
1015.0	2.0
1016.0	1.0
1017.0	2.0
1018.0	1.0
1019.0	1.0
1020.0	1.0
1022.0	2.0
1023.0	1.0
1024.0	3.0
1025.0	1.0
1028.0	1.0
1030.0	2.0
1031.0	1.0
1032.0	1.0
1033.0	2.0
1035.0	1.0
1036.0	3.0
1037.0	1.0
1039.0	1.0
1040.0	1.0
1041.0	1.0
1045.0	1.0
1047.0	1.0
1049.0	1.0
1050.0	1.0
1053.0	2.0
1054.0	1.0
1058.0	1.0
1064.0	1.0
1067.0	2.0
1073.0	1.0
1076.0	1.0
1078.0	2.0
1082.0	1.0
1086.0	1.0
1088.0	1.0
1101.0	1.0
1104.0	1.0
1126.0	1.0
1135.0	1.0
1137.0	1.0
1139.0	2.0
1140.0	1.0
1141.0	1.0
1142.0	1.0
1143.0	3.0
1145.0	1.0
1147.0	2.0
1148.0	3.0
1154.0	1.0
1155.0	1.0
1156.0	1.0
1158.0	3.0
1159.0	1.0
1160.0	1.0
1162.0	2.0
1163.0	2.0
1164.0	1.0
1166.0	1.0
1168.0	2.0
1169.0	2.0
1170.0	1.0
1171.0	1.0
1173.0	2.0
1174.0	2.0
1175.0	1.0
1176.0	2.0
1177.0	1.0
1178.0	2.0
1181.0	2.0
1182.0	2.0
1186.0	1.0
1196.0	1.0
1229.0	1.0
1352.0	1.0
1418.0	1.0
1465.0	1.0
1488.0	1.0
1534.0	1.0
1614.0	1.0
1630.0	1.0
1657.0	1.0
1703.0	1.0
1801.0	1.0
1809.0	1.0
1977.0	1.0
1996.0	1.0
2066.0	1.0
2149.0	1.0
2154.0	1.0
2174.0	1.0
2192.0	1.0
2252.0	1.0
2266.0	1.0
2292.0	1.0
2297.0	1.0
2317.0	1.0
2333.0	1.0
2359.0	1.0
2379.0	1.0
2441.0	1.0
2466.0	1.0
2493.0	1.0
2505.0	1.0
2521.0	1.0
2528.0	1.0
2538.0	1.0
2547.0	1.0
2551.0	1.0
2565.0	1.0
2571.0	1.0
2578.0	1.0
2593.0	1.0
2594.0	1.0
2606.0	1.0
2610.0	1.0
2612.0	1.0
2613.0	1.0
2628.0	1.0
2633.0	1.0
2643.0	2.0
2645.0	1.0
2648.0	1.0
