#Insert size (bp)	insert size
2.0	12.0
3.0	4.0
4.0	2.0
5.0	3.0
6.0	22.0
7.0	11.0
8.0	2.0
9.0	1.0
11.0	5.0
12.0	5.0
13.0	22.0
14.0	23.0
15.0	48.0
16.0	73.0
17.0	100.0
18.0	180.0
19.0	8784.0
20.0	17564.0
21.0	3414.0
22.0	7039.0
23.0	9868.0
24.0	14103.0
25.0	20964.0
26.0	1270.0
27.0	1680.0
28.0	10071.0
29.0	406.0
30.0	2259.0
31.0	60.0
32.0	2.0
33.0	2.0
34.0	6.0
35.0	39.0
36.0	8.0
37.0	5.0
38.0	7.0
39.0	33.0
40.0	2.0
41.0	4.0
42.0	4.0
43.0	10.0
44.0	1.0
45.0	4.0
46.0	34.0
47.0	2.0
48.0	4.0
49.0	5.0
50.0	6.0
51.0	6.0
52.0	10.0
53.0	6.0
54.0	6.0
55.0	8.0
56.0	9.0
57.0	11.0
58.0	6.0
59.0	19.0
60.0	7.0
61.0	5.0
62.0	9.0
63.0	15.0
64.0	10.0
65.0	16.0
66.0	15.0
67.0	17.0
68.0	20.0
69.0	21.0
70.0	13.0
71.0	11.0
72.0	19.0
73.0	20.0
74.0	13.0
75.0	18.0
76.0	20.0
77.0	19.0
78.0	16.0
79.0	18.0
80.0	23.0
81.0	29.0
82.0	18.0
83.0	25.0
84.0	21.0
85.0	27.0
86.0	23.0
87.0	20.0
88.0	22.0
89.0	26.0
90.0	25.0
91.0	35.0
92.0	20.0
93.0	29.0
94.0	26.0
95.0	27.0
96.0	35.0
97.0	68.0
98.0	67.0
99.0	54.0
100.0	82.0
101.0	115.0
102.0	110.0
103.0	78.0
104.0	84.0
105.0	68.0
106.0	125.0
107.0	81.0
108.0	96.0
109.0	74.0
110.0	69.0
111.0	138.0
112.0	189.0
113.0	135.0
114.0	73.0
115.0	112.0
116.0	187.0
117.0	135.0
118.0	238.0
119.0	202.0
120.0	213.0
121.0	179.0
122.0	237.0
123.0	217.0
124.0	239.0
125.0	275.0
126.0	222.0
127.0	272.0
128.0	244.0
129.0	129.0
130.0	205.0
131.0	194.0
132.0	164.0
133.0	221.0
134.0	305.0
135.0	287.0
136.0	335.0
137.0	329.0
138.0	308.0
139.0	308.0
