#GC Content (%)	Sample
1.0	1.4060050475581208E-5
2.0	7.030025237790604E-6
3.0	0.0
4.0	2.8120100951162416E-5
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	7.030025237790604E-6
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	7.030025237790604E-6
18.0	0.0
19.0	1.4060050475581208E-5
20.0	0.0
21.0	0.0
22.0	7.030025237790604E-6
23.0	7.030025237790604E-6
24.0	7.030025237790604E-6
25.0	3.515012618895302E-5
26.0	4.850717414075517E-4
27.0	0.0017082961327831167
28.0	0.0015676956280273049
29.0	0.004569516404563892
30.0	0.00931478344007255
31.0	0.015198914564103288
32.0	0.023824755530872353
33.0	0.03889712964069541
34.0	0.05776571737892539
35.0	0.07352000393681414
36.0	0.10138702397941608
37.0	0.10334137099552188
38.0	0.0911302171574796
39.0	0.07904560377371754
40.0	0.0804164586950867
41.0	0.08429703262634712
42.0	0.06637046826998108
43.0	0.039740732669230276
44.0	0.026489135095994997
45.0	0.0223695403066497
46.0	0.018390546022060222
47.0	0.015972217340260254
48.0	0.013342987901326566
49.0	0.009040612455798718
50.0	0.007578367206338272
51.0	0.006516833395431889
52.0	0.00408444466315634
53.0	0.002038707318959275
54.0	6.045821704499919E-4
55.0	8.154829275837101E-4
56.0	1.4060050475581208E-5
57.0	1.4060050475581208E-5
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	1.4060050475581208E-5
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
