#Insert size (bp)	insert size
2.0	35.0
3.0	104.0
4.0	18.0
5.0	15.0
6.0	15.0
7.0	4.0
8.0	6.0
9.0	9.0
10.0	10.0
11.0	14.0
12.0	20.0
13.0	163.0
14.0	65.0
15.0	87.0
16.0	86.0
17.0	91.0
18.0	159.0
19.0	1596.0
20.0	4778.0
21.0	628.0
22.0	784.0
23.0	354.0
24.0	3448.0
25.0	4831.0
26.0	726.0
27.0	3654.0
28.0	8751.0
29.0	578.0
30.0	3319.0
31.0	264.0
32.0	4.0
33.0	2.0
34.0	1.0
35.0	6.0
36.0	1.0
37.0	7.0
38.0	5.0
39.0	3.0
40.0	3.0
41.0	2.0
42.0	1.0
44.0	4.0
45.0	2.0
46.0	1.0
47.0	3.0
49.0	2.0
50.0	2.0
51.0	4.0
52.0	6.0
53.0	2.0
54.0	5.0
55.0	10.0
56.0	7.0
57.0	2.0
58.0	3.0
59.0	1.0
60.0	1.0
61.0	1.0
62.0	3.0
63.0	8.0
64.0	4.0
65.0	3.0
66.0	4.0
67.0	1.0
68.0	2.0
69.0	1.0
70.0	4.0
71.0	8.0
72.0	13.0
73.0	6.0
74.0	12.0
75.0	6.0
76.0	7.0
77.0	6.0
78.0	3.0
79.0	8.0
80.0	6.0
81.0	6.0
82.0	13.0
83.0	5.0
84.0	3.0
85.0	6.0
86.0	10.0
87.0	5.0
88.0	9.0
89.0	7.0
90.0	9.0
91.0	4.0
92.0	4.0
93.0	5.0
94.0	5.0
95.0	3.0
96.0	5.0
97.0	6.0
98.0	11.0
99.0	4.0
100.0	6.0
101.0	10.0
102.0	11.0
103.0	10.0
104.0	7.0
105.0	10.0
106.0	9.0
107.0	11.0
108.0	8.0
109.0	13.0
110.0	16.0
111.0	7.0
112.0	7.0
113.0	8.0
114.0	4.0
115.0	7.0
116.0	4.0
117.0	9.0
118.0	12.0
119.0	18.0
120.0	16.0
121.0	9.0
122.0	12.0
123.0	10.0
124.0	5.0
125.0	16.0
126.0	11.0
127.0	17.0
128.0	23.0
129.0	14.0
130.0	12.0
131.0	13.0
132.0	13.0
133.0	10.0
134.0	8.0
135.0	15.0
136.0	23.0
137.0	11.0
138.0	38.0
139.0	26.0
140.0	24.0
141.0	38.0
142.0	35.0
143.0	25.0
144.0	17.0
145.0	19.0
146.0	22.0
147.0	37.0
148.0	29.0
149.0	91.0
150.0	78.0
151.0	91.0
152.0	89.0
153.0	95.0
154.0	68.0
155.0	68.0
156.0	91.0
157.0	81.0
158.0	98.0
159.0	91.0
160.0	84.0
161.0	65.0
162.0	84.0
163.0	91.0
164.0	80.0
165.0	71.0
166.0	77.0
167.0	93.0
168.0	59.0
169.0	93.0
170.0	85.0
171.0	73.0
172.0	84.0
173.0	72.0
174.0	81.0
175.0	77.0
176.0	72.0
177.0	80.0
178.0	67.0
179.0	77.0
180.0	80.0
181.0	68.0
182.0	85.0
183.0	76.0
184.0	70.0
185.0	77.0
186.0	76.0
187.0	81.0
188.0	73.0
189.0	81.0
190.0	77.0
191.0	73.0
192.0	68.0
193.0	72.0
194.0	75.0
195.0	67.0
196.0	76.0
197.0	78.0
198.0	70.0
199.0	64.0
200.0	65.0
201.0	69.0
202.0	63.0
203.0	70.0
204.0	63.0
205.0	58.0
206.0	66.0
207.0	72.0
208.0	58.0
209.0	68.0
210.0	62.0
211.0	60.0
212.0	62.0
213.0	59.0
214.0	63.0
215.0	77.0
216.0	75.0
217.0	57.0
218.0	54.0
219.0	59.0
220.0	72.0
221.0	63.0
222.0	61.0
223.0	63.0
224.0	46.0
225.0	52.0
226.0	52.0
227.0	60.0
228.0	65.0
229.0	55.0
230.0	47.0
231.0	58.0
232.0	48.0
233.0	48.0
234.0	54.0
235.0	51.0
236.0	59.0
237.0	52.0
238.0	36.0
239.0	51.0
240.0	49.0
241.0	59.0
242.0	57.0
243.0	54.0
244.0	44.0
245.0	45.0
246.0	40.0
247.0	44.0
248.0	40.0
249.0	39.0
250.0	39.0
251.0	54.0
252.0	41.0
253.0	41.0
254.0	46.0
255.0	44.0
256.0	51.0
257.0	42.0
258.0	39.0
259.0	36.0
260.0	39.0
261.0	41.0
262.0	30.0
263.0	35.0
264.0	37.0
265.0	42.0
266.0	36.0
267.0	33.0
268.0	31.0
269.0	43.0
270.0	35.0
271.0	32.0
272.0	33.0
273.0	31.0
274.0	23.0
275.0	34.0
276.0	42.0
277.0	40.0
278.0	35.0
279.0	35.0
280.0	37.0
281.0	34.0
282.0	36.0
283.0	41.0
284.0	37.0
285.0	35.0
286.0	32.0
287.0	26.0
288.0	33.0
289.0	30.0
290.0	33.0
291.0	23.0
292.0	34.0
293.0	29.0
294.0	18.0
295.0	25.0
296.0	28.0
297.0	31.0
298.0	28.0
299.0	23.0
300.0	32.0
301.0	20.0
302.0	26.0
303.0	22.0
304.0	38.0
305.0	20.0
306.0	23.0
307.0	17.0
308.0	25.0
309.0	23.0
310.0	26.0
311.0	21.0
312.0	20.0
313.0	22.0
314.0	28.0
315.0	25.0
316.0	24.0
317.0	26.0
318.0	19.0
319.0	22.0
320.0	24.0
321.0	21.0
322.0	18.0
323.0	19.0
324.0	19.0
325.0	16.0
326.0	17.0
327.0	14.0
328.0	16.0
329.0	24.0
330.0	15.0
331.0	15.0
332.0	18.0
333.0	19.0
334.0	18.0
335.0	18.0
336.0	19.0
337.0	15.0
338.0	21.0
339.0	13.0
340.0	16.0
341.0	15.0
342.0	17.0
343.0	24.0
344.0	19.0
345.0	22.0
346.0	18.0
347.0	17.0
348.0	21.0
349.0	22.0
350.0	23.0
351.0	19.0
352.0	23.0
353.0	14.0
354.0	26.0
355.0	20.0
356.0	19.0
357.0	22.0
358.0	26.0
359.0	32.0
360.0	30.0
361.0	31.0
362.0	23.0
363.0	28.0
364.0	34.0
365.0	26.0
366.0	24.0
367.0	31.0
368.0	21.0
369.0	23.0
370.0	24.0
371.0	37.0
372.0	20.0
373.0	11.0
374.0	13.0
375.0	16.0
376.0	10.0
377.0	9.0
378.0	6.0
379.0	7.0
380.0	14.0
381.0	7.0
382.0	4.0
383.0	1.0
384.0	3.0
385.0	1.0
386.0	2.0
387.0	1.0
388.0	2.0
391.0	2.0
392.0	5.0
393.0	2.0
394.0	3.0
395.0	5.0
396.0	1.0
397.0	1.0
398.0	3.0
399.0	11.0
400.0	10.0
401.0	9.0
402.0	21.0
403.0	158.0
404.0	34.0
405.0	2.0
