#Coverage (X)	Coverage
1.0	99.70237099956526
2.0	99.59870247132395
3.0	99.54854028023944
4.0	99.37798883055211
5.0	99.35457980804601
6.0	99.34454736982912
7.0	99.32782663946762
8.0	99.32113834732301
9.0	99.31445005517841
10.0	99.31445005517841
11.0	99.2943851787446
12.0	99.2375346955155
13.0	99.21412567300939
14.0	99.15058689763569
15.0	99.09039226833428
16.0	99.07032739190048
17.0	98.99675617830987
18.0	98.87636691970705
19.0	98.75597766110424
20.0	98.66902986322442
21.0	98.57204962712771
22.0	98.32458281777748
23.0	98.25101160418687
24.0	98.17075209845166
25.0	98.09718088486105
26.0	97.99685650269204
27.0	97.93331772731833
28.0	97.88984382837842
29.0	97.86309065980002
30.0	97.84636992943852
31.0	97.81292846871551
32.0	97.71929237869111
33.0	97.6457211651005
34.0	97.55877336722068
35.0	97.50861117613617
36.0	97.47851386148547
37.0	97.45510483897937
38.0	97.44172825469016
39.0	97.44172825469016
40.0	97.44172825469016
41.0	97.43838410861787
42.0	97.43503996254556
43.0	97.43169581647327
44.0	97.43169581647327
45.0	97.42835167040096
46.0	97.42500752432866
47.0	97.42500752432866
48.0	97.42500752432866
49.0	97.42500752432866
50.0	97.42500752432866
51.0	97.42166337825637
