#Coverage	Number of genomic locations
0.0	10210.0
1.0	3552.0
2.0	2985.0
3.0	1412.0
4.0	1400.0
5.0	671.0
6.0	653.0
7.0	545.0
8.0	612.0
9.0	404.0
10.0	505.0
11.0	366.0
12.0	501.0
13.0	497.0
14.0	463.0
15.0	330.0
16.0	211.0
17.0	191.0
18.0	235.0
19.0	213.0
20.0	166.0
21.0	185.0
22.0	118.0
23.0	69.0
24.0	72.0
25.0	24.0
26.0	94.0
27.0	53.0
28.0	70.0
29.0	55.0
30.0	48.0
31.0	43.0
32.0	21.0
33.0	39.0
34.0	49.0
35.0	12.0
36.0	1.0
37.0	1.0
38.0	3.0
39.0	8.0
40.0	12.0
41.0	5.0
42.0	54.0
43.0	3.0
44.0	11.0
45.0	8.0
46.0	5.0
47.0	6.0
48.0	1.0
49.0	12.0
50.0	8.0
51.0	4.0
52.0	10.0
53.0	19.0
54.0	54.0
55.0	41.0
56.0	40.0
57.0	24.0
58.0	26.0
59.0	52.0
60.0	31.0
61.0	35.0
62.0	26.0
63.0	22.0
64.0	22.0
65.0	13.0
66.0	15.0
67.0	7.0
68.0	8.0
69.0	7.0
70.0	2.0
71.0	4.0
72.0	6.0
73.0	13.0
74.0	5.0
75.0	7.0
76.0	1.0
77.0	7.0
78.0	1.0
79.0	2.0
80.0	1.0
81.0	2.0
82.0	9.0
83.0	6.0
84.0	2.0
85.0	6.0
86.0	12.0
87.0	4.0
88.0	5.0
89.0	6.0
90.0	2.0
91.0	3.0
92.0	4.0
93.0	13.0
94.0	10.0
95.0	7.0
96.0	17.0
97.0	17.0
98.0	11.0
99.0	12.0
100.0	13.0
101.0	11.0
102.0	12.0
103.0	10.0
104.0	9.0
105.0	19.0
106.0	8.0
107.0	7.0
108.0	13.0
109.0	9.0
110.0	15.0
111.0	12.0
112.0	8.0
113.0	12.0
114.0	7.0
115.0	7.0
116.0	5.0
117.0	11.0
118.0	7.0
119.0	3.0
120.0	3.0
121.0	6.0
122.0	9.0
123.0	4.0
124.0	4.0
125.0	2.0
126.0	3.0
127.0	9.0
128.0	8.0
129.0	7.0
130.0	11.0
131.0	13.0
132.0	14.0
133.0	10.0
134.0	16.0
135.0	8.0
136.0	6.0
137.0	15.0
138.0	8.0
139.0	4.0
140.0	10.0
141.0	6.0
142.0	11.0
143.0	8.0
144.0	10.0
145.0	19.0
146.0	3.0
147.0	13.0
148.0	12.0
149.0	11.0
150.0	15.0
151.0	24.0
152.0	17.0
153.0	20.0
154.0	16.0
155.0	21.0
156.0	21.0
157.0	22.0
158.0	19.0
159.0	17.0
160.0	15.0
161.0	4.0
162.0	11.0
163.0	15.0
164.0	8.0
165.0	12.0
166.0	10.0
167.0	14.0
168.0	10.0
169.0	15.0
170.0	13.0
171.0	5.0
172.0	3.0
173.0	13.0
174.0	11.0
175.0	5.0
176.0	11.0
177.0	4.0
178.0	8.0
179.0	3.0
180.0	3.0
181.0	4.0
182.0	2.0
183.0	9.0
184.0	3.0
185.0	2.0
186.0	3.0
187.0	8.0
188.0	3.0
190.0	3.0
191.0	4.0
192.0	9.0
193.0	11.0
194.0	8.0
195.0	7.0
196.0	8.0
197.0	2.0
198.0	3.0
199.0	13.0
200.0	8.0
201.0	7.0
202.0	4.0
203.0	13.0
204.0	11.0
205.0	11.0
206.0	7.0
207.0	7.0
208.0	9.0
209.0	4.0
210.0	10.0
211.0	8.0
212.0	3.0
213.0	9.0
214.0	15.0
215.0	6.0
216.0	4.0
217.0	2.0
218.0	2.0
219.0	1.0
220.0	2.0
221.0	3.0
222.0	4.0
223.0	3.0
224.0	5.0
225.0	11.0
226.0	1.0
227.0	8.0
228.0	2.0
229.0	11.0
230.0	8.0
231.0	5.0
232.0	6.0
233.0	5.0
234.0	8.0
235.0	12.0
236.0	9.0
237.0	13.0
238.0	1.0
239.0	2.0
241.0	2.0
242.0	1.0
243.0	1.0
244.0	3.0
246.0	5.0
247.0	2.0
248.0	2.0
249.0	9.0
250.0	4.0
251.0	4.0
252.0	1.0
253.0	3.0
254.0	3.0
255.0	7.0
256.0	7.0
257.0	3.0
258.0	3.0
261.0	2.0
262.0	4.0
263.0	5.0
264.0	5.0
265.0	6.0
266.0	5.0
267.0	4.0
268.0	1.0
269.0	1.0
270.0	2.0
272.0	1.0
274.0	3.0
275.0	3.0
276.0	1.0
277.0	5.0
279.0	2.0
282.0	3.0
283.0	2.0
285.0	2.0
286.0	4.0
287.0	4.0
288.0	2.0
289.0	1.0
290.0	2.0
291.0	2.0
292.0	5.0
294.0	3.0
295.0	4.0
296.0	5.0
297.0	4.0
298.0	3.0
299.0	5.0
300.0	3.0
301.0	3.0
302.0	1.0
303.0	2.0
304.0	2.0
306.0	3.0
307.0	1.0
308.0	1.0
309.0	2.0
310.0	1.0
311.0	1.0
312.0	5.0
314.0	2.0
315.0	3.0
316.0	3.0
317.0	5.0
318.0	2.0
320.0	1.0
322.0	2.0
323.0	1.0
326.0	4.0
328.0	7.0
329.0	3.0
330.0	7.0
331.0	5.0
332.0	3.0
333.0	3.0
334.0	2.0
335.0	5.0
336.0	4.0
338.0	3.0
340.0	7.0
341.0	2.0
342.0	1.0
344.0	1.0
345.0	1.0
374.0	1.0
397.0	1.0
399.0	1.0
