#Insert size (bp)	insert size
81.0	1.0
82.0	2.0
83.0	34.0
92.0	3.0
93.0	14.0
102.0	4.0
122.0	1.0
127.0	6.0
132.0	4.0
142.0	1.0
143.0	2.0
157.0	1.0
158.0	11.0
163.0	1.0
183.0	1.0
198.0	1.0
199.0	3.0
209.0	1.0
221.0	2.0
225.0	4.0
230.0	2.0
231.0	2.0
232.0	2.0
233.0	1.0
235.0	1.0
236.0	33.0
267.0	1.0
273.0	1.0
284.0	2.0
286.0	1.0
294.0	1.0
296.0	3.0
297.0	5.0
298.0	4.0
299.0	1.0
300.0	2.0
301.0	2.0
302.0	1.0
304.0	1.0
305.0	2.0
306.0	2.0
307.0	2.0
308.0	1.0
309.0	1.0
310.0	2.0
311.0	1.0
312.0	1.0
313.0	6.0
314.0	4.0
315.0	1.0
316.0	3.0
317.0	1.0
318.0	5.0
319.0	1.0
320.0	6.0
321.0	6.0
322.0	5.0
323.0	2.0
324.0	7.0
325.0	4.0
326.0	8.0
327.0	8.0
328.0	8.0
329.0	6.0
330.0	8.0
331.0	7.0
332.0	6.0
333.0	3.0
334.0	8.0
335.0	8.0
336.0	29.0
337.0	8.0
338.0	11.0
339.0	6.0
340.0	8.0
341.0	17.0
342.0	14.0
343.0	12.0
344.0	23.0
345.0	12.0
346.0	20.0
347.0	17.0
348.0	16.0
349.0	16.0
350.0	16.0
351.0	23.0
352.0	19.0
353.0	16.0
354.0	15.0
355.0	15.0
356.0	23.0
357.0	26.0
358.0	20.0
359.0	24.0
360.0	27.0
361.0	22.0
362.0	14.0
363.0	27.0
364.0	21.0
365.0	20.0
366.0	15.0
367.0	16.0
368.0	16.0
369.0	22.0
370.0	21.0
371.0	26.0
372.0	34.0
373.0	35.0
374.0	41.0
375.0	37.0
376.0	51.0
377.0	65.0
378.0	66.0
379.0	70.0
380.0	72.0
381.0	71.0
382.0	63.0
383.0	53.0
384.0	50.0
385.0	66.0
386.0	58.0
387.0	64.0
388.0	54.0
389.0	50.0
390.0	58.0
391.0	58.0
392.0	64.0
393.0	44.0
394.0	32.0
395.0	22.0
396.0	20.0
397.0	28.0
398.0	27.0
399.0	26.0
400.0	25.0
401.0	23.0
402.0	12.0
403.0	20.0
404.0	22.0
405.0	14.0
406.0	13.0
407.0	16.0
408.0	13.0
409.0	8.0
410.0	10.0
411.0	13.0
412.0	13.0
413.0	7.0
414.0	11.0
415.0	6.0
416.0	10.0
417.0	9.0
418.0	4.0
419.0	2.0
420.0	1.0
578.0	1.0
579.0	1.0
603.0	1.0
624.0	1.0
626.0	1.0
627.0	1.0
631.0	1.0
647.0	1.0
651.0	1.0
653.0	1.0
671.0	1.0
672.0	1.0
673.0	1.0
677.0	1.0
679.0	3.0
681.0	1.0
683.0	1.0
688.0	2.0
689.0	1.0
690.0	1.0
694.0	1.0
695.0	1.0
697.0	3.0
698.0	1.0
700.0	1.0
701.0	2.0
708.0	1.0
714.0	1.0
715.0	1.0
722.0	1.0
723.0	1.0
724.0	2.0
725.0	2.0
728.0	1.0
