#Coverage	Number of genomic locations
0.0	63.0
1.0	4.0
10.0	36.0
11.0	9.0
12.0	30.0
13.0	46.0
14.0	21.0
15.0	10.0
16.0	22.0
17.0	6.0
18.0	107.0
19.0	80.0
20.0	233.0
21.0	119.0
22.0	88.0
23.0	27.0
24.0	123.0
25.0	102.0
26.0	47.0
27.0	55.0
28.0	36.0
29.0	139.0
30.0	62.0
31.0	19.0
32.0	48.0
33.0	39.0
34.0	36.0
35.0	31.0
36.0	67.0
37.0	58.0
38.0	96.0
39.0	84.0
40.0	50.0
41.0	109.0
42.0	224.0
43.0	76.0
44.0	58.0
45.0	68.0
46.0	119.0
47.0	115.0
48.0	112.0
49.0	230.0
50.0	111.0
51.0	149.0
52.0	244.0
53.0	151.0
54.0	129.0
55.0	247.0
56.0	312.0
57.0	256.0
58.0	345.0
59.0	300.0
60.0	515.0
61.0	323.0
62.0	354.0
63.0	359.0
64.0	450.0
65.0	280.0
66.0	486.0
67.0	426.0
68.0	263.0
69.0	281.0
70.0	317.0
71.0	329.0
72.0	346.0
73.0	404.0
74.0	426.0
75.0	573.0
76.0	588.0
77.0	585.0
78.0	493.0
79.0	505.0
80.0	652.0
81.0	755.0
82.0	576.0
83.0	492.0
84.0	510.0
85.0	508.0
86.0	457.0
87.0	598.0
88.0	679.0
89.0	519.0
90.0	458.0
91.0	324.0
92.0	295.0
93.0	376.0
94.0	342.0
95.0	351.0
96.0	304.0
97.0	306.0
98.0	252.0
99.0	338.0
100.0	322.0
101.0	294.0
102.0	283.0
103.0	391.0
104.0	336.0
105.0	339.0
106.0	277.0
107.0	299.0
108.0	223.0
109.0	220.0
110.0	124.0
111.0	142.0
112.0	182.0
113.0	218.0
114.0	212.0
115.0	155.0
116.0	133.0
117.0	189.0
118.0	147.0
119.0	97.0
120.0	100.0
121.0	225.0
122.0	140.0
123.0	115.0
124.0	151.0
125.0	144.0
126.0	129.0
127.0	174.0
128.0	158.0
129.0	73.0
130.0	47.0
131.0	32.0
132.0	59.0
133.0	37.0
134.0	31.0
135.0	47.0
136.0	75.0
137.0	59.0
138.0	62.0
139.0	70.0
140.0	94.0
141.0	22.0
142.0	15.0
143.0	17.0
144.0	8.0
145.0	14.0
146.0	11.0
147.0	16.0
148.0	16.0
149.0	13.0
150.0	7.0
151.0	18.0
152.0	23.0
153.0	42.0
154.0	75.0
155.0	102.0
156.0	50.0
157.0	46.0
158.0	9.0
161.0	1.0
162.0	2.0
163.0	1.0
164.0	2.0
165.0	3.0
166.0	2.0
167.0	3.0
168.0	2.0
169.0	2.0
170.0	15.0
171.0	5.0
172.0	11.0
173.0	2.0
