#Coverage	Number of genomic locations
0.0	5.0
4.0	1.0
6.0	1.0
11.0	1.0
12.0	1.0
14.0	1.0
17.0	1.0
20.0	1.0
22.0	1.0
61.0	1.0
127.0	1.0
219.0	1.0
232.0	1.0
241.0	1.0
317.0	1.0
325.0	1.0
366.0	1.0
391.0	1.0
399.0	1.0
441.0	1.0
455.0	1.0
534.0	1.0
561.0	1.0
614.0	1.0
958.0	1.0
979.0	1.0
1014.0	1.0
1041.0	1.0
1091.0	1.0
1128.0	1.0
1174.0	1.0
1235.0	1.0
1283.0	1.0
1355.0	1.0
1432.0	1.0
1525.0	1.0
1603.0	1.0
1649.0	1.0
1675.0	1.0
1772.0	1.0
1881.0	1.0
1896.0	1.0
1906.0	1.0
1918.0	1.0
1922.0	1.0
1942.0	1.0
1952.0	1.0
2019.0	1.0
2136.0	1.0
2263.0	1.0
2379.0	1.0
2450.0	1.0
2537.0	1.0
2655.0	1.0
2750.0	1.0
2944.0	1.0
3039.0	1.0
3150.0	1.0
3236.0	1.0
3379.0	1.0
3391.0	1.0
3410.0	1.0
3424.0	1.0
3427.0	1.0
3443.0	1.0
3447.0	1.0
3455.0	1.0
3456.0	1.0
3457.0	1.0
3461.0	1.0
3466.0	1.0
3470.0	1.0
3471.0	1.0
3481.0	1.0
3483.0	1.0
3485.0	1.0
3487.0	1.0
3489.0	1.0
3491.0	1.0
3492.0	1.0
3496.0	1.0
3499.0	1.0
3509.0	1.0
3516.0	2.0
3525.0	1.0
3528.0	1.0
3529.0	1.0
3535.0	1.0
3539.0	1.0
3543.0	1.0
3545.0	1.0
3548.0	1.0
3552.0	1.0
3579.0	1.0
3580.0	1.0
3584.0	2.0
3587.0	1.0
3589.0	1.0
3590.0	1.0
3597.0	2.0
3605.0	1.0
3607.0	1.0
3609.0	1.0
3610.0	1.0
3612.0	1.0
3613.0	1.0
3617.0	1.0
3622.0	1.0
3631.0	1.0
3636.0	1.0
3637.0	1.0
3638.0	1.0
3650.0	1.0
3653.0	1.0
3656.0	1.0
3657.0	1.0
3660.0	2.0
3661.0	1.0
3671.0	1.0
3672.0	1.0
3705.0	1.0
3718.0	1.0
3720.0	1.0
3730.0	1.0
3743.0	1.0
3748.0	1.0
3753.0	1.0
3756.0	1.0
3757.0	1.0
3760.0	1.0
3765.0	1.0
3766.0	1.0
3767.0	1.0
3770.0	1.0
3773.0	1.0
3774.0	2.0
3786.0	1.0
3798.0	1.0
3804.0	1.0
3820.0	1.0
3835.0	1.0
3836.0	1.0
3866.0	1.0
3872.0	1.0
3878.0	1.0
3880.0	1.0
3888.0	1.0
3889.0	1.0
3890.0	1.0
3891.0	1.0
3892.0	1.0
3898.0	1.0
3922.0	1.0
3932.0	1.0
3947.0	1.0
3949.0	1.0
3952.0	1.0
3965.0	1.0
3979.0	1.0
4001.0	1.0
4008.0	1.0
4035.0	1.0
4040.0	2.0
4043.0	1.0
4048.0	1.0
4050.0	1.0
4071.0	1.0
4073.0	1.0
4074.0	1.0
4078.0	1.0
4097.0	1.0
4101.0	1.0
4105.0	1.0
4106.0	1.0
4107.0	1.0
4116.0	1.0
4122.0	1.0
4128.0	1.0
4131.0	1.0
4132.0	1.0
4135.0	1.0
4137.0	1.0
4142.0	1.0
4143.0	1.0
4168.0	1.0
4187.0	1.0
4198.0	1.0
4199.0	1.0
4203.0	1.0
4204.0	1.0
4225.0	1.0
4236.0	1.0
4296.0	1.0
4316.0	1.0
4322.0	1.0
4363.0	1.0
4389.0	1.0
4408.0	1.0
4456.0	1.0
4462.0	1.0
4482.0	1.0
4491.0	1.0
4500.0	1.0
4516.0	1.0
4518.0	1.0
4525.0	2.0
4530.0	1.0
4536.0	1.0
4537.0	2.0
4540.0	1.0
4552.0	1.0
4560.0	1.0
4563.0	1.0
4570.0	1.0
4581.0	1.0
4596.0	1.0
4600.0	1.0
4610.0	1.0
4621.0	1.0
4623.0	1.0
4625.0	2.0
4627.0	1.0
4628.0	1.0
4633.0	2.0
4635.0	1.0
4638.0	2.0
4640.0	1.0
4641.0	1.0
4644.0	1.0
4645.0	1.0
4656.0	1.0
4660.0	1.0
4672.0	1.0
4677.0	1.0
4681.0	1.0
4687.0	1.0
4688.0	1.0
4690.0	1.0
4718.0	1.0
4728.0	1.0
4730.0	1.0
4740.0	1.0
4745.0	1.0
4747.0	1.0
4750.0	1.0
4756.0	1.0
4760.0	1.0
4765.0	1.0
4771.0	1.0
4772.0	1.0
4773.0	1.0
4777.0	1.0
4780.0	1.0
4782.0	1.0
4784.0	1.0
4785.0	1.0
4786.0	1.0
4789.0	1.0
4792.0	1.0
4796.0	1.0
4804.0	1.0
4805.0	1.0
4807.0	1.0
4808.0	2.0
4812.0	1.0
4819.0	1.0
4822.0	1.0
4827.0	1.0
4837.0	1.0
4840.0	1.0
4847.0	1.0
4850.0	1.0
4852.0	1.0
4856.0	1.0
4857.0	2.0
4860.0	1.0
4887.0	1.0
4888.0	1.0
4891.0	1.0
4899.0	1.0
4902.0	2.0
4906.0	1.0
4907.0	2.0
4912.0	1.0
4914.0	1.0
4915.0	1.0
4923.0	1.0
4924.0	1.0
4932.0	1.0
4934.0	2.0
4938.0	1.0
4939.0	2.0
4940.0	1.0
4952.0	1.0
4954.0	1.0
4955.0	1.0
4960.0	1.0
4977.0	1.0
4984.0	1.0
4995.0	1.0
4996.0	1.0
4997.0	1.0
5000.0	1.0
5002.0	1.0
5003.0	1.0
