#Duplication rate	Coverage
1.0	81.0
2.0	60.0
3.0	73.0
4.0	75.0
5.0	70.0
6.0	73.0
7.0	99.0
8.0	106.0
9.0	97.0
10.0	92.0
11.0	109.0
12.0	95.0
13.0	95.0
14.0	113.0
15.0	117.0
16.0	105.0
17.0	120.0
18.0	99.0
19.0	129.0
20.0	111.0
21.0	105.0
22.0	102.0
23.0	120.0
24.0	108.0
25.0	103.0
26.0	111.0
27.0	103.0
28.0	106.0
29.0	112.0
30.0	95.0
31.0	118.0
32.0	131.0
33.0	113.0
34.0	104.0
35.0	116.0
36.0	102.0
37.0	107.0
38.0	98.0
39.0	119.0
40.0	119.0
41.0	139.0
42.0	121.0
43.0	114.0
44.0	120.0
45.0	120.0
46.0	104.0
47.0	99.0
48.0	111.0
49.0	108.0
50.0	24520.0
