#Duplication rate	Coverage
1.0	3838.0
2.0	2466.0
3.0	1610.0
4.0	1214.0
5.0	933.0
6.0	740.0
7.0	663.0
8.0	570.0
9.0	452.0
10.0	406.0
11.0	408.0
12.0	344.0
13.0	278.0
14.0	266.0
15.0	210.0
16.0	247.0
17.0	179.0
18.0	184.0
19.0	137.0
20.0	149.0
21.0	161.0
22.0	124.0
23.0	117.0
24.0	117.0
25.0	96.0
26.0	111.0
27.0	79.0
28.0	71.0
29.0	83.0
30.0	73.0
31.0	71.0
32.0	62.0
33.0	50.0
34.0	46.0
35.0	52.0
36.0	48.0
37.0	43.0
38.0	44.0
39.0	42.0
40.0	44.0
41.0	42.0
42.0	19.0
43.0	34.0
44.0	31.0
45.0	30.0
46.0	28.0
47.0	25.0
48.0	17.0
49.0	32.0
50.0	404.0
