#Insert size (bp)	insert size
6.0	2.0
10.0	4.0
13.0	3.0
21.0	1.0
22.0	3.0
23.0	8.0
26.0	11.0
29.0	1.0
30.0	1.0
33.0	4.0
38.0	1.0
44.0	4.0
48.0	7.0
50.0	8.0
51.0	1.0
53.0	1.0
54.0	3.0
55.0	2.0
56.0	3.0
57.0	4.0
58.0	2.0
59.0	1.0
60.0	1.0
61.0	5.0
62.0	4.0
63.0	8.0
64.0	6.0
65.0	7.0
66.0	12.0
67.0	19.0
68.0	7.0
69.0	10.0
70.0	10.0
71.0	21.0
72.0	9.0
73.0	15.0
74.0	14.0
75.0	28.0
76.0	114.0
77.0	57.0
78.0	24.0
79.0	48.0
80.0	20.0
81.0	60.0
82.0	57.0
83.0	44.0
84.0	34.0
85.0	18.0
86.0	71.0
87.0	45.0
88.0	40.0
89.0	31.0
90.0	34.0
91.0	11.0
92.0	45.0
93.0	75.0
94.0	30.0
95.0	65.0
96.0	36.0
97.0	85.0
98.0	44.0
99.0	38.0
100.0	24.0
101.0	21.0
102.0	10.0
103.0	10.0
104.0	16.0
105.0	44.0
106.0	49.0
107.0	85.0
108.0	71.0
109.0	56.0
110.0	29.0
111.0	60.0
112.0	103.0
113.0	16.0
114.0	40.0
115.0	44.0
116.0	14.0
117.0	34.0
118.0	49.0
119.0	20.0
120.0	24.0
121.0	19.0
122.0	18.0
123.0	21.0
124.0	7.0
125.0	39.0
126.0	11.0
127.0	52.0
128.0	20.0
129.0	89.0
130.0	25.0
131.0	54.0
132.0	29.0
133.0	17.0
134.0	13.0
135.0	23.0
136.0	49.0
137.0	27.0
138.0	30.0
139.0	28.0
140.0	46.0
141.0	48.0
142.0	82.0
143.0	70.0
144.0	112.0
145.0	91.0
146.0	94.0
147.0	127.0
148.0	147.0
149.0	229.0
150.0	168.0
151.0	65.0
152.0	18.0
153.0	18.0
154.0	3.0
155.0	7.0
156.0	8.0
157.0	5.0
158.0	14.0
159.0	2.0
160.0	3.0
161.0	7.0
162.0	17.0
163.0	12.0
164.0	15.0
165.0	7.0
166.0	4.0
168.0	8.0
169.0	2.0
170.0	6.0
171.0	8.0
172.0	13.0
173.0	26.0
174.0	27.0
175.0	19.0
176.0	18.0
177.0	4.0
178.0	2.0
179.0	6.0
180.0	5.0
181.0	7.0
182.0	13.0
183.0	10.0
184.0	8.0
185.0	6.0
186.0	5.0
187.0	7.0
188.0	3.0
189.0	13.0
190.0	8.0
191.0	9.0
192.0	3.0
193.0	4.0
194.0	3.0
195.0	3.0
196.0	6.0
197.0	10.0
198.0	4.0
199.0	3.0
200.0	7.0
201.0	3.0
202.0	2.0
203.0	8.0
204.0	2.0
205.0	6.0
206.0	5.0
207.0	4.0
208.0	2.0
210.0	1.0
211.0	2.0
213.0	5.0
214.0	2.0
215.0	4.0
216.0	4.0
217.0	2.0
218.0	1.0
219.0	3.0
220.0	5.0
221.0	3.0
222.0	5.0
