#Coverage	Number of genomic locations
0.0	13417.0
1.0	1923.0
2.0	1694.0
3.0	385.0
4.0	445.0
5.0	262.0
6.0	126.0
7.0	223.0
8.0	213.0
9.0	182.0
10.0	177.0
11.0	168.0
12.0	90.0
13.0	36.0
14.0	85.0
15.0	59.0
16.0	66.0
17.0	85.0
18.0	21.0
19.0	21.0
20.0	20.0
21.0	33.0
22.0	26.0
23.0	23.0
24.0	47.0
25.0	96.0
26.0	89.0
27.0	20.0
28.0	26.0
29.0	28.0
30.0	76.0
31.0	54.0
32.0	62.0
33.0	42.0
34.0	31.0
35.0	59.0
36.0	83.0
37.0	43.0
38.0	48.0
39.0	31.0
40.0	24.0
41.0	3.0
42.0	18.0
43.0	16.0
44.0	19.0
45.0	14.0
46.0	11.0
47.0	22.0
48.0	26.0
49.0	31.0
50.0	20.0
51.0	21.0
52.0	37.0
53.0	38.0
54.0	24.0
55.0	27.0
56.0	27.0
57.0	22.0
58.0	15.0
59.0	23.0
60.0	14.0
61.0	7.0
62.0	16.0
63.0	8.0
64.0	20.0
65.0	30.0
66.0	15.0
67.0	13.0
68.0	25.0
69.0	14.0
70.0	17.0
71.0	32.0
72.0	20.0
73.0	12.0
74.0	34.0
75.0	27.0
76.0	26.0
77.0	18.0
78.0	10.0
79.0	13.0
80.0	29.0
81.0	34.0
82.0	8.0
83.0	20.0
84.0	10.0
85.0	19.0
86.0	32.0
87.0	14.0
88.0	17.0
89.0	18.0
90.0	13.0
91.0	17.0
92.0	34.0
93.0	40.0
94.0	19.0
95.0	35.0
96.0	33.0
97.0	19.0
98.0	22.0
99.0	24.0
100.0	28.0
101.0	45.0
102.0	24.0
103.0	34.0
104.0	16.0
105.0	23.0
106.0	24.0
107.0	11.0
108.0	22.0
109.0	18.0
110.0	18.0
111.0	11.0
112.0	12.0
113.0	16.0
114.0	10.0
115.0	35.0
116.0	22.0
117.0	41.0
118.0	11.0
119.0	20.0
120.0	24.0
121.0	21.0
122.0	28.0
123.0	41.0
124.0	20.0
125.0	24.0
126.0	20.0
127.0	23.0
128.0	17.0
129.0	15.0
130.0	39.0
131.0	20.0
132.0	13.0
133.0	20.0
134.0	20.0
135.0	34.0
136.0	38.0
137.0	34.0
138.0	23.0
139.0	13.0
140.0	20.0
141.0	23.0
142.0	27.0
143.0	21.0
144.0	27.0
145.0	27.0
146.0	34.0
147.0	44.0
148.0	26.0
149.0	21.0
150.0	30.0
151.0	24.0
152.0	26.0
153.0	12.0
154.0	21.0
155.0	27.0
156.0	17.0
157.0	11.0
158.0	18.0
159.0	5.0
160.0	19.0
161.0	17.0
162.0	9.0
163.0	14.0
164.0	17.0
165.0	19.0
166.0	19.0
167.0	7.0
168.0	17.0
169.0	9.0
170.0	13.0
171.0	4.0
172.0	13.0
173.0	13.0
174.0	22.0
175.0	8.0
176.0	5.0
177.0	11.0
178.0	16.0
179.0	14.0
180.0	15.0
181.0	11.0
182.0	9.0
183.0	4.0
184.0	9.0
185.0	25.0
186.0	12.0
187.0	15.0
188.0	13.0
189.0	9.0
190.0	11.0
191.0	24.0
192.0	11.0
193.0	30.0
194.0	24.0
195.0	14.0
196.0	16.0
197.0	17.0
198.0	9.0
199.0	22.0
200.0	9.0
201.0	14.0
202.0	9.0
203.0	20.0
204.0	13.0
205.0	15.0
206.0	17.0
207.0	9.0
208.0	18.0
209.0	13.0
210.0	18.0
211.0	15.0
212.0	9.0
213.0	16.0
214.0	13.0
215.0	8.0
216.0	15.0
217.0	10.0
218.0	16.0
219.0	14.0
220.0	9.0
221.0	17.0
222.0	20.0
223.0	13.0
224.0	13.0
225.0	8.0
226.0	8.0
227.0	16.0
228.0	16.0
229.0	16.0
230.0	16.0
231.0	24.0
232.0	17.0
233.0	14.0
234.0	11.0
235.0	5.0
236.0	17.0
237.0	11.0
238.0	13.0
239.0	17.0
240.0	15.0
241.0	22.0
242.0	25.0
243.0	8.0
244.0	13.0
245.0	13.0
246.0	13.0
247.0	9.0
248.0	23.0
249.0	12.0
250.0	20.0
251.0	19.0
252.0	14.0
253.0	24.0
254.0	15.0
255.0	19.0
256.0	20.0
257.0	13.0
258.0	9.0
259.0	9.0
260.0	17.0
261.0	12.0
262.0	16.0
263.0	15.0
264.0	11.0
265.0	21.0
266.0	7.0
267.0	9.0
268.0	10.0
269.0	11.0
270.0	15.0
271.0	4.0
272.0	8.0
273.0	10.0
274.0	6.0
275.0	8.0
276.0	10.0
277.0	15.0
278.0	10.0
279.0	10.0
280.0	15.0
281.0	8.0
282.0	2.0
283.0	2.0
284.0	9.0
285.0	7.0
286.0	5.0
287.0	16.0
288.0	17.0
289.0	3.0
290.0	10.0
291.0	15.0
292.0	5.0
293.0	7.0
294.0	5.0
295.0	7.0
296.0	10.0
297.0	15.0
298.0	11.0
299.0	4.0
300.0	3.0
301.0	11.0
302.0	5.0
303.0	12.0
304.0	6.0
305.0	7.0
306.0	9.0
307.0	14.0
308.0	7.0
309.0	13.0
310.0	10.0
311.0	9.0
312.0	7.0
313.0	17.0
314.0	12.0
315.0	10.0
316.0	5.0
317.0	9.0
318.0	7.0
319.0	3.0
320.0	7.0
321.0	5.0
322.0	12.0
323.0	6.0
324.0	7.0
325.0	5.0
326.0	7.0
327.0	6.0
328.0	6.0
329.0	8.0
330.0	3.0
331.0	14.0
332.0	7.0
333.0	10.0
334.0	7.0
335.0	15.0
336.0	19.0
337.0	12.0
338.0	11.0
339.0	16.0
340.0	10.0
341.0	12.0
342.0	10.0
343.0	5.0
344.0	13.0
345.0	21.0
346.0	18.0
347.0	8.0
348.0	7.0
349.0	3.0
350.0	2.0
351.0	9.0
352.0	6.0
353.0	8.0
354.0	14.0
355.0	8.0
356.0	10.0
357.0	18.0
358.0	13.0
359.0	9.0
360.0	8.0
361.0	14.0
362.0	3.0
363.0	9.0
364.0	7.0
365.0	2.0
366.0	6.0
367.0	9.0
368.0	3.0
369.0	3.0
370.0	8.0
371.0	1.0
372.0	9.0
373.0	9.0
374.0	6.0
375.0	3.0
376.0	5.0
377.0	4.0
378.0	10.0
379.0	2.0
380.0	6.0
381.0	8.0
382.0	10.0
383.0	4.0
384.0	7.0
385.0	4.0
386.0	18.0
387.0	7.0
388.0	9.0
389.0	4.0
390.0	8.0
392.0	8.0
393.0	15.0
394.0	3.0
395.0	4.0
396.0	9.0
397.0	9.0
398.0	8.0
399.0	3.0
400.0	5.0
401.0	6.0
402.0	10.0
403.0	6.0
404.0	8.0
405.0	7.0
406.0	4.0
407.0	4.0
408.0	7.0
409.0	2.0
410.0	7.0
411.0	2.0
412.0	3.0
413.0	4.0
414.0	6.0
415.0	12.0
416.0	11.0
417.0	9.0
418.0	7.0
419.0	7.0
420.0	8.0
421.0	6.0
422.0	5.0
423.0	6.0
424.0	1.0
425.0	4.0
426.0	6.0
427.0	11.0
428.0	4.0
429.0	8.0
430.0	6.0
431.0	6.0
432.0	2.0
433.0	10.0
434.0	5.0
435.0	3.0
436.0	7.0
437.0	5.0
438.0	5.0
439.0	3.0
440.0	7.0
441.0	5.0
442.0	6.0
443.0	1.0
444.0	3.0
445.0	1.0
446.0	6.0
447.0	4.0
448.0	8.0
449.0	2.0
450.0	3.0
451.0	8.0
452.0	7.0
453.0	5.0
454.0	9.0
455.0	6.0
456.0	6.0
457.0	7.0
458.0	10.0
459.0	6.0
460.0	2.0
461.0	6.0
462.0	7.0
463.0	15.0
464.0	9.0
465.0	3.0
466.0	6.0
467.0	2.0
468.0	7.0
469.0	2.0
470.0	2.0
471.0	4.0
472.0	1.0
473.0	7.0
474.0	11.0
475.0	2.0
476.0	4.0
477.0	3.0
478.0	2.0
479.0	5.0
480.0	11.0
481.0	9.0
482.0	6.0
483.0	5.0
484.0	3.0
485.0	1.0
486.0	2.0
487.0	8.0
488.0	5.0
489.0	9.0
490.0	8.0
491.0	5.0
492.0	2.0
493.0	5.0
494.0	6.0
495.0	13.0
496.0	5.0
497.0	5.0
498.0	9.0
499.0	12.0
500.0	6.0
501.0	9.0
502.0	10.0
503.0	5.0
504.0	9.0
505.0	1.0
506.0	3.0
507.0	2.0
508.0	3.0
509.0	4.0
510.0	4.0
511.0	8.0
512.0	3.0
513.0	4.0
514.0	8.0
515.0	5.0
516.0	8.0
517.0	7.0
518.0	5.0
519.0	10.0
520.0	6.0
521.0	5.0
522.0	5.0
523.0	3.0
524.0	9.0
525.0	7.0
