#Coverage	Number of genomic locations
0.0	293.0
1.0	423.0
2.0	513.0
3.0	122.0
4.0	401.0
5.0	228.0
6.0	430.0
7.0	523.0
8.0	671.0
9.0	679.0
10.0	596.0
11.0	561.0
12.0	645.0
13.0	568.0
14.0	943.0
15.0	368.0
16.0	775.0
17.0	408.0
18.0	703.0
19.0	516.0
20.0	617.0
21.0	406.0
22.0	931.0
23.0	739.0
24.0	750.0
25.0	433.0
26.0	454.0
27.0	477.0
28.0	460.0
29.0	424.0
30.0	527.0
31.0	484.0
32.0	316.0
33.0	450.0
34.0	359.0
35.0	401.0
36.0	342.0
37.0	487.0
38.0	258.0
39.0	517.0
40.0	388.0
41.0	465.0
42.0	393.0
43.0	360.0
44.0	277.0
45.0	444.0
46.0	220.0
47.0	428.0
48.0	327.0
49.0	382.0
50.0	308.0
51.0	92.0
52.0	73.0
53.0	103.0
54.0	231.0
55.0	115.0
56.0	151.0
57.0	184.0
58.0	203.0
59.0	170.0
60.0	166.0
61.0	197.0
62.0	152.0
63.0	132.0
64.0	98.0
65.0	95.0
66.0	166.0
67.0	94.0
68.0	125.0
69.0	95.0
70.0	103.0
71.0	48.0
72.0	63.0
73.0	86.0
74.0	40.0
75.0	97.0
76.0	55.0
77.0	60.0
78.0	136.0
79.0	65.0
80.0	76.0
81.0	39.0
82.0	44.0
83.0	72.0
84.0	21.0
85.0	28.0
86.0	84.0
87.0	101.0
88.0	78.0
89.0	86.0
90.0	55.0
91.0	48.0
92.0	43.0
93.0	23.0
94.0	39.0
95.0	24.0
96.0	7.0
97.0	14.0
98.0	11.0
99.0	12.0
100.0	7.0
101.0	59.0
102.0	42.0
103.0	2.0
104.0	16.0
105.0	33.0
106.0	15.0
107.0	55.0
108.0	33.0
109.0	46.0
110.0	26.0
111.0	46.0
112.0	55.0
113.0	18.0
114.0	54.0
115.0	55.0
116.0	62.0
117.0	25.0
118.0	11.0
119.0	37.0
120.0	47.0
121.0	13.0
122.0	3.0
123.0	4.0
124.0	58.0
125.0	11.0
126.0	3.0
127.0	13.0
128.0	21.0
129.0	21.0
130.0	33.0
131.0	23.0
132.0	23.0
133.0	35.0
134.0	15.0
135.0	4.0
136.0	1.0
138.0	13.0
139.0	2.0
140.0	1.0
141.0	11.0
142.0	17.0
143.0	17.0
144.0	1.0
145.0	2.0
146.0	15.0
147.0	16.0
148.0	18.0
149.0	1.0
150.0	5.0
151.0	4.0
152.0	1.0
153.0	14.0
154.0	12.0
155.0	1.0
156.0	4.0
157.0	14.0
158.0	13.0
166.0	1.0
167.0	3.0
168.0	3.0
169.0	2.0
170.0	8.0
171.0	19.0
177.0	3.0
178.0	1.0
183.0	3.0
206.0	1.0
208.0	1.0
211.0	1.0
214.0	1.0
216.0	4.0
217.0	1.0
218.0	4.0
219.0	2.0
220.0	4.0
221.0	3.0
222.0	13.0
223.0	16.0
224.0	4.0
225.0	5.0
226.0	4.0
228.0	1.0
253.0	9.0
254.0	4.0
262.0	1.0
264.0	1.0
265.0	1.0
266.0	2.0
267.0	8.0
268.0	4.0
271.0	8.0
272.0	7.0
317.0	7.0
523.0	1.0
3691.0	1.0
3703.0	1.0
3735.0	2.0
3736.0	1.0
3783.0	1.0
3790.0	1.0
3814.0	1.0
3824.0	1.0
3825.0	1.0
3832.0	1.0
3836.0	1.0
3840.0	1.0
3841.0	1.0
3868.0	1.0
3876.0	1.0
3895.0	1.0
3903.0	1.0
3916.0	1.0
3917.0	2.0
3918.0	4.0
3921.0	1.0
3922.0	1.0
3923.0	18.0
