#Insert size (bp)	insert size
12.0	1.0
20.0	1.0
24.0	1.0
25.0	1.0
26.0	1.0
38.0	2.0
42.0	2.0
50.0	1.0
54.0	1.0
56.0	1.0
57.0	2.0
60.0	1.0
64.0	1.0
67.0	1.0
68.0	1.0
71.0	1.0
72.0	2.0
73.0	1.0
75.0	1.0
76.0	2.0
77.0	3.0
79.0	2.0
80.0	1.0
83.0	3.0
84.0	1.0
85.0	1.0
86.0	6.0
87.0	1.0
88.0	4.0
89.0	1.0
90.0	2.0
91.0	1.0
92.0	5.0
93.0	4.0
94.0	1.0
95.0	5.0
96.0	1.0
97.0	2.0
98.0	2.0
99.0	3.0
100.0	6.0
101.0	3.0
102.0	3.0
103.0	1.0
104.0	2.0
105.0	3.0
106.0	3.0
107.0	3.0
108.0	7.0
109.0	13.0
110.0	81.0
112.0	6.0
113.0	3.0
114.0	5.0
115.0	3.0
116.0	7.0
117.0	1.0
118.0	4.0
119.0	2.0
120.0	3.0
121.0	10.0
122.0	4.0
123.0	13.0
124.0	4.0
125.0	7.0
126.0	4.0
128.0	5.0
129.0	3.0
130.0	4.0
131.0	5.0
132.0	5.0
133.0	2.0
134.0	2.0
135.0	8.0
136.0	3.0
137.0	6.0
138.0	10.0
139.0	7.0
140.0	11.0
141.0	9.0
142.0	7.0
143.0	5.0
144.0	8.0
145.0	3.0
146.0	8.0
147.0	10.0
148.0	6.0
149.0	13.0
150.0	5.0
151.0	6.0
152.0	2.0
153.0	6.0
154.0	10.0
155.0	2.0
156.0	6.0
157.0	15.0
158.0	5.0
159.0	6.0
160.0	4.0
161.0	10.0
162.0	7.0
163.0	17.0
164.0	6.0
165.0	7.0
166.0	18.0
167.0	6.0
168.0	5.0
169.0	4.0
170.0	9.0
171.0	5.0
172.0	7.0
173.0	2.0
174.0	7.0
175.0	10.0
176.0	4.0
177.0	5.0
178.0	4.0
179.0	4.0
180.0	7.0
181.0	4.0
182.0	7.0
183.0	6.0
184.0	11.0
185.0	3.0
186.0	1.0
187.0	9.0
188.0	5.0
189.0	4.0
190.0	5.0
191.0	5.0
192.0	12.0
193.0	13.0
194.0	11.0
195.0	8.0
196.0	24.0
197.0	1.0
198.0	12.0
199.0	6.0
200.0	5.0
201.0	3.0
202.0	6.0
203.0	5.0
204.0	10.0
205.0	13.0
206.0	7.0
207.0	22.0
208.0	21.0
209.0	8.0
210.0	18.0
211.0	4.0
212.0	7.0
213.0	4.0
214.0	5.0
215.0	14.0
216.0	7.0
217.0	2.0
218.0	8.0
219.0	8.0
220.0	7.0
221.0	6.0
222.0	8.0
223.0	6.0
224.0	8.0
225.0	2.0
226.0	5.0
227.0	4.0
228.0	6.0
229.0	9.0
230.0	5.0
231.0	13.0
232.0	7.0
233.0	5.0
234.0	5.0
235.0	2.0
236.0	4.0
237.0	4.0
238.0	1.0
239.0	4.0
240.0	3.0
241.0	7.0
242.0	6.0
243.0	5.0
244.0	2.0
245.0	12.0
246.0	6.0
247.0	3.0
248.0	5.0
249.0	6.0
250.0	4.0
251.0	5.0
252.0	10.0
253.0	7.0
254.0	4.0
255.0	6.0
256.0	27.0
257.0	7.0
258.0	5.0
259.0	8.0
260.0	6.0
261.0	3.0
262.0	5.0
263.0	1.0
264.0	6.0
265.0	8.0
266.0	4.0
267.0	1.0
268.0	4.0
269.0	4.0
270.0	5.0
271.0	1.0
272.0	73.0
273.0	5.0
274.0	1.0
275.0	4.0
276.0	2.0
277.0	3.0
278.0	4.0
279.0	4.0
280.0	1.0
281.0	3.0
282.0	3.0
283.0	3.0
284.0	4.0
285.0	4.0
286.0	5.0
287.0	6.0
288.0	5.0
289.0	7.0
290.0	3.0
291.0	6.0
292.0	3.0
293.0	1.0
294.0	7.0
295.0	4.0
296.0	2.0
297.0	4.0
298.0	9.0
299.0	11.0
300.0	4.0
301.0	4.0
302.0	2.0
303.0	5.0
304.0	2.0
305.0	6.0
306.0	6.0
307.0	5.0
308.0	5.0
309.0	6.0
310.0	11.0
311.0	1.0
312.0	6.0
313.0	8.0
314.0	11.0
315.0	2.0
316.0	3.0
317.0	5.0
318.0	9.0
319.0	5.0
320.0	9.0
321.0	6.0
322.0	9.0
323.0	3.0
324.0	6.0
325.0	5.0
326.0	10.0
327.0	3.0
328.0	3.0
329.0	5.0
330.0	8.0
331.0	5.0
332.0	6.0
333.0	5.0
334.0	4.0
335.0	5.0
336.0	14.0
337.0	9.0
338.0	6.0
339.0	6.0
340.0	7.0
341.0	7.0
342.0	4.0
343.0	6.0
344.0	8.0
345.0	8.0
346.0	8.0
347.0	5.0
348.0	5.0
349.0	9.0
350.0	8.0
351.0	4.0
352.0	4.0
353.0	11.0
354.0	7.0
355.0	6.0
356.0	3.0
357.0	2.0
358.0	5.0
359.0	5.0
360.0	3.0
361.0	6.0
362.0	6.0
363.0	5.0
364.0	8.0
365.0	11.0
366.0	11.0
367.0	13.0
368.0	12.0
369.0	8.0
370.0	19.0
371.0	10.0
372.0	18.0
373.0	29.0
374.0	31.0
375.0	32.0
376.0	44.0
377.0	54.0
378.0	61.0
379.0	65.0
380.0	76.0
381.0	63.0
382.0	58.0
383.0	53.0
384.0	47.0
385.0	47.0
386.0	44.0
387.0	49.0
388.0	55.0
389.0	53.0
390.0	45.0
391.0	47.0
392.0	51.0
393.0	55.0
394.0	42.0
395.0	32.0
396.0	20.0
397.0	14.0
398.0	17.0
399.0	21.0
400.0	19.0
401.0	15.0
402.0	14.0
403.0	17.0
404.0	19.0
405.0	22.0
406.0	20.0
407.0	11.0
408.0	9.0
409.0	9.0
410.0	9.0
411.0	9.0
412.0	9.0
413.0	7.0
414.0	4.0
415.0	6.0
416.0	12.0
417.0	7.0
418.0	7.0
419.0	4.0
420.0	3.0
429.0	1.0
430.0	1.0
433.0	1.0
439.0	1.0
442.0	1.0
455.0	1.0
456.0	3.0
457.0	1.0
461.0	2.0
469.0	1.0
470.0	1.0
472.0	5.0
473.0	7.0
474.0	1.0
476.0	2.0
480.0	1.0
483.0	1.0
485.0	1.0
487.0	3.0
491.0	1.0
493.0	22.0
495.0	4.0
497.0	1.0
508.0	1.0
509.0	1.0
510.0	3.0
513.0	1.0
514.0	1.0
515.0	1.0
533.0	22.0
540.0	9.0
542.0	39.0
544.0	3.0
545.0	1.0
547.0	9.0
548.0	1.0
550.0	1.0
552.0	1.0
555.0	1.0
556.0	36.0
564.0	1.0
566.0	1.0
567.0	1.0
568.0	1.0
570.0	6.0
572.0	1.0
574.0	2.0
578.0	1.0
582.0	1.0
584.0	3.0
587.0	1.0
593.0	1.0
595.0	3.0
596.0	1.0
600.0	1.0
610.0	2.0
611.0	1.0
613.0	2.0
616.0	1.0
621.0	2.0
623.0	5.0
624.0	3.0
625.0	2.0
626.0	1.0
627.0	1.0
628.0	2.0
629.0	1.0
630.0	1.0
632.0	3.0
633.0	1.0
634.0	2.0
635.0	1.0
638.0	1.0
640.0	2.0
641.0	3.0
643.0	3.0
645.0	1.0
651.0	1.0
653.0	2.0
654.0	6.0
656.0	1.0
659.0	1.0
660.0	1.0
671.0	1.0
673.0	1.0
676.0	1.0
677.0	1.0
678.0	1.0
679.0	3.0
681.0	2.0
682.0	2.0
683.0	2.0
684.0	1.0
685.0	1.0
688.0	2.0
691.0	1.0
693.0	2.0
694.0	2.0
695.0	2.0
696.0	4.0
697.0	3.0
698.0	1.0
700.0	1.0
701.0	1.0
702.0	1.0
704.0	1.0
705.0	1.0
706.0	1.0
707.0	1.0
708.0	1.0
709.0	1.0
712.0	1.0
713.0	1.0
715.0	2.0
716.0	1.0
717.0	1.0
718.0	1.0
719.0	1.0
721.0	1.0
722.0	1.0
724.0	1.0
725.0	1.0
726.0	3.0
728.0	3.0
734.0	1.0
736.0	1.0
750.0	1.0
775.0	2.0
776.0	1.0
785.0	3.0
815.0	2.0
816.0	1.0
825.0	2.0
826.0	1.0
830.0	6.0
831.0	1.0
849.0	1.0
854.0	2.0
856.0	2.0
868.0	3.0
871.0	1.0
873.0	1.0
894.0	1.0
903.0	2.0
905.0	1.0
907.0	1.0
939.0	1.0
956.0	9.0
966.0	1.0
967.0	2.0
975.0	1.0
982.0	1.0
997.0	2.0
998.0	3.0
1009.0	1.0
1011.0	1.0
1024.0	1.0
1029.0	1.0
1030.0	2.0
1032.0	1.0
1042.0	2.0
1061.0	1.0
1064.0	4.0
1096.0	1.0
1097.0	10.0
1102.0	3.0
1108.0	3.0
1110.0	1.0
1130.0	3.0
1145.0	1.0
1182.0	1.0
1184.0	1.0
1189.0	3.0
1202.0	1.0
1224.0	6.0
1231.0	1.0
1236.0	1.0
1240.0	1.0
1252.0	2.0
1268.0	3.0
1290.0	1.0
1304.0	1.0
1341.0	1.0
1345.0	2.0
1365.0	1.0
1452.0	1.0
1454.0	1.0
1475.0	1.0
1488.0	1.0
1491.0	1.0
1493.0	4.0
1498.0	1.0
1562.0	1.0
1567.0	2.0
1587.0	1.0
1626.0	1.0
1645.0	1.0
1726.0	1.0
1798.0	3.0
1822.0	1.0
1837.0	1.0
1838.0	1.0
1840.0	1.0
1857.0	1.0
1885.0	1.0
1941.0	1.0
1971.0	1.0
2057.0	1.0
2074.0	1.0
2092.0	1.0
2149.0	1.0
2344.0	1.0
2412.0	1.0
2431.0	1.0
2459.0	1.0
2466.0	1.0
2499.0	1.0
2504.0	1.0
2506.0	1.0
2517.0	1.0
2535.0	1.0
2574.0	1.0
2613.0	1.0
2632.0	1.0
2644.0	1.0
2686.0	1.0
2725.0	1.0
2786.0	1.0
2843.0	1.0
2896.0	1.0
2907.0	1.0
3050.0	1.0
3094.0	1.0
3130.0	1.0
3277.0	2.0
3289.0	1.0
3307.0	6.0
3309.0	2.0
3316.0	1.0
3329.0	39.0
3330.0	1.0
3332.0	1.0
3334.0	1.0
3420.0	1.0
3426.0	1.0
3438.0	1.0
3462.0	1.0
3516.0	2.0
3524.0	39.0
3526.0	2.0
3532.0	1.0
3600.0	1.0
3609.0	1.0
3675.0	1.0
3722.0	1.0
3742.0	1.0
3750.0	1.0
3751.0	1.0
3772.0	1.0
3825.0	1.0
3931.0	1.0
3964.0	2.0
4020.0	1.0
4127.0	1.0
4313.0	1.0
4467.0	2.0
4608.0	1.0
4659.0	2.0
4711.0	1.0
4960.0	1.0
5067.0	4.0
5308.0	3.0
5864.0	1.0
5870.0	1.0
5897.0	1.0
6340.0	1.0
6636.0	1.0
6699.0	1.0
6725.0	1.0
6919.0	1.0
7244.0	1.0
7308.0	1.0
7547.0	2.0
7691.0	2.0
7785.0	1.0
8113.0	1.0
8331.0	1.0
8524.0	1.0
8720.0	1.0
8800.0	1.0
9038.0	1.0
9904.0	1.0
10117.0	1.0
10150.0	1.0
10199.0	1.0
10203.0	3.0
10215.0	2.0
10547.0	1.0
10970.0	1.0
11112.0	1.0
11226.0	1.0
11362.0	2.0
11364.0	10.0
11460.0	1.0
11463.0	1.0
11776.0	1.0
11945.0	1.0
12269.0	1.0
12568.0	1.0
12872.0	1.0
13427.0	1.0
13539.0	1.0
13822.0	1.0
14112.0	1.0
14201.0	1.0
14552.0	1.0
15479.0	1.0
16048.0	1.0
16179.0	1.0
16643.0	1.0
17075.0	1.0
17954.0	1.0
18611.0	1.0
20092.0	1.0
20386.0	1.0
20423.0	1.0
21284.0	1.0
21323.0	1.0
21328.0	5.0
21428.0	1.0
21478.0	66.0
21483.0	2.0
21489.0	1.0
21499.0	1.0
21500.0	3.0
21504.0	1.0
21506.0	1.0
21511.0	1.0
21515.0	1.0
21626.0	1.0
21643.0	1.0
21707.0	1.0
21708.0	1.0
21711.0	1.0
21712.0	2.0
21713.0	68.0
21770.0	2.0
21802.0	5.0
21890.0	1.0
21891.0	1.0
22007.0	1.0
22495.0	1.0
22529.0	1.0
24126.0	1.0
24948.0	1.0
25250.0	1.0
25364.0	1.0
25593.0	2.0
25789.0	1.0
25793.0	1.0
25873.0	1.0
25964.0	1.0
26123.0	1.0
26159.0	1.0
26166.0	1.0
26168.0	18.0
26169.0	2.0
26181.0	1.0
26201.0	1.0
26220.0	1.0
26277.0	1.0
26393.0	197.0
26537.0	1.0
26549.0	6.0
26551.0	3.0
26557.0	5.0
26558.0	1.0
26559.0	1.0
26560.0	211.0
26806.0	1.0
26809.0	1.0
26966.0	1.0
26967.0	76.0
26992.0	1.0
27176.0	1.0
27183.0	1.0
27184.0	2.0
27185.0	43.0
27192.0	1.0
27193.0	1.0
27197.0	35.0
27205.0	2.0
27673.0	1.0
27984.0	2.0
28008.0	7.0
28042.0	1.0
28048.0	1.0
28050.0	1.0
28051.0	1.0
28052.0	46.0
28055.0	1.0
28129.0	1.0
28158.0	1.0
28164.0	5.0
28166.0	1.0
28175.0	2.0
28180.0	26.0
28181.0	303.0
28185.0	1.0
28203.0	1.0
28338.0	1.0
28395.0	1.0
28422.0	1.0
28424.0	3.0
28425.0	1.0
28426.0	2.0
28428.0	1.0
28429.0	5.0
28430.0	3.0
28431.0	3.0
28432.0	7.0
28433.0	2.0
28434.0	307.0
28435.0	8.0
29215.0	1.0
