date	clade
2020/05/29	A2a
2020/03/29	I/A3i
2020/04/09	I/A3i
2020/03/31	I/A3i
2020/03/31	I/A3i
2020/03/28	I/A3i
2020/03/31	I/A3i
2020/03/31	I/A3i
2020/04/09	I/A3i
2020/04/09	I/A3i
2020/04/12	I/A3i
2020/08/24	A2a
2020/06/12	A2a
2020/06/16	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/20	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/05/09	I/A3i
2020/05/07	I/A3i
2020/05/03	A2a
2020/05/01	A2a
2020/05/12	I/A3i
2020/05/12	A2a
2020/05/08	I/A3i
2020/05/09	I/A3i
2020/05/21	I/A3i
2020/05/21	I/A3i
2020/05/08	I/A3i
2020/05/10	I/A3i
2020/05/08	I/A3i
2020/05/08	A2a
2020/05/08	I/A3i
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/05/09	I/A3i
2020/05/13	I/A3i
2020/05/05	I/A3i
2020/05/05	I/A3i
2020/05/06	I/A3i
2020/05/10	I/A3i
2020/05/10	I/A3i
2020/05/11	I/A3i
2020/05/11	I/A3i
2020/05/10	I/A3i
2020/05/11	I/A3i
2020/04/27	I/A3i
2020/05/01	I/A3i
2020/05/01	I/A3i
2020/04/29	I/A3i
2020/04/27	I/A3i
2020/04/28	I/A3i
2020/05/06	I/A3i
2020/04/27	I/A3i
2020/05/01	I/A3i
2020/05/01	I/A3i
2020/05/18	I/A3i
2020/03/13	A2a
2020/03/15	A1a
2020/03/15	A2a
2020/03/16	B
2020/03/16	A2a
2020/03/17	A1a
2020/03/18	A2a
2020/03/18	A2a
2020/03/18	A2a
2020/03/18	A2a
2020/03/18	A2a
2020/03/18	A2a
2020/03/25	A2a
2020/03/26	A2a
2020/03/26	A2a
2020/03/30	B
2020/03/31	I/A3i
2020/04/05	I/A3i
2020/04/05	I/A3i
2020/04/05	I/A3i
2020/04/05	I/A3i
2020/04/05	I/A3i
2020/04/05	I/A3i
2020/04/05	Unassigned
2020/04/05	I/A3i
2020/04/05	I/A3i
2020/04/05	I/A3i
2020/04/05	I/A3i
2020/04/05	B
2020/04/09	I/A3i
2020/04/06	I/A3i
2020/04/08	I/A3i
2020/04/09	I/A3i
2020/04/12	I/A3i
2020/04/13	I/A3i
2020/04/13	I/A3i
2020/04/14	I/A3i
2020/04/13	A2a
2020/04/13	A2a
2020/08/24	A2a
2020/06/12	A2a
2020/08/25	A2a
2020/05/17	I/A3i
2020/05/17	I/A3i
2020/05/17	I/A3i
2020/05/16	I/A3i
2020/05/16	I/A3i
2020/05/16	I/A3i
2020/05/16	I/A3i
2020/05/16	A2a
2020/05/17	I/A3i
2020/05/17	I/A3i
2020/05/17	I/A3i
2020/05/17	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	A2a
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/15	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/19	I/A3i
2020/05/19	I/A3i
2020/05/19	I/A3i
2020/05/19	I/A3i
2020/05/19	I/A3i
2020/05/19	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	A2a
2020/05/18	A2a
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/18	Unassigned
2020/05/18	I/A3i
2020/05/18	I/A3i
2020/05/19	I/A3i
2020/05/19	I/A3i
2020/05/19	A2a
2020/05/19	I/A3i
2020/05/19	I/A3i
2020/05/19	I/A3i
2020/05/19	Unassigned
2020/05/19	I/A3i
2020/05/19	I/A3i
2020/05/19	I/A3i
2020/05/19	A2a
2020/05/19	I/A3i
2020/05/19	I/A3i
2020/05/20	I/A3i
2020/05/20	I/A3i
2020/05/20	I/A3i
2020/05/20	I/A3i
2020/05/20	I/A3i
2020/05/20	I/A3i
2020/05/20	I/A3i
2020/05/20	I/A3i
2020/05/20	A2a
2020/05/20	A2a
2020/05/21	I/A3i
2020/05/21	I/A3i
2020/05/21	A2a
2020/05/23	A2a
2020/05/22	I/A3i
2020/05/23	I/A3i
2020/05/23	I/A3i
2020/05/23	I/A3i
2020/05/23	I/A3i
2020/05/23	I/A3i
2020/05/23	I/A3i
2020/05/21	I/A3i
2020/05/21	I/A3i
2020/05/21	I/A3i
2020/05/23	I/A3i
2020/05/24	I/A3i
2020/05/25	I/A3i
2020/05/25	I/A3i
2020/05/25	I/A3i
2020/05/25	I/A3i
2020/05/23	I/A3i
2020/05/23	I/A3i
2020/05/23	I/A3i
2020/05/23	A2a
2020/05/23	A2a
2020/05/23	I/A3i
2020/05/25	I/A3i
2020/05/25	I/A3i
2020/05/25	A2a
2020/05/25	I/A3i
2020/05/25	I/A3i
2020/05/26	I/A3i
2020/05/26	I/A3i
2020/05/26	I/A3i
2020/05/27	I/A3i
2020/05/27	I/A3i
2020/05/27	I/A3i
2020/05/27	I/A3i
2020/05/27	I/A3i
2020/05/27	I/A3i
2020/05/27	A2a
2020/05/27	A2a
2020/05/27	A2a
2020/05/27	A2a
2020/05/27	A2a
2020/05/27	A2a
2020/05/28	A2a
2020/05/28	A2a
2020/05/28	I/A3i
2020/05/28	A2a
2020/05/28	I/A3i
2020/05/28	I/A3i
2020/05/27	A2a
2020/05/27	A2a
2020/05/27	I/A3i
2020/05/27	I/A3i
2020/05/28	I/A3i
2020/05/28	I/A3i
2020/05/28	I/A3i
2020/05/28	I/A3i
2020/05/28	I/A3i
2020/05/28	Unassigned
2020/05/28	A2a
2020/05/28	A2a
2020/05/28	I/A3i
2020/05/28	I/A3i
2020/05/28	I/A3i
2020/05/28	A2
2020/05/28	A2a
2020/05/28	I/A3i
2020/05/28	I/A3i
2020/05/28	I/A3i
2020/05/28	I/A3i
2020/05/28	A2a
2020/05/28	I/A3i
2020/05/28	Unassigned
2020/05/28	A2a
2020/05/28	A2a
2020/05/28	I/A3i
2020/05/28	I/A3i
2020/05/28	I/A3i
2020/05/28	A2a
2020/05/28	I/A3i
2020/05/28	I/A3i
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/01/01	Unassigned
2020/01/01	Unassigned
