#Insert size (bp)	insert size
36.0	88.0
37.0	100.0
38.0	81.0
39.0	103.0
40.0	112.0
41.0	117.0
42.0	109.0
43.0	111.0
44.0	109.0
45.0	103.0
46.0	102.0
47.0	85.0
48.0	59.0
49.0	59.0
50.0	73.0
51.0	74.0
52.0	90.0
53.0	100.0
54.0	83.0
55.0	75.0
56.0	70.0
57.0	74.0
58.0	68.0
59.0	58.0
60.0	69.0
61.0	54.0
62.0	76.0
63.0	81.0
64.0	60.0
65.0	54.0
66.0	60.0
67.0	62.0
68.0	50.0
69.0	30.0
70.0	45.0
71.0	51.0
72.0	47.0
73.0	30.0
74.0	30.0
75.0	37.0
76.0	29.0
77.0	26.0
78.0	11.0
79.0	6.0
80.0	11.0
81.0	10.0
82.0	12.0
83.0	17.0
84.0	16.0
85.0	8.0
86.0	14.0
87.0	8.0
88.0	10.0
89.0	5.0
90.0	11.0
91.0	5.0
92.0	8.0
93.0	3.0
94.0	9.0
95.0	14.0
96.0	8.0
97.0	7.0
99.0	7.0
100.0	9.0
101.0	9.0
102.0	8.0
103.0	7.0
104.0	11.0
105.0	12.0
106.0	9.0
107.0	7.0
108.0	8.0
109.0	6.0
110.0	12.0
111.0	12.0
112.0	12.0
113.0	13.0
114.0	12.0
115.0	8.0
116.0	10.0
117.0	13.0
118.0	13.0
119.0	17.0
120.0	14.0
121.0	9.0
122.0	5.0
123.0	10.0
124.0	18.0
125.0	12.0
126.0	20.0
127.0	13.0
128.0	10.0
129.0	8.0
130.0	14.0
131.0	14.0
132.0	13.0
133.0	9.0
134.0	16.0
135.0	8.0
136.0	8.0
137.0	15.0
138.0	17.0
139.0	14.0
140.0	13.0
141.0	9.0
142.0	10.0
143.0	19.0
144.0	173.0
145.0	194.0
146.0	166.0
147.0	209.0
148.0	176.0
149.0	227.0
150.0	455.0
151.0	5415.0
152.0	8092.0
153.0	7971.0
154.0	8039.0
155.0	8150.0
156.0	8327.0
157.0	8218.0
158.0	8128.0
159.0	4424.0
160.0	4387.0
161.0	4267.0
162.0	4157.0
163.0	4043.0
164.0	4091.0
165.0	4001.0
166.0	4100.0
167.0	4211.0
168.0	4211.0
169.0	4142.0
170.0	4112.0
171.0	4077.0
172.0	3967.0
173.0	3827.0
174.0	3762.0
175.0	3756.0
176.0	3784.0
177.0	3856.0
178.0	3877.0
179.0	3841.0
180.0	3810.0
181.0	3734.0
182.0	3710.0
183.0	3548.0
184.0	3494.0
185.0	3522.0
186.0	3529.0
187.0	3544.0
188.0	3543.0
189.0	3663.0
190.0	3552.0
191.0	3576.0
192.0	3455.0
193.0	3421.0
194.0	3265.0
195.0	3197.0
196.0	3234.0
197.0	3331.0
198.0	3339.0
199.0	3368.0
200.0	3293.0
201.0	3294.0
202.0	3176.0
203.0	3146.0
204.0	3124.0
205.0	2985.0
206.0	2989.0
207.0	2999.0
208.0	3004.0
209.0	3034.0
210.0	3047.0
211.0	3010.0
212.0	2989.0
213.0	2953.0
214.0	2915.0
215.0	2805.0
216.0	2770.0
217.0	2674.0
218.0	2754.0
219.0	2759.0
220.0	2690.0
221.0	2727.0
222.0	2748.0
223.0	2651.0
224.0	2665.0
225.0	2542.0
226.0	2563.0
227.0	2522.0
228.0	2509.0
229.0	2551.0
230.0	2526.0
231.0	2475.0
232.0	2502.0
233.0	2421.0
234.0	2411.0
235.0	2330.0
236.0	2341.0
237.0	2236.0
238.0	2286.0
239.0	2334.0
240.0	2287.0
241.0	2290.0
242.0	2243.0
243.0	2237.0
244.0	2164.0
245.0	2210.0
246.0	2131.0
247.0	2108.0
248.0	2049.0
249.0	2019.0
250.0	2029.0
251.0	2065.0
252.0	2059.0
253.0	2017.0
254.0	1988.0
255.0	1960.0
256.0	1950.0
257.0	1899.0
258.0	1862.0
259.0	1863.0
260.0	1876.0
261.0	1848.0
262.0	1828.0
263.0	1805.0
264.0	1828.0
265.0	1806.0
266.0	1805.0
267.0	1728.0
268.0	1657.0
269.0	1669.0
270.0	1740.0
271.0	1655.0
272.0	1707.0
273.0	1632.0
274.0	1623.0
275.0	1576.0
276.0	1601.0
277.0	1601.0
278.0	1548.0
279.0	1516.0
280.0	1526.0
281.0	1480.0
282.0	1480.0
283.0	1479.0
284.0	1453.0
285.0	1481.0
286.0	1448.0
287.0	1452.0
288.0	1380.0
289.0	1345.0
290.0	1355.0
291.0	1314.0
292.0	1338.0
293.0	1313.0
294.0	1249.0
295.0	1295.0
296.0	1231.0
297.0	1221.0
298.0	1292.0
299.0	1157.0
300.0	1213.0
301.0	1111.0
302.0	1175.0
303.0	1137.0
304.0	1117.0
305.0	1110.0
306.0	1045.0
307.0	1109.0
308.0	1038.0
309.0	1060.0
310.0	1028.0
311.0	1010.0
312.0	1018.0
313.0	972.0
314.0	981.0
315.0	927.0
316.0	912.0
317.0	908.0
318.0	885.0
319.0	939.0
320.0	884.0
321.0	827.0
322.0	853.0
323.0	814.0
324.0	823.0
325.0	779.0
326.0	798.0
327.0	770.0
328.0	767.0
329.0	752.0
330.0	728.0
331.0	676.0
332.0	724.0
333.0	692.0
334.0	651.0
335.0	648.0
336.0	605.0
337.0	632.0
338.0	633.0
339.0	595.0
340.0	606.0
341.0	532.0
342.0	555.0
343.0	547.0
344.0	514.0
345.0	523.0
346.0	478.0
347.0	455.0
348.0	464.0
349.0	462.0
350.0	433.0
351.0	430.0
352.0	416.0
353.0	390.0
354.0	378.0
355.0	360.0
356.0	408.0
357.0	334.0
358.0	360.0
359.0	343.0
360.0	325.0
361.0	303.0
362.0	283.0
363.0	282.0
364.0	254.0
365.0	224.0
366.0	241.0
367.0	231.0
368.0	197.0
369.0	199.0
370.0	188.0
371.0	171.0
372.0	146.0
373.0	145.0
374.0	142.0
375.0	135.0
376.0	144.0
377.0	112.0
378.0	104.0
379.0	90.0
380.0	106.0
381.0	82.0
382.0	85.0
383.0	77.0
384.0	89.0
385.0	73.0
386.0	71.0
387.0	56.0
388.0	53.0
389.0	48.0
390.0	53.0
391.0	49.0
392.0	48.0
393.0	46.0
394.0	45.0
395.0	39.0
396.0	40.0
397.0	36.0
398.0	33.0
399.0	45.0
400.0	23.0
401.0	40.0
402.0	22.0
403.0	29.0
404.0	25.0
405.0	27.0
406.0	26.0
407.0	30.0
408.0	26.0
409.0	22.0
410.0	21.0
411.0	16.0
412.0	13.0
413.0	24.0
