#Insert size (bp)	insert size
31.0	1056.0
32.0	2691.0
33.0	1845.0
34.0	58.0
35.0	41.0
36.0	52.0
37.0	34.0
38.0	28.0
39.0	64.0
40.0	47.0
41.0	49.0
42.0	72.0
43.0	61.0
44.0	75.0
45.0	86.0
46.0	82.0
47.0	85.0
48.0	99.0
49.0	101.0
50.0	117.0
51.0	138.0
52.0	112.0
53.0	110.0
54.0	188.0
55.0	131.0
56.0	160.0
57.0	123.0
58.0	135.0
59.0	190.0
60.0	169.0
61.0	169.0
62.0	124.0
63.0	148.0
64.0	181.0
65.0	160.0
66.0	196.0
67.0	203.0
68.0	208.0
69.0	180.0
70.0	161.0
71.0	175.0
72.0	151.0
73.0	175.0
74.0	140.0
75.0	137.0
76.0	175.0
77.0	193.0
78.0	209.0
79.0	236.0
80.0	242.0
81.0	329.0
82.0	349.0
83.0	300.0
84.0	352.0
85.0	713.0
86.0	489.0
87.0	448.0
88.0	575.0
89.0	1873.0
90.0	2181.0
91.0	3839.0
92.0	3913.0
93.0	752.0
94.0	888.0
95.0	872.0
96.0	1065.0
97.0	737.0
98.0	505.0
99.0	506.0
100.0	614.0
101.0	462.0
102.0	623.0
103.0	546.0
104.0	537.0
105.0	557.0
106.0	676.0
107.0	658.0
108.0	627.0
109.0	722.0
110.0	768.0
111.0	743.0
112.0	830.0
113.0	903.0
114.0	1104.0
115.0	1433.0
116.0	2204.0
117.0	2153.0
118.0	2391.0
119.0	1491.0
120.0	730.0
121.0	758.0
122.0	891.0
123.0	759.0
124.0	806.0
125.0	867.0
126.0	1174.0
127.0	1447.0
128.0	868.0
129.0	908.0
130.0	1197.0
131.0	1138.0
132.0	1166.0
133.0	1112.0
134.0	930.0
135.0	1650.0
136.0	1037.0
137.0	1020.0
138.0	1022.0
139.0	942.0
140.0	1094.0
141.0	1197.0
142.0	1239.0
143.0	1276.0
144.0	2998.0
145.0	3656.0
146.0	3989.0
147.0	3387.0
148.0	4627.0
149.0	4806.0
150.0	6721.0
