#Read position (bp)	Clipping profile
0.0	5.530215062031388
1.0	4.620172185035424
2.0	3.740835735838642
3.0	2.9550657992184712
4.0	2.12521200334398
5.0	1.5873083789913165
6.0	1.1879612177816896
7.0	0.9554984578200022
8.0	0.8829733990467667
9.0	0.8302565031243161
10.0	0.7738019805394238
11.0	0.7120115868943456
12.0	0.6464961511883828
13.0	0.594609838968697
14.0	0.5464989072161238
15.0	0.49863966749469146
16.0	0.4509062737888296
17.0	0.40264432681757195
18.0	0.35789348368072915
19.0	0.31846592700251525
20.0	0.27718843389541614
21.0	0.2395730598414164
22.0	0.20176891676406097
23.0	0.16672080142769788
24.0	0.1318362859115763
25.0	0.10607560652431049
26.0	0.07828880628636084
27.0	0.0529937571567056
28.0	0.030580581783613062
29.0	0.007261315098413472
30.0	0.0074374995202120655
31.0	0.0075633455357824895
32.0	0.007852791371594465
33.0	0.009425866566224766
34.0	0.009828573816050123
35.0	0.010558480706358585
36.0	0.010243865667432524
37.0	0.010835341940613518
38.0	0.01018094265964731
39.0	0.009186759136640962
40.0	0.009186759136640962
41.0	0.010571065307915626
42.0	0.011489741221579723
43.0	0.011804356260505784
44.0	0.011451987416908595
45.0	0.010004758237848717
46.0	0.010734665128157177
47.0	0.010671742120371966
48.0	0.010457803893902244
49.0	0.011363895206009299
50.0	0.0121063866978748
51.0	0.012597186158599456
52.0	0.013188662431780449
53.0	0.014610722407726241
54.0	0.01579367495408823
55.0	0.016410320430383304
56.0	0.017291242539376275
57.0	0.018537118093523475
58.0	0.02102886920181787
59.0	0.02331926668519959
60.0	0.024527388434675664
61.0	0.02680520131650034
62.0	0.030870027619425037
63.0	0.03040439736181447
64.0	0.026515755480688363
65.0	0.024552557637789747
66.0	0.024930095684501018
67.0	0.026389909465117937
68.0	0.026415078668232023
69.0	0.027107231753869355
70.0	0.027623200417708094
71.0	0.02752252360525176
72.0	0.027182739363211608
73.0	0.02831535350334543
74.0	0.02732116998033908
75.0	0.028869075971855295
76.0	0.03051765877582785
77.0	0.03186421114243139
78.0	0.03217882618135745
79.0	0.034230116235155365
80.0	0.0367344519450068
81.0	0.03698614397614765
82.0	0.03760278945244273
83.0	0.03944014127977092
84.0	0.03930171066264345
85.0	0.04054758621679065
86.0	0.040497247810562485
87.0	0.041592108146025174
88.0	0.04106355488062939
89.0	0.040975462669730095
90.0	0.04028330958409276
91.0	0.03912552624084486
92.0	0.03985543313115332
93.0	0.04179346177093785
94.0	0.04174312336470968
95.0	0.042384938044118844
96.0	0.0444488126994738
97.0	0.045694688253620996
98.0	0.04738102486226468
99.0	0.050715944274880916
100.0	0.0522512656648401
101.0	0.05256588070376615
102.0	0.05361040263300068
103.0	0.05639159957710706
104.0	0.05566169268679859
105.0	0.057058583459630295
106.0	0.05671879921759015
107.0	0.0604438412784747
108.0	0.06318728441790995
109.0	0.06637118861184169
110.0	0.06902653954037763
111.0	0.07088906057081991
112.0	0.07184549028915513
113.0	0.07325496566354388
114.0	0.07470219484260376
115.0	0.07562087075626786
116.0	0.07544468633446925
117.0	0.07487837926440234
118.0	0.07666539268550238
119.0	0.07939625122338058
120.0	0.0822781249799433
121.0	0.08794119568061237
122.0	0.12161758944725788
123.0	0.15496678357342025
124.0	0.19780476727359267
125.0	0.2372826623580347
126.0	0.2898359584602438
127.0	0.3461772196311227
128.0	0.4058408156130608
129.0	0.4581172504810149
130.0	0.5098777166851304
131.0	0.6200433187154797
132.0	0.695500589651506
133.0	0.7920874066018064
134.0	0.910634353269146
135.0	0.9698826573997017
136.0	1.199677481831296
137.0	1.405284702070255
138.0	1.722831953159106
139.0	1.848023569448564
140.0	2.3552081814004873
141.0	2.5448455422635594
142.0	2.687391324100179
143.0	2.849329976936201
144.0	3.373742908419715
145.0	4.37543943855562
146.0	5.157622763732034
147.0	5.944978360148393
148.0	7.019199949057533
149.0	8.027616656424899
150.0	8.525136294381014
