#GC Content (%)	Sample
1.0	1.2978585334198572E-4
2.0	0.0
3.0	3.8935756002595715E-4
4.0	6.489292667099286E-4
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	1.2978585334198572E-4
26.0	2.5957170668397143E-4
27.0	0.0012978585334198572
28.0	0.0011680726800778714
29.0	0.0025957170668397143
30.0	0.010772225827384815
31.0	0.012589227774172615
32.0	0.01881894873458793
33.0	0.03348475016223232
34.0	0.03802725502920182
35.0	0.05879299156391953
36.0	0.07994808565866321
37.0	0.09253731343283582
38.0	0.10227125243348476
39.0	0.07112264763140819
40.0	0.0844905905256327
41.0	0.10590525632706035
42.0	0.07968851395197923
43.0	0.04438676184295912
44.0	0.026216742375081117
45.0	0.026606099935107073
46.0	0.02063595068137573
47.0	0.02037637897469176
48.0	0.01842959117456197
49.0	0.015184944841012328
50.0	0.012978585334198572
51.0	0.010123296560674885
52.0	0.007397793640493185
53.0	0.0016872160934458143
54.0	7.787151200519143E-4
55.0	1.2978585334198572E-4
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
