#Insert size (bp)	insert size
30.0	1.0
31.0	37913.0
32.0	87294.0
33.0	71995.0
34.0	30596.0
35.0	21931.0
36.0	17831.0
37.0	13799.0
38.0	6338.0
39.0	720.0
40.0	790.0
41.0	868.0
42.0	714.0
43.0	554.0
44.0	502.0
45.0	392.0
46.0	363.0
47.0	325.0
48.0	228.0
49.0	245.0
50.0	269.0
51.0	294.0
52.0	301.0
53.0	301.0
54.0	290.0
55.0	251.0
56.0	263.0
57.0	257.0
58.0	211.0
59.0	196.0
60.0	212.0
61.0	234.0
62.0	221.0
63.0	288.0
64.0	227.0
65.0	246.0
66.0	176.0
67.0	171.0
68.0	159.0
69.0	154.0
70.0	162.0
71.0	162.0
72.0	182.0
73.0	132.0
74.0	146.0
75.0	110.0
76.0	96.0
77.0	73.0
78.0	51.0
79.0	41.0
80.0	41.0
81.0	50.0
82.0	49.0
83.0	54.0
84.0	43.0
85.0	32.0
86.0	38.0
87.0	30.0
88.0	40.0
89.0	28.0
90.0	16.0
91.0	21.0
92.0	34.0
93.0	26.0
94.0	30.0
95.0	30.0
96.0	28.0
97.0	21.0
98.0	25.0
99.0	15.0
100.0	23.0
101.0	18.0
102.0	31.0
103.0	33.0
104.0	26.0
105.0	24.0
106.0	23.0
107.0	34.0
108.0	22.0
109.0	25.0
110.0	33.0
111.0	26.0
112.0	28.0
113.0	22.0
114.0	30.0
115.0	31.0
116.0	36.0
117.0	27.0
118.0	34.0
119.0	37.0
120.0	37.0
121.0	31.0
122.0	36.0
123.0	32.0
124.0	37.0
125.0	34.0
126.0	30.0
127.0	35.0
128.0	44.0
129.0	31.0
130.0	30.0
131.0	36.0
132.0	35.0
133.0	37.0
134.0	28.0
135.0	37.0
136.0	43.0
137.0	42.0
138.0	41.0
139.0	30.0
140.0	34.0
141.0	27.0
142.0	37.0
143.0	47.0
144.0	248.0
145.0	253.0
146.0	253.0
147.0	293.0
148.0	269.0
149.0	308.0
150.0	733.0
151.0	7249.0
152.0	11110.0
153.0	11301.0
154.0	11542.0
155.0	11463.0
156.0	11576.0
157.0	11679.0
158.0	11258.0
159.0	6167.0
160.0	5979.0
161.0	5848.0
162.0	5716.0
163.0	5630.0
164.0	5621.0
165.0	5724.0
166.0	5774.0
167.0	5824.0
168.0	5801.0
169.0	5645.0
170.0	5501.0
171.0	5379.0
172.0	5309.0
173.0	5291.0
174.0	5263.0
175.0	5236.0
176.0	5348.0
177.0	5370.0
178.0	5271.0
179.0	5298.0
180.0	5208.0
181.0	5110.0
182.0	5071.0
183.0	4895.0
184.0	4836.0
185.0	4900.0
186.0	4915.0
187.0	4940.0
188.0	4911.0
189.0	4890.0
190.0	4743.0
191.0	4746.0
192.0	4675.0
193.0	4510.0
194.0	4523.0
195.0	4398.0
196.0	4436.0
197.0	4537.0
198.0	4464.0
199.0	4484.0
200.0	4383.0
201.0	4328.0
202.0	4261.0
203.0	4155.0
204.0	4203.0
205.0	4074.0
206.0	4081.0
207.0	4095.0
208.0	4053.0
209.0	4030.0
210.0	4011.0
211.0	3955.0
212.0	3995.0
213.0	3816.0
214.0	3729.0
215.0	3720.0
216.0	3799.0
217.0	3720.0
218.0	3709.0
219.0	3731.0
220.0	3622.0
221.0	3648.0
222.0	3607.0
223.0	3462.0
224.0	3560.0
225.0	3362.0
226.0	3345.0
227.0	3365.0
228.0	3330.0
229.0	3323.0
230.0	3278.0
231.0	3230.0
232.0	3244.0
233.0	3152.0
234.0	3155.0
235.0	3102.0
236.0	3109.0
237.0	2969.0
238.0	2998.0
239.0	2979.0
240.0	2957.0
241.0	2915.0
242.0	2875.0
243.0	2960.0
244.0	2792.0
245.0	2883.0
246.0	2776.0
247.0	2777.0
248.0	2737.0
249.0	2606.0
250.0	2668.0
251.0	2725.0
252.0	2614.0
253.0	2616.0
254.0	2523.0
255.0	2495.0
256.0	2516.0
257.0	2465.0
258.0	2481.0
259.0	2470.0
260.0	2420.0
261.0	2395.0
262.0	2393.0
263.0	2385.0
264.0	2358.0
265.0	2281.0
266.0	2315.0
267.0	2259.0
268.0	2251.0
269.0	2183.0
270.0	2212.0
271.0	2167.0
272.0	2161.0
273.0	2049.0
274.0	2046.0
275.0	2091.0
276.0	1954.0
277.0	1978.0
278.0	1953.0
279.0	1920.0
280.0	1932.0
281.0	1922.0
282.0	1933.0
283.0	1838.0
284.0	1862.0
285.0	1849.0
286.0	1785.0
287.0	1760.0
288.0	1715.0
289.0	1678.0
290.0	1694.0
291.0	1695.0
292.0	1615.0
293.0	1658.0
294.0	1583.0
295.0	1657.0
296.0	1526.0
297.0	1566.0
298.0	1534.0
299.0	1518.0
300.0	1466.0
301.0	1419.0
302.0	1457.0
303.0	1458.0
304.0	1452.0
305.0	1401.0
306.0	1345.0
307.0	1368.0
308.0	1305.0
309.0	1328.0
310.0	1329.0
311.0	1273.0
312.0	1285.0
313.0	1255.0
314.0	1245.0
315.0	1239.0
316.0	1193.0
317.0	1177.0
318.0	1134.0
319.0	1142.0
320.0	1129.0
321.0	1072.0
322.0	1028.0
323.0	1008.0
324.0	1052.0
325.0	1025.0
326.0	1053.0
327.0	990.0
328.0	943.0
329.0	951.0
330.0	939.0
331.0	888.0
332.0	896.0
333.0	898.0
334.0	843.0
335.0	853.0
336.0	840.0
337.0	835.0
338.0	820.0
339.0	786.0
340.0	816.0
341.0	760.0
342.0	759.0
343.0	775.0
344.0	724.0
345.0	726.0
346.0	732.0
347.0	717.0
348.0	660.0
349.0	642.0
350.0	652.0
351.0	649.0
352.0	632.0
353.0	632.0
354.0	2057.0
355.0	4426.0
356.0	9510.0
357.0	16889.0
358.0	24478.0
359.0	30880.0
360.0	34246.0
361.0	34755.0
362.0	26319.0
