#GC Content (%)	Sample
1.0	8.018493854225386E-7
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	8.018493854225386E-7
13.0	8.018493854225386E-7
14.0	0.0
15.0	8.018493854225386E-7
16.0	0.0
17.0	8.018493854225386E-7
18.0	0.0
19.0	0.0
20.0	1.6036987708450771E-6
21.0	0.0
22.0	3.2073975416901543E-6
23.0	1.6036987708450771E-6
24.0	8.018493854225386E-7
25.0	3.688507172943677E-5
26.0	3.11117561543945E-4
27.0	0.0010391968035076099
28.0	7.377014345887354E-4
29.0	7.184570493385944E-4
30.0	0.0015026657482818374
31.0	0.0012837608660614841
32.0	0.0016662430229080353
33.0	0.004539269370876991
34.0	0.010605259971598495
35.0	0.022066093237442835
36.0	0.02508585802294412
37.0	0.04498936346790237
38.0	0.05920775677021483
39.0	0.023292922797139324
40.0	0.03036523437656611
41.0	0.026752101045852152
42.0	0.023922374564696015
43.0	0.04650485880635097
44.0	0.059992767318543486
45.0	0.0639386681442078
46.0	0.08975100171034474
47.0	0.12530981455629264
48.0	0.056455007830059245
49.0	0.03834443761090579
50.0	0.03485398723616148
51.0	0.09159926454374369
52.0	0.05435656798840846
53.0	0.05332458782936965
54.0	0.003193766102137971
55.0	0.0030061333459490977
56.0	0.0010279709121116943
57.0	1.1306076334457793E-4
58.0	4.169616804197201E-5
59.0	1.2829590166760617E-5
60.0	8.018493854225386E-6
61.0	1.6036987708450771E-6
62.0	3.2073975416901543E-6
63.0	1.6036987708450771E-6
64.0	2.4055481562676157E-6
65.0	0.0
66.0	8.018493854225386E-7
67.0	6.4147950833803085E-6
68.0	0.0
69.0	0.0
70.0	8.018493854225386E-7
71.0	0.0
72.0	0.0
73.0	8.018493854225386E-7
74.0	0.0
75.0	4.009246927112693E-6
76.0	0.0
77.0	0.0
78.0	8.018493854225386E-7
79.0	0.0
80.0	1.6036987708450771E-6
81.0	0.0
82.0	0.0
83.0	0.0
84.0	8.018493854225386E-7
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	7.216644468802847E-6
