#Insert size (bp)	insert size
36.0	27.0
37.0	34.0
38.0	17.0
39.0	29.0
40.0	32.0
41.0	29.0
42.0	31.0
43.0	31.0
44.0	26.0
45.0	23.0
46.0	30.0
47.0	15.0
48.0	17.0
49.0	12.0
50.0	12.0
51.0	21.0
52.0	22.0
53.0	20.0
54.0	18.0
55.0	17.0
56.0	22.0
57.0	15.0
58.0	8.0
59.0	22.0
60.0	13.0
61.0	17.0
62.0	15.0
63.0	21.0
64.0	16.0
65.0	19.0
66.0	12.0
67.0	13.0
68.0	13.0
69.0	10.0
70.0	14.0
71.0	18.0
72.0	12.0
73.0	5.0
74.0	10.0
75.0	11.0
76.0	8.0
77.0	6.0
78.0	5.0
79.0	2.0
80.0	1.0
81.0	4.0
82.0	3.0
83.0	2.0
84.0	3.0
85.0	7.0
86.0	3.0
87.0	1.0
88.0	1.0
91.0	1.0
92.0	2.0
93.0	4.0
94.0	1.0
95.0	5.0
96.0	4.0
97.0	2.0
98.0	3.0
99.0	4.0
100.0	4.0
101.0	2.0
102.0	4.0
103.0	1.0
104.0	2.0
105.0	2.0
106.0	1.0
107.0	3.0
108.0	1.0
109.0	1.0
110.0	3.0
111.0	3.0
113.0	3.0
114.0	3.0
115.0	1.0
116.0	5.0
117.0	4.0
118.0	4.0
119.0	6.0
120.0	1.0
121.0	3.0
122.0	3.0
123.0	3.0
124.0	2.0
125.0	7.0
126.0	5.0
127.0	3.0
128.0	3.0
129.0	5.0
130.0	4.0
131.0	5.0
132.0	2.0
133.0	2.0
134.0	5.0
135.0	3.0
136.0	7.0
137.0	5.0
138.0	9.0
139.0	3.0
140.0	3.0
141.0	4.0
142.0	4.0
143.0	1.0
144.0	95.0
145.0	98.0
146.0	106.0
147.0	94.0
148.0	99.0
149.0	94.0
150.0	229.0
151.0	2596.0
152.0	3099.0
153.0	3271.0
154.0	3131.0
155.0	3271.0
156.0	3270.0
157.0	3317.0
158.0	3139.0
159.0	1796.0
160.0	1707.0
161.0	1652.0
162.0	1602.0
163.0	1530.0
164.0	1576.0
165.0	1622.0
166.0	1599.0
167.0	1623.0
168.0	1652.0
169.0	1624.0
170.0	1566.0
171.0	1504.0
172.0	1452.0
173.0	1492.0
174.0	1432.0
175.0	1456.0
176.0	1455.0
177.0	1457.0
178.0	1514.0
179.0	1442.0
180.0	1482.0
181.0	1436.0
182.0	1346.0
183.0	1339.0
184.0	1302.0
185.0	1328.0
186.0	1368.0
187.0	1300.0
188.0	1365.0
189.0	1364.0
190.0	1312.0
191.0	1354.0
192.0	1258.0
193.0	1252.0
194.0	1225.0
195.0	1210.0
196.0	1212.0
197.0	1226.0
198.0	1208.0
199.0	1206.0
200.0	1143.0
201.0	1193.0
202.0	1181.0
203.0	1145.0
204.0	1108.0
205.0	1104.0
206.0	1094.0
207.0	1066.0
208.0	1087.0
209.0	1109.0
210.0	1021.0
211.0	1069.0
212.0	1076.0
213.0	1061.0
214.0	1043.0
215.0	964.0
216.0	978.0
217.0	963.0
218.0	987.0
219.0	955.0
220.0	988.0
221.0	987.0
222.0	986.0
223.0	955.0
224.0	941.0
225.0	931.0
226.0	867.0
227.0	884.0
228.0	857.0
229.0	854.0
230.0	836.0
231.0	899.0
232.0	824.0
233.0	819.0
234.0	855.0
235.0	799.0
236.0	801.0
237.0	780.0
238.0	746.0
239.0	771.0
240.0	762.0
241.0	762.0
242.0	772.0
243.0	745.0
244.0	705.0
245.0	740.0
246.0	725.0
247.0	676.0
248.0	680.0
249.0	641.0
250.0	657.0
251.0	682.0
252.0	704.0
253.0	688.0
254.0	659.0
255.0	616.0
256.0	624.0
257.0	635.0
258.0	563.0
259.0	593.0
260.0	578.0
261.0	572.0
262.0	570.0
263.0	585.0
264.0	585.0
265.0	544.0
266.0	545.0
267.0	545.0
268.0	568.0
269.0	528.0
270.0	568.0
271.0	508.0
272.0	515.0
273.0	504.0
274.0	512.0
275.0	502.0
276.0	487.0
277.0	476.0
278.0	502.0
279.0	473.0
280.0	472.0
281.0	469.0
282.0	461.0
283.0	422.0
284.0	435.0
285.0	440.0
286.0	435.0
287.0	438.0
288.0	411.0
289.0	390.0
290.0	408.0
291.0	397.0
292.0	382.0
293.0	369.0
294.0	378.0
295.0	391.0
296.0	397.0
297.0	367.0
298.0	354.0
299.0	369.0
300.0	366.0
301.0	355.0
302.0	309.0
303.0	322.0
304.0	345.0
305.0	288.0
306.0	300.0
307.0	314.0
308.0	304.0
309.0	306.0
310.0	303.0
311.0	291.0
312.0	288.0
313.0	286.0
314.0	283.0
315.0	243.0
316.0	272.0
317.0	298.0
318.0	268.0
319.0	264.0
320.0	224.0
321.0	236.0
322.0	245.0
323.0	225.0
324.0	236.0
325.0	221.0
326.0	220.0
327.0	199.0
328.0	217.0
329.0	196.0
330.0	194.0
331.0	184.0
332.0	186.0
333.0	193.0
334.0	160.0
335.0	149.0
336.0	149.0
337.0	154.0
338.0	142.0
339.0	159.0
340.0	152.0
341.0	151.0
342.0	135.0
343.0	135.0
344.0	123.0
345.0	152.0
346.0	128.0
347.0	126.0
348.0	120.0
349.0	128.0
350.0	117.0
351.0	110.0
352.0	101.0
353.0	103.0
354.0	88.0
355.0	94.0
356.0	95.0
357.0	94.0
358.0	67.0
359.0	78.0
360.0	69.0
361.0	75.0
362.0	80.0
363.0	69.0
364.0	68.0
365.0	54.0
366.0	49.0
367.0	54.0
368.0	50.0
369.0	38.0
370.0	37.0
371.0	34.0
372.0	25.0
373.0	41.0
374.0	28.0
375.0	22.0
376.0	21.0
377.0	27.0
378.0	20.0
379.0	23.0
380.0	16.0
381.0	15.0
382.0	6.0
383.0	16.0
384.0	6.0
385.0	17.0
386.0	11.0
387.0	8.0
388.0	6.0
389.0	3.0
390.0	4.0
391.0	7.0
392.0	3.0
393.0	7.0
394.0	3.0
395.0	1.0
396.0	4.0
399.0	3.0
400.0	1.0
401.0	1.0
402.0	3.0
403.0	2.0
404.0	1.0
405.0	3.0
406.0	3.0
410.0	2.0
411.0	1.0
413.0	2.0
414.0	1.0
415.0	2.0
416.0	1.0
417.0	1.0
419.0	2.0
420.0	2.0
421.0	1.0
422.0	2.0
423.0	1.0
426.0	2.0
427.0	1.0
428.0	2.0
429.0	2.0
431.0	2.0
432.0	1.0
434.0	1.0
435.0	1.0
438.0	2.0
440.0	1.0
442.0	1.0
447.0	1.0
448.0	1.0
449.0	3.0
450.0	1.0
451.0	1.0
453.0	1.0
455.0	1.0
456.0	1.0
457.0	1.0
460.0	2.0
461.0	1.0
463.0	2.0
464.0	1.0
467.0	1.0
469.0	1.0
471.0	1.0
477.0	2.0
480.0	1.0
481.0	3.0
483.0	1.0
