#Coverage	Number of genomic locations
0.0	1.0
2.0	4.0
7.0	1.0
9.0	1.0
17.0	1.0
20.0	3.0
26.0	2.0
76.0	1.0
77.0	1.0
79.0	1.0
80.0	2.0
84.0	1.0
85.0	1.0
89.0	1.0
90.0	1.0
94.0	1.0
98.0	1.0
99.0	1.0
101.0	1.0
106.0	2.0
107.0	1.0
108.0	1.0
110.0	1.0
123.0	1.0
125.0	1.0
327.0	1.0
419.0	1.0
509.0	1.0
594.0	1.0
615.0	1.0
627.0	1.0
671.0	1.0
686.0	1.0
696.0	1.0
699.0	1.0
703.0	1.0
711.0	1.0
723.0	1.0
741.0	1.0
745.0	1.0
751.0	1.0
769.0	1.0
778.0	1.0
785.0	1.0
789.0	1.0
792.0	1.0
797.0	1.0
806.0	1.0
819.0	1.0
832.0	1.0
842.0	1.0
855.0	2.0
864.0	2.0
867.0	1.0
870.0	1.0
874.0	1.0
880.0	1.0
886.0	1.0
891.0	1.0
892.0	1.0
893.0	1.0
894.0	1.0
896.0	3.0
898.0	1.0
900.0	1.0
910.0	1.0
911.0	1.0
919.0	1.0
922.0	2.0
927.0	2.0
930.0	1.0
932.0	2.0
934.0	2.0
936.0	1.0
937.0	2.0
938.0	2.0
939.0	3.0
940.0	1.0
941.0	3.0
942.0	2.0
943.0	2.0
944.0	5.0
945.0	2.0
946.0	2.0
947.0	3.0
948.0	1.0
950.0	3.0
952.0	5.0
954.0	4.0
955.0	5.0
956.0	2.0
957.0	1.0
958.0	4.0
959.0	1.0
960.0	3.0
961.0	3.0
962.0	2.0
963.0	2.0
965.0	2.0
968.0	2.0
970.0	2.0
971.0	1.0
974.0	1.0
980.0	1.0
982.0	1.0
984.0	3.0
988.0	1.0
990.0	1.0
993.0	1.0
996.0	2.0
998.0	1.0
1001.0	1.0
1013.0	1.0
1015.0	1.0
1016.0	2.0
1018.0	2.0
1019.0	1.0
1023.0	1.0
1024.0	1.0
1025.0	1.0
1027.0	1.0
1028.0	1.0
1029.0	3.0
1030.0	1.0
1033.0	1.0
1035.0	2.0
1039.0	1.0
1046.0	1.0
1047.0	1.0
1049.0	1.0
1054.0	2.0
1056.0	1.0
1057.0	1.0
1058.0	1.0
1060.0	1.0
1061.0	1.0
1065.0	1.0
1067.0	1.0
1069.0	1.0
1071.0	1.0
1075.0	1.0
1076.0	3.0
1077.0	1.0
1078.0	1.0
1079.0	3.0
1080.0	3.0
1081.0	1.0
1082.0	1.0
1083.0	2.0
1084.0	2.0
1085.0	1.0
1086.0	3.0
1087.0	2.0
1088.0	1.0
1089.0	1.0
1090.0	2.0
1091.0	2.0
1092.0	3.0
1093.0	1.0
1094.0	5.0
1095.0	1.0
1096.0	1.0
1097.0	4.0
1098.0	1.0
1099.0	2.0
1100.0	2.0
1101.0	3.0
1102.0	5.0
1103.0	2.0
1104.0	3.0
1106.0	2.0
1107.0	5.0
1108.0	1.0
1109.0	6.0
1110.0	1.0
1111.0	2.0
1112.0	1.0
1113.0	2.0
1115.0	1.0
1116.0	2.0
1117.0	3.0
1119.0	2.0
1120.0	1.0
1121.0	3.0
1122.0	1.0
1124.0	1.0
1127.0	1.0
1128.0	1.0
1130.0	1.0
1134.0	2.0
1135.0	1.0
1136.0	1.0
1139.0	1.0
1142.0	3.0
1145.0	1.0
1146.0	1.0
1147.0	1.0
1148.0	1.0
1150.0	2.0
1151.0	1.0
1152.0	1.0
1153.0	2.0
1154.0	1.0
1155.0	2.0
1156.0	3.0
1157.0	1.0
1159.0	1.0
1160.0	1.0
1162.0	2.0
1163.0	1.0
1165.0	1.0
1166.0	1.0
1167.0	1.0
1169.0	1.0
1170.0	1.0
1171.0	1.0
1172.0	2.0
1173.0	2.0
1174.0	3.0
1175.0	1.0
1176.0	1.0
1178.0	1.0
1180.0	1.0
1181.0	1.0
1186.0	1.0
1187.0	1.0
1190.0	1.0
1194.0	1.0
1195.0	2.0
1196.0	2.0
1197.0	1.0
1199.0	1.0
1200.0	2.0
1201.0	2.0
1202.0	1.0
1203.0	2.0
1204.0	2.0
1205.0	2.0
1206.0	1.0
1207.0	1.0
1208.0	3.0
1209.0	3.0
1210.0	2.0
1211.0	2.0
1212.0	2.0
1215.0	1.0
1216.0	1.0
1218.0	1.0
1219.0	1.0
1220.0	1.0
1222.0	3.0
1223.0	3.0
1224.0	4.0
1225.0	2.0
1226.0	2.0
1227.0	2.0
1229.0	2.0
1231.0	1.0
1232.0	5.0
1233.0	5.0
1234.0	3.0
1235.0	4.0
1236.0	1.0
1237.0	1.0
1239.0	3.0
1240.0	2.0
1241.0	3.0
1242.0	2.0
1243.0	1.0
1244.0	5.0
1245.0	7.0
1246.0	2.0
1247.0	2.0
1248.0	4.0
1249.0	6.0
1250.0	4.0
1251.0	1.0
1252.0	2.0
1253.0	1.0
1254.0	1.0
1255.0	3.0
1256.0	3.0
1257.0	3.0
1258.0	3.0
1259.0	8.0
1260.0	3.0
1261.0	1.0
1262.0	4.0
1264.0	3.0
1265.0	3.0
1266.0	4.0
1267.0	3.0
1268.0	3.0
1269.0	3.0
1270.0	3.0
1271.0	2.0
1273.0	3.0
1274.0	1.0
1275.0	9.0
1276.0	5.0
1277.0	7.0
1278.0	2.0
1279.0	6.0
1280.0	2.0
1281.0	4.0
1282.0	6.0
1283.0	4.0
1284.0	4.0
1285.0	1.0
1286.0	3.0
1287.0	4.0
1288.0	5.0
1289.0	3.0
1290.0	3.0
1291.0	1.0
1292.0	4.0
1293.0	4.0
1294.0	5.0
1295.0	5.0
1296.0	1.0
1297.0	3.0
1298.0	2.0
1299.0	2.0
1300.0	2.0
1301.0	2.0
1302.0	1.0
1305.0	1.0
1306.0	1.0
1308.0	3.0
1309.0	3.0
1313.0	1.0
1314.0	1.0
1316.0	1.0
1318.0	1.0
1319.0	1.0
1322.0	1.0
1328.0	1.0
1330.0	1.0
1331.0	1.0
1333.0	1.0
1337.0	2.0
1340.0	1.0
1342.0	2.0
1343.0	2.0
1344.0	2.0
1345.0	1.0
1346.0	3.0
1347.0	1.0
1350.0	3.0
1351.0	1.0
1352.0	2.0
1353.0	2.0
1354.0	1.0
1355.0	1.0
1356.0	1.0
1357.0	2.0
1358.0	6.0
1359.0	1.0
1360.0	1.0
1361.0	4.0
1362.0	2.0
1363.0	2.0
1364.0	3.0
1365.0	1.0
1367.0	2.0
1369.0	3.0
1370.0	1.0
1371.0	3.0
1373.0	2.0
1374.0	1.0
1375.0	1.0
1376.0	2.0
1380.0	1.0
1381.0	1.0
1384.0	1.0
1387.0	1.0
1388.0	2.0
1389.0	1.0
1391.0	2.0
1401.0	1.0
1402.0	1.0
1405.0	1.0
1412.0	1.0
1413.0	3.0
1415.0	1.0
1419.0	1.0
1423.0	3.0
1424.0	1.0
1428.0	1.0
1433.0	2.0
1436.0	1.0
1438.0	1.0
1440.0	1.0
1441.0	1.0
1443.0	1.0
1446.0	1.0
1451.0	1.0
1452.0	1.0
1453.0	2.0
1454.0	1.0
1456.0	1.0
