#Insert size (bp)	insert size
37.0	4.0
38.0	4.0
39.0	7.0
40.0	14.0
41.0	11.0
42.0	12.0
43.0	11.0
44.0	11.0
45.0	9.0
46.0	16.0
47.0	9.0
48.0	5.0
51.0	7.0
52.0	2.0
53.0	6.0
54.0	4.0
55.0	4.0
56.0	5.0
57.0	5.0
58.0	6.0
59.0	3.0
60.0	10.0
61.0	10.0
62.0	8.0
63.0	9.0
64.0	13.0
65.0	13.0
66.0	12.0
67.0	9.0
68.0	15.0
69.0	15.0
70.0	21.0
71.0	12.0
72.0	15.0
73.0	12.0
74.0	23.0
75.0	148.0
76.0	127.0
77.0	153.0
78.0	101.0
79.0	85.0
80.0	103.0
81.0	262.0
82.0	260.0
83.0	303.0
84.0	257.0
85.0	205.0
86.0	218.0
87.0	121.0
88.0	38.0
89.0	26.0
90.0	40.0
91.0	40.0
92.0	28.0
93.0	41.0
94.0	33.0
95.0	38.0
96.0	35.0
97.0	41.0
98.0	30.0
99.0	37.0
100.0	33.0
101.0	43.0
102.0	53.0
103.0	44.0
104.0	115.0
105.0	49.0
106.0	48.0
107.0	79.0
108.0	84.0
109.0	57.0
110.0	43.0
111.0	46.0
112.0	53.0
113.0	52.0
114.0	42.0
115.0	45.0
116.0	69.0
117.0	62.0
118.0	51.0
119.0	59.0
120.0	60.0
121.0	58.0
122.0	49.0
123.0	58.0
124.0	58.0
125.0	65.0
126.0	54.0
127.0	51.0
128.0	55.0
129.0	55.0
130.0	55.0
131.0	53.0
132.0	37.0
133.0	64.0
134.0	48.0
135.0	67.0
136.0	57.0
137.0	49.0
138.0	58.0
139.0	60.0
140.0	44.0
141.0	56.0
142.0	66.0
143.0	63.0
144.0	211.0
145.0	209.0
146.0	265.0
147.0	292.0
148.0	293.0
149.0	345.0
150.0	678.0
151.0	5709.0
152.0	5409.0
153.0	4687.0
154.0	5773.0
155.0	5349.0
156.0	5246.0
157.0	4665.0
158.0	4608.0
159.0	3148.0
160.0	2954.0
161.0	2967.0
162.0	3098.0
163.0	2953.0
164.0	2948.0
165.0	2948.0
166.0	2838.0
167.0	3017.0
168.0	3001.0
169.0	2878.0
170.0	2845.0
171.0	3031.0
172.0	2823.0
173.0	2925.0
174.0	3008.0
175.0	2844.0
176.0	2814.0
177.0	2848.0
178.0	2843.0
179.0	2765.0
180.0	2679.0
181.0	2770.0
182.0	2822.0
183.0	2684.0
184.0	2709.0
185.0	3011.0
186.0	2986.0
187.0	2673.0
188.0	2741.0
189.0	2652.0
190.0	2737.0
191.0	3126.0
192.0	2598.0
193.0	2627.0
194.0	2674.0
195.0	2559.0
196.0	2576.0
197.0	2568.0
198.0	2713.0
199.0	2612.0
200.0	2757.0
201.0	2512.0
