#GC Content (%)	Sample
1.0	0.0
2.0	7.612516804630846E-7
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	7.612516804630846E-7
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	7.612516804630846E-7
15.0	3.806258402315423E-6
16.0	0.0
17.0	1.5225033609261693E-6
18.0	0.0
19.0	1.5225033609261693E-6
20.0	2.283755041389254E-6
21.0	1.5225033609261693E-6
22.0	1.5225033609261693E-6
23.0	5.3287617632415924E-6
24.0	3.9585087384080394E-5
25.0	3.1896445411403243E-4
26.0	8.023592712080912E-4
27.0	0.0034477088608173105
28.0	0.003657814324625122
29.0	0.002587494461894025
30.0	0.004888758291933929
31.0	0.005419350713216699
32.0	0.00670053729143607
33.0	0.012165563105480556
34.0	0.022759902742485304
35.0	0.042986359892389456
36.0	0.04951333180067995
37.0	0.049163917279347394
38.0	0.048965991842427
39.0	0.048298374118660864
40.0	0.05061790798903189
41.0	0.046681475549357275
42.0	0.05393468156080955
43.0	0.05636992568661095
44.0	0.05980773827558225
45.0	0.07133537247283474
46.0	0.09910964003453036
47.0	0.1006968497882959
48.0	0.04983610251319629
49.0	0.02536947350311276
50.0	0.026496125990198124
51.0	0.03379652960583911
52.0	0.014871051577846356
53.0	0.005273951642248249
54.0	0.002040154503641067
55.0	0.001509562082358297
56.0	4.1107590745006567E-4
57.0	4.872010754963741E-5
58.0	2.2076298733429456E-5
59.0	7.612516804630846E-6
60.0	6.851265124167762E-6
61.0	0.0
62.0	2.283755041389254E-6
63.0	7.612516804630846E-7
64.0	1.5225033609261693E-6
65.0	7.612516804630846E-7
66.0	0.0
67.0	6.851265124167762E-6
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	7.612516804630846E-7
73.0	0.0
74.0	0.0
75.0	7.612516804630846E-7
76.0	0.0
77.0	0.0
78.0	7.612516804630846E-7
79.0	0.0
80.0	7.612516804630846E-7
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	6.090013443704677E-6
