#Insert size (bp)	insert size
35.0	1.0
36.0	2.0
37.0	12.0
38.0	5.0
39.0	18.0
40.0	28.0
41.0	23.0
42.0	30.0
43.0	32.0
44.0	28.0
45.0	23.0
46.0	19.0
47.0	15.0
48.0	9.0
49.0	5.0
50.0	7.0
51.0	6.0
52.0	2.0
53.0	4.0
54.0	7.0
55.0	12.0
56.0	6.0
57.0	9.0
58.0	15.0
59.0	8.0
60.0	6.0
61.0	198.0
62.0	199.0
63.0	142.0
64.0	130.0
65.0	46.0
66.0	29.0
67.0	26.0
68.0	26.0
69.0	12.0
70.0	23.0
71.0	54.0
72.0	38.0
73.0	55.0
74.0	31.0
75.0	44.0
76.0	31.0
77.0	85.0
78.0	81.0
79.0	82.0
80.0	269.0
81.0	208.0
82.0	3562.0
83.0	3593.0
84.0	3596.0
85.0	3399.0
86.0	3340.0
87.0	2260.0
88.0	1264.0
89.0	55.0
90.0	83.0
91.0	98.0
92.0	76.0
93.0	75.0
94.0	70.0
95.0	75.0
96.0	47.0
97.0	101.0
98.0	73.0
99.0	77.0
100.0	54.0
101.0	60.0
102.0	82.0
103.0	52.0
104.0	64.0
105.0	93.0
106.0	93.0
107.0	45.0
108.0	60.0
109.0	84.0
110.0	97.0
111.0	86.0
112.0	69.0
113.0	96.0
114.0	79.0
115.0	94.0
116.0	102.0
117.0	144.0
118.0	152.0
119.0	165.0
120.0	122.0
121.0	113.0
122.0	151.0
123.0	161.0
124.0	133.0
125.0	135.0
126.0	142.0
127.0	157.0
128.0	222.0
129.0	143.0
130.0	118.0
131.0	82.0
132.0	118.0
133.0	96.0
134.0	113.0
135.0	112.0
136.0	123.0
137.0	123.0
138.0	95.0
139.0	102.0
140.0	105.0
141.0	127.0
142.0	126.0
143.0	136.0
144.0	748.0
145.0	746.0
146.0	739.0
147.0	651.0
148.0	775.0
149.0	786.0
150.0	1883.0
151.0	12348.0
152.0	13140.0
153.0	11984.0
154.0	11952.0
155.0	12059.0
156.0	13587.0
157.0	11636.0
158.0	11383.0
159.0	8076.0
160.0	8000.0
161.0	8261.0
162.0	7619.0
163.0	8160.0
164.0	7972.0
165.0	7918.0
166.0	8424.0
167.0	8589.0
168.0	7681.0
169.0	7773.0
170.0	7579.0
171.0	8228.0
172.0	7395.0
173.0	7304.0
174.0	7601.0
175.0	7643.0
176.0	6761.0
177.0	8106.0
178.0	7302.0
179.0	7582.0
180.0	7324.0
181.0	8531.0
182.0	7183.0
183.0	6479.0
184.0	7300.0
185.0	6829.0
186.0	6757.0
187.0	7187.0
188.0	7065.0
189.0	6543.0
190.0	6626.0
191.0	6668.0
192.0	6727.0
193.0	6697.0
194.0	6738.0
195.0	6671.0
196.0	7155.0
197.0	6598.0
198.0	6503.0
199.0	7734.0
200.0	6767.0
201.0	6234.0
202.0	6031.0
203.0	6045.0
204.0	6809.0
205.0	6149.0
206.0	6914.0
207.0	7560.0
208.0	6449.0
209.0	5947.0
210.0	6035.0
211.0	5652.0
212.0	5463.0
213.0	5836.0
214.0	5017.0
215.0	6011.0
216.0	5779.0
217.0	5996.0
218.0	5835.0
219.0	5285.0
220.0	5657.0
221.0	5335.0
222.0	5576.0
223.0	6076.0
224.0	5330.0
225.0	5777.0
226.0	5544.0
227.0	5203.0
228.0	5284.0
229.0	5039.0
230.0	5010.0
231.0	4472.0
232.0	4923.0
233.0	4991.0
234.0	4589.0
235.0	4644.0
236.0	4439.0
237.0	4677.0
238.0	4744.0
239.0	4596.0
240.0	5021.0
241.0	4506.0
242.0	4022.0
243.0	4603.0
244.0	5088.0
245.0	4482.0
246.0	4453.0
247.0	4489.0
248.0	5248.0
249.0	4354.0
250.0	5019.0
251.0	4198.0
252.0	5315.0
253.0	5317.0
254.0	4215.0
255.0	4443.0
256.0	4048.0
257.0	4199.0
258.0	4583.0
259.0	3830.0
260.0	4112.0
261.0	3532.0
262.0	3369.0
263.0	3796.0
264.0	3759.0
265.0	3769.0
266.0	3280.0
267.0	3143.0
268.0	3454.0
269.0	3615.0
270.0	3099.0
271.0	3049.0
272.0	2857.0
