#Mapping quality	mapping quality
3.0	19.0
4.0	14.0
7.0	6.0
8.0	16.0
9.0	81.0
10.0	85.0
11.0	100.0
12.0	39.0
13.0	44.0
14.0	50.0
15.0	75.0
16.0	74.0
17.0	79.0
18.0	55.0
19.0	46.0
20.0	52.0
21.0	27.0
22.0	21.0
23.0	39.0
24.0	38.0
25.0	59.0
26.0	93.0
27.0	160.0
28.0	80.0
29.0	44.0
30.0	27.0
31.0	38.0
32.0	44.0
33.0	55.0
34.0	34.0
35.0	35.0
36.0	46.0
37.0	62.0
38.0	126.0
39.0	82.0
40.0	69.0
41.0	59.0
42.0	55.0
43.0	68.0
44.0	139.0
45.0	74.0
46.0	152.0
47.0	109.0
48.0	169.0
49.0	202.0
50.0	133.0
51.0	107.0
52.0	92.0
53.0	149.0
54.0	337.0
55.0	272.0
56.0	241.0
57.0	477.0
58.0	1054.0
59.0	11384.0
60.0	12616.0
