#Coverage	Number of genomic locations
0.0	383.0
1.0	10.0
2.0	357.0
3.0	50.0
4.0	90.0
5.0	28.0
6.0	208.0
7.0	75.0
8.0	188.0
9.0	67.0
10.0	128.0
11.0	75.0
12.0	76.0
13.0	33.0
14.0	91.0
15.0	26.0
16.0	42.0
17.0	16.0
18.0	42.0
19.0	62.0
20.0	46.0
21.0	38.0
22.0	56.0
23.0	55.0
24.0	82.0
25.0	71.0
26.0	47.0
27.0	80.0
28.0	52.0
29.0	76.0
30.0	87.0
31.0	106.0
32.0	152.0
33.0	133.0
34.0	122.0
35.0	86.0
36.0	84.0
37.0	70.0
38.0	92.0
39.0	78.0
40.0	54.0
41.0	82.0
42.0	71.0
43.0	91.0
44.0	68.0
45.0	74.0
46.0	69.0
47.0	58.0
48.0	78.0
49.0	70.0
50.0	69.0
51.0	58.0
52.0	74.0
53.0	55.0
54.0	71.0
55.0	55.0
56.0	75.0
57.0	50.0
58.0	51.0
59.0	77.0
60.0	95.0
61.0	71.0
62.0	115.0
63.0	83.0
64.0	110.0
65.0	112.0
66.0	119.0
67.0	111.0
68.0	106.0
69.0	87.0
70.0	89.0
71.0	96.0
72.0	132.0
73.0	118.0
74.0	98.0
75.0	134.0
76.0	126.0
77.0	107.0
78.0	92.0
79.0	138.0
80.0	123.0
81.0	150.0
82.0	136.0
83.0	123.0
84.0	127.0
85.0	99.0
86.0	128.0
87.0	162.0
88.0	128.0
89.0	154.0
90.0	134.0
91.0	111.0
92.0	124.0
93.0	132.0
94.0	123.0
95.0	145.0
96.0	149.0
97.0	123.0
98.0	136.0
99.0	180.0
100.0	192.0
101.0	196.0
102.0	212.0
103.0	209.0
104.0	236.0
105.0	228.0
106.0	228.0
107.0	242.0
108.0	245.0
109.0	213.0
110.0	251.0
111.0	225.0
112.0	216.0
113.0	232.0
114.0	186.0
115.0	227.0
116.0	253.0
117.0	246.0
118.0	254.0
119.0	242.0
120.0	271.0
121.0	288.0
122.0	261.0
123.0	287.0
124.0	255.0
125.0	286.0
126.0	264.0
127.0	253.0
128.0	301.0
129.0	277.0
130.0	309.0
131.0	288.0
132.0	274.0
133.0	295.0
134.0	243.0
135.0	247.0
136.0	265.0
137.0	287.0
138.0	267.0
139.0	289.0
140.0	265.0
141.0	311.0
142.0	307.0
143.0	274.0
144.0	278.0
145.0	276.0
146.0	309.0
147.0	276.0
148.0	270.0
149.0	271.0
150.0	286.0
151.0	286.0
152.0	275.0
153.0	276.0
154.0	287.0
155.0	242.0
156.0	240.0
157.0	230.0
158.0	225.0
159.0	229.0
160.0	230.0
161.0	200.0
162.0	206.0
163.0	209.0
164.0	177.0
165.0	181.0
166.0	170.0
167.0	199.0
168.0	223.0
169.0	199.0
170.0	156.0
171.0	167.0
172.0	202.0
173.0	140.0
174.0	138.0
175.0	107.0
176.0	94.0
177.0	92.0
178.0	102.0
179.0	117.0
180.0	99.0
181.0	95.0
182.0	95.0
183.0	100.0
184.0	92.0
185.0	101.0
186.0	55.0
187.0	65.0
188.0	71.0
189.0	64.0
190.0	51.0
191.0	56.0
192.0	49.0
193.0	61.0
194.0	32.0
195.0	33.0
196.0	27.0
197.0	11.0
198.0	7.0
199.0	6.0
200.0	14.0
201.0	12.0
202.0	7.0
203.0	13.0
204.0	4.0
205.0	3.0
206.0	6.0
207.0	5.0
208.0	4.0
209.0	6.0
210.0	3.0
211.0	10.0
212.0	19.0
213.0	11.0
214.0	10.0
215.0	6.0
216.0	2.0
