#Duplication rate	Coverage
1.0	2927.0
2.0	2036.0
3.0	1548.0
4.0	1264.0
5.0	1091.0
6.0	967.0
7.0	812.0
8.0	704.0
9.0	596.0
10.0	653.0
11.0	560.0
12.0	468.0
13.0	459.0
14.0	440.0
15.0	389.0
16.0	364.0
17.0	336.0
18.0	320.0
19.0	317.0
20.0	269.0
21.0	285.0
22.0	249.0
23.0	247.0
24.0	212.0
25.0	221.0
26.0	215.0
27.0	185.0
28.0	214.0
29.0	147.0
30.0	172.0
31.0	170.0
32.0	144.0
33.0	161.0
34.0	146.0
35.0	149.0
36.0	138.0
37.0	137.0
38.0	136.0
39.0	113.0
40.0	94.0
41.0	120.0
42.0	105.0
43.0	119.0
44.0	88.0
45.0	90.0
46.0	79.0
47.0	82.0
48.0	104.0
49.0	79.0
50.0	3719.0
