#Coverage (X)	Coverage
1.0	99.64552051633615
2.0	99.19740494264789
3.0	98.98337959402066
4.0	98.70247132394744
5.0	98.54864060462161
6.0	98.4851018292479
7.0	98.38143330100658
8.0	98.33127110992208
9.0	98.21422599739157
10.0	98.05705113199345
11.0	97.95672674982443
12.0	97.81292846871551
13.0	97.7092599404742
14.0	97.57883824365449
15.0	97.48185800755778
16.0	97.47182556934087
17.0	97.38487777146106
18.0	97.29124168143665
19.0	97.22435875999064
20.0	97.14409925425542
21.0	97.04377487208642
22.0	96.9702036584958
23.0	96.85984683810989
24.0	96.72942514129016
25.0	96.61238002875966
26.0	96.49867906230145
27.0	96.40838711834932
28.0	96.2679329833127
29.0	96.204394207939
30.0	96.1274788482761
31.0	96.05725178075778
32.0	95.97030398287797
33.0	95.86997960070896
34.0	95.83319399391365
35.0	95.77634351068454
36.0	95.74959034210615
37.0	95.66598669029864
38.0	95.62920108350333
39.0	95.59575962278032
40.0	95.56900645420191
41.0	95.50212353275592
42.0	95.40514329665919
43.0	95.34160452128549
44.0	95.23793599304418
45.0	95.17439721767046
46.0	95.12757917265826
47.0	95.05066381299535
48.0	94.97040430726014
49.0	94.87342407116343
50.0	94.79316456542821
51.0	94.6861518911146
