#Coverage	Number of genomic locations
0.0	6.0
1.0	2.0
2.0	4.0
3.0	53.0
4.0	14.0
5.0	1.0
6.0	9.0
7.0	6.0
8.0	11.0
9.0	3.0
10.0	3.0
11.0	7.0
12.0	15.0
13.0	47.0
14.0	17.0
15.0	20.0
16.0	10.0
17.0	31.0
18.0	41.0
19.0	37.0
20.0	57.0
21.0	77.0
22.0	84.0
23.0	100.0
24.0	71.0
25.0	56.0
26.0	61.0
27.0	45.0
28.0	54.0
29.0	64.0
30.0	52.0
31.0	22.0
32.0	61.0
33.0	72.0
34.0	100.0
35.0	108.0
36.0	158.0
37.0	204.0
38.0	186.0
39.0	170.0
40.0	198.0
41.0	114.0
42.0	178.0
43.0	237.0
44.0	213.0
45.0	192.0
46.0	249.0
47.0	230.0
48.0	259.0
49.0	213.0
50.0	271.0
51.0	303.0
52.0	323.0
53.0	353.0
54.0	300.0
55.0	321.0
56.0	373.0
57.0	344.0
58.0	373.0
59.0	409.0
60.0	405.0
61.0	388.0
62.0	415.0
63.0	412.0
64.0	415.0
65.0	398.0
66.0	460.0
67.0	413.0
68.0	356.0
69.0	426.0
70.0	350.0
71.0	416.0
72.0	457.0
73.0	432.0
74.0	388.0
75.0	438.0
76.0	452.0
77.0	452.0
78.0	398.0
79.0	394.0
80.0	425.0
81.0	443.0
82.0	404.0
83.0	408.0
84.0	366.0
85.0	412.0
86.0	359.0
87.0	331.0
88.0	337.0
89.0	357.0
90.0	381.0
91.0	355.0
92.0	335.0
93.0	312.0
94.0	322.0
95.0	321.0
96.0	311.0
97.0	261.0
98.0	299.0
99.0	251.0
100.0	286.0
101.0	300.0
102.0	264.0
103.0	250.0
104.0	263.0
105.0	253.0
106.0	277.0
107.0	245.0
108.0	213.0
109.0	244.0
110.0	231.0
111.0	208.0
112.0	170.0
113.0	175.0
114.0	167.0
115.0	136.0
116.0	116.0
117.0	152.0
118.0	117.0
119.0	147.0
120.0	138.0
121.0	102.0
122.0	122.0
123.0	95.0
124.0	110.0
125.0	91.0
126.0	112.0
127.0	119.0
128.0	120.0
129.0	117.0
130.0	99.0
131.0	103.0
132.0	102.0
133.0	57.0
134.0	72.0
135.0	61.0
136.0	52.0
137.0	64.0
138.0	62.0
139.0	41.0
140.0	34.0
141.0	46.0
142.0	44.0
143.0	24.0
144.0	33.0
145.0	26.0
146.0	33.0
147.0	24.0
148.0	30.0
149.0	26.0
150.0	42.0
151.0	30.0
152.0	31.0
153.0	14.0
154.0	19.0
155.0	13.0
156.0	13.0
157.0	15.0
158.0	16.0
159.0	17.0
160.0	12.0
161.0	13.0
162.0	8.0
163.0	9.0
164.0	8.0
165.0	6.0
166.0	6.0
167.0	10.0
168.0	11.0
169.0	17.0
170.0	8.0
171.0	3.0
172.0	12.0
173.0	8.0
174.0	4.0
175.0	9.0
176.0	10.0
177.0	10.0
178.0	5.0
179.0	5.0
180.0	13.0
181.0	13.0
182.0	16.0
183.0	16.0
184.0	13.0
185.0	18.0
186.0	23.0
187.0	11.0
188.0	12.0
189.0	9.0
190.0	5.0
191.0	8.0
192.0	7.0
193.0	8.0
194.0	6.0
195.0	11.0
196.0	6.0
197.0	4.0
198.0	1.0
199.0	7.0
200.0	4.0
201.0	10.0
202.0	9.0
203.0	4.0
204.0	9.0
205.0	13.0
206.0	9.0
207.0	6.0
208.0	5.0
209.0	1.0
210.0	4.0
211.0	3.0
212.0	4.0
213.0	3.0
214.0	4.0
215.0	1.0
216.0	1.0
217.0	1.0
219.0	1.0
