#Coverage (X)	Coverage
1.0	99.9632143932047
2.0	99.95652610106009
3.0	99.9230846403371
4.0	99.89633147175869
5.0	99.88964317961408
6.0	99.88629903354179
7.0	99.88629903354179
8.0	99.85620171889109
9.0	99.85285757281878
10.0	99.84951342674648
11.0	99.83279269638498
12.0	99.80938367387887
13.0	99.79600708958968
14.0	99.77928635922817
15.0	99.70237099956526
16.0	99.70237099956526
17.0	99.68230612313145
18.0	99.66892953884226
19.0	99.66892953884226
20.0	99.65220880848075
21.0	99.64886466240846
22.0	99.63883222419155
23.0	99.63883222419155
24.0	99.63883222419155
25.0	99.58198174096245
26.0	99.55857271845635
27.0	99.52847540380564
28.0	99.39470956091363
29.0	99.34789151590141
30.0	99.3111059091061
31.0	99.26763201016621
32.0	99.19740494264789
33.0	99.16061933585259
34.0	99.08704812226198
35.0	99.05026251546667
36.0	98.98672374009297
37.0	98.89643179614086
38.0	98.81951643647794
39.0	98.75932180717653
40.0	98.70581547001973
41.0	98.65899742500753
42.0	98.59880279570612
43.0	98.4817576831756
44.0	98.4382837842357
45.0	98.33461525599438
46.0	98.18078453666857
47.0	98.00020064876433
48.0	97.84636992943852
49.0	97.64906531117279
50.0	97.49189044577467
51.0	97.30127411965354
