#Coverage	Number of genomic locations
0.0	362.0
1.0	969.0
2.0	1313.0
3.0	1788.0
4.0	2470.0
5.0	2637.0
6.0	2920.0
7.0	2512.0
8.0	2341.0
9.0	2017.0
10.0	2228.0
11.0	1624.0
12.0	1287.0
13.0	1232.0
14.0	868.0
15.0	614.0
16.0	442.0
17.0	285.0
18.0	260.0
19.0	315.0
20.0	208.0
21.0	212.0
22.0	214.0
23.0	175.0
24.0	83.0
25.0	121.0
26.0	98.0
27.0	68.0
28.0	55.0
29.0	43.0
30.0	41.0
31.0	20.0
32.0	12.0
33.0	28.0
34.0	7.0
38.0	1.0
42.0	1.0
51.0	1.0
57.0	1.0
60.0	1.0
70.0	1.0
79.0	1.0
86.0	1.0
87.0	1.0
96.0	1.0
112.0	1.0
135.0	1.0
157.0	1.0
158.0	1.0
159.0	1.0
160.0	1.0
163.0	1.0
164.0	1.0
167.0	1.0
169.0	1.0
173.0	2.0
176.0	1.0
180.0	1.0
182.0	1.0
189.0	1.0
192.0	1.0
193.0	1.0
200.0	2.0
202.0	1.0
205.0	3.0
