#Insert size (bp)	insert size
13.0	1.0
14.0	1.0
15.0	2.0
18.0	1.0
20.0	4.0
27.0	1.0
31.0	1.0
46.0	1.0
48.0	1.0
58.0	1.0
59.0	1.0
64.0	1.0
68.0	1.0
73.0	1.0
75.0	1.0
76.0	1.0
78.0	1.0
80.0	1.0
82.0	1.0
85.0	1.0
88.0	2.0
91.0	1.0
93.0	2.0
94.0	1.0
97.0	1.0
98.0	1.0
99.0	1.0
100.0	12.0
101.0	10.0
102.0	13.0
103.0	16.0
104.0	19.0
105.0	18.0
106.0	18.0
107.0	9.0
108.0	13.0
109.0	8.0
110.0	14.0
111.0	17.0
112.0	16.0
113.0	10.0
114.0	15.0
115.0	13.0
116.0	24.0
117.0	17.0
118.0	11.0
119.0	18.0
120.0	16.0
121.0	13.0
122.0	15.0
123.0	22.0
124.0	17.0
125.0	13.0
126.0	11.0
127.0	11.0
128.0	16.0
129.0	19.0
130.0	24.0
131.0	15.0
132.0	10.0
133.0	29.0
134.0	18.0
135.0	24.0
136.0	29.0
137.0	14.0
138.0	22.0
139.0	18.0
140.0	23.0
141.0	15.0
142.0	16.0
143.0	19.0
144.0	19.0
145.0	22.0
146.0	24.0
147.0	13.0
148.0	17.0
149.0	19.0
150.0	24.0
151.0	13.0
152.0	25.0
153.0	26.0
154.0	24.0
155.0	16.0
156.0	22.0
157.0	17.0
158.0	34.0
159.0	18.0
160.0	24.0
161.0	23.0
162.0	22.0
163.0	24.0
164.0	18.0
165.0	21.0
166.0	24.0
167.0	20.0
168.0	20.0
169.0	23.0
170.0	20.0
171.0	25.0
172.0	15.0
173.0	20.0
174.0	24.0
175.0	23.0
176.0	28.0
177.0	21.0
178.0	32.0
179.0	14.0
180.0	25.0
181.0	22.0
182.0	17.0
183.0	32.0
184.0	28.0
185.0	28.0
186.0	33.0
187.0	28.0
188.0	29.0
189.0	25.0
190.0	26.0
191.0	20.0
192.0	28.0
193.0	24.0
194.0	34.0
195.0	18.0
196.0	30.0
197.0	19.0
198.0	26.0
199.0	28.0
200.0	22.0
201.0	22.0
202.0	29.0
203.0	27.0
204.0	31.0
205.0	27.0
206.0	33.0
207.0	29.0
208.0	28.0
209.0	20.0
210.0	28.0
211.0	24.0
212.0	19.0
213.0	28.0
214.0	21.0
215.0	19.0
216.0	22.0
217.0	22.0
218.0	27.0
219.0	23.0
220.0	34.0
221.0	32.0
222.0	17.0
223.0	28.0
224.0	27.0
225.0	19.0
226.0	25.0
227.0	22.0
228.0	20.0
229.0	27.0
230.0	18.0
231.0	30.0
232.0	17.0
233.0	23.0
234.0	18.0
235.0	26.0
236.0	23.0
237.0	19.0
238.0	16.0
239.0	16.0
240.0	26.0
241.0	26.0
242.0	15.0
243.0	23.0
244.0	18.0
245.0	20.0
246.0	26.0
247.0	17.0
248.0	22.0
249.0	26.0
250.0	14.0
251.0	20.0
252.0	18.0
253.0	20.0
254.0	16.0
255.0	20.0
256.0	21.0
257.0	18.0
258.0	11.0
259.0	11.0
260.0	24.0
261.0	10.0
262.0	22.0
263.0	14.0
264.0	11.0
265.0	22.0
266.0	16.0
267.0	21.0
268.0	21.0
269.0	23.0
270.0	29.0
271.0	13.0
272.0	19.0
273.0	12.0
274.0	22.0
275.0	19.0
276.0	11.0
277.0	15.0
278.0	8.0
279.0	10.0
280.0	8.0
281.0	22.0
282.0	11.0
283.0	7.0
284.0	14.0
285.0	8.0
286.0	13.0
287.0	11.0
288.0	12.0
289.0	9.0
290.0	8.0
291.0	7.0
292.0	10.0
293.0	11.0
294.0	5.0
295.0	14.0
296.0	9.0
297.0	9.0
298.0	12.0
299.0	16.0
300.0	11.0
301.0	11.0
302.0	11.0
303.0	13.0
304.0	11.0
305.0	9.0
306.0	12.0
307.0	5.0
308.0	10.0
309.0	7.0
310.0	7.0
311.0	10.0
312.0	13.0
313.0	11.0
314.0	11.0
315.0	4.0
316.0	9.0
317.0	13.0
318.0	8.0
319.0	8.0
320.0	4.0
321.0	6.0
322.0	6.0
323.0	7.0
324.0	6.0
325.0	4.0
326.0	5.0
327.0	6.0
328.0	6.0
329.0	7.0
330.0	1.0
331.0	9.0
332.0	2.0
333.0	2.0
334.0	4.0
335.0	6.0
336.0	5.0
337.0	4.0
338.0	5.0
339.0	3.0
340.0	4.0
341.0	2.0
342.0	2.0
343.0	4.0
344.0	6.0
345.0	3.0
346.0	4.0
347.0	4.0
348.0	3.0
349.0	5.0
350.0	2.0
351.0	1.0
352.0	1.0
353.0	7.0
354.0	2.0
355.0	4.0
356.0	2.0
357.0	5.0
358.0	6.0
359.0	2.0
360.0	1.0
361.0	2.0
362.0	2.0
364.0	6.0
366.0	1.0
368.0	2.0
369.0	3.0
370.0	1.0
372.0	2.0
373.0	2.0
375.0	2.0
376.0	1.0
378.0	1.0
380.0	1.0
385.0	1.0
393.0	1.0
409.0	1.0
414.0	1.0
418.0	1.0
421.0	1.0
424.0	1.0
442.0	1.0
454.0	1.0
461.0	1.0
475.0	1.0
481.0	1.0
