#Duplication rate	Coverage
1.0	968.0
2.0	1475.0
3.0	875.0
4.0	1138.0
5.0	815.0
6.0	1139.0
7.0	915.0
8.0	1064.0
9.0	876.0
10.0	1095.0
11.0	887.0
12.0	997.0
13.0	879.0
14.0	898.0
15.0	801.0
16.0	834.0
17.0	747.0
18.0	705.0
19.0	685.0
20.0	643.0
21.0	626.0
22.0	531.0
23.0	473.0
24.0	450.0
25.0	407.0
26.0	371.0
27.0	340.0
28.0	290.0
29.0	276.0
30.0	241.0
31.0	217.0
32.0	217.0
33.0	183.0
34.0	137.0
35.0	125.0
36.0	118.0
37.0	101.0
38.0	107.0
39.0	94.0
40.0	84.0
41.0	75.0
42.0	81.0
43.0	69.0
44.0	62.0
45.0	59.0
46.0	55.0
47.0	36.0
48.0	38.0
49.0	34.0
50.0	1331.0
