#Coverage	Number of genomic locations
0.0	12024.0
1.0	3333.0
2.0	2234.0
3.0	1219.0
4.0	1139.0
5.0	1092.0
6.0	833.0
7.0	762.0
8.0	383.0
9.0	315.0
10.0	248.0
11.0	144.0
12.0	131.0
13.0	154.0
14.0	112.0
15.0	65.0
16.0	102.0
17.0	165.0
18.0	192.0
19.0	131.0
20.0	110.0
21.0	55.0
22.0	70.0
23.0	69.0
24.0	135.0
25.0	106.0
26.0	97.0
27.0	100.0
28.0	95.0
29.0	136.0
30.0	65.0
31.0	77.0
32.0	97.0
33.0	76.0
34.0	82.0
35.0	117.0
36.0	112.0
37.0	114.0
38.0	86.0
39.0	143.0
40.0	64.0
41.0	53.0
42.0	37.0
43.0	76.0
44.0	67.0
45.0	88.0
46.0	60.0
47.0	83.0
48.0	65.0
49.0	40.0
50.0	44.0
51.0	30.0
52.0	58.0
53.0	42.0
54.0	42.0
55.0	46.0
56.0	54.0
57.0	25.0
58.0	24.0
59.0	28.0
60.0	41.0
61.0	65.0
62.0	29.0
63.0	22.0
64.0	24.0
65.0	18.0
66.0	15.0
67.0	23.0
68.0	21.0
69.0	15.0
70.0	15.0
71.0	27.0
72.0	16.0
73.0	25.0
74.0	22.0
75.0	21.0
76.0	25.0
77.0	21.0
78.0	7.0
79.0	15.0
80.0	9.0
81.0	16.0
82.0	6.0
83.0	11.0
84.0	5.0
85.0	15.0
86.0	19.0
87.0	7.0
88.0	21.0
89.0	17.0
90.0	9.0
91.0	5.0
92.0	10.0
93.0	20.0
94.0	3.0
95.0	19.0
96.0	6.0
97.0	5.0
98.0	2.0
99.0	1.0
103.0	3.0
104.0	1.0
105.0	3.0
108.0	1.0
109.0	1.0
111.0	2.0
113.0	3.0
114.0	3.0
115.0	5.0
117.0	7.0
118.0	3.0
119.0	2.0
120.0	1.0
121.0	2.0
122.0	1.0
123.0	1.0
126.0	1.0
127.0	3.0
129.0	2.0
130.0	1.0
131.0	2.0
132.0	3.0
133.0	9.0
134.0	1.0
135.0	2.0
136.0	1.0
137.0	3.0
138.0	1.0
139.0	4.0
140.0	5.0
141.0	4.0
142.0	10.0
143.0	6.0
144.0	6.0
145.0	6.0
146.0	10.0
147.0	8.0
148.0	8.0
149.0	6.0
150.0	3.0
152.0	6.0
153.0	5.0
154.0	11.0
155.0	10.0
156.0	7.0
157.0	3.0
158.0	4.0
159.0	7.0
161.0	5.0
162.0	4.0
163.0	2.0
165.0	1.0
166.0	2.0
167.0	7.0
168.0	5.0
169.0	4.0
170.0	13.0
171.0	6.0
172.0	3.0
173.0	4.0
174.0	3.0
175.0	1.0
176.0	4.0
177.0	2.0
178.0	1.0
179.0	2.0
180.0	4.0
181.0	2.0
182.0	6.0
183.0	5.0
184.0	7.0
185.0	6.0
186.0	6.0
187.0	4.0
188.0	3.0
189.0	5.0
190.0	1.0
191.0	2.0
192.0	1.0
193.0	7.0
194.0	8.0
195.0	5.0
197.0	2.0
198.0	3.0
199.0	4.0
200.0	8.0
201.0	3.0
202.0	5.0
205.0	1.0
207.0	3.0
208.0	5.0
209.0	2.0
210.0	1.0
211.0	6.0
212.0	8.0
213.0	2.0
215.0	1.0
216.0	1.0
217.0	5.0
218.0	2.0
223.0	1.0
225.0	1.0
226.0	3.0
227.0	4.0
228.0	3.0
229.0	5.0
230.0	3.0
231.0	6.0
232.0	3.0
233.0	2.0
234.0	1.0
236.0	3.0
238.0	1.0
247.0	1.0
257.0	1.0
263.0	1.0
265.0	1.0
271.0	1.0
275.0	1.0
289.0	1.0
301.0	1.0
302.0	1.0
305.0	1.0
307.0	1.0
317.0	1.0
324.0	1.0
337.0	1.0
357.0	1.0
366.0	1.0
377.0	1.0
382.0	1.0
384.0	1.0
385.0	1.0
402.0	1.0
406.0	1.0
409.0	1.0
410.0	1.0
411.0	1.0
412.0	1.0
423.0	1.0
424.0	1.0
428.0	1.0
430.0	1.0
434.0	1.0
435.0	1.0
436.0	1.0
437.0	2.0
438.0	2.0
439.0	5.0
440.0	3.0
441.0	7.0
442.0	6.0
443.0	6.0
444.0	7.0
445.0	5.0
446.0	6.0
447.0	9.0
448.0	7.0
449.0	6.0
450.0	5.0
451.0	3.0
452.0	3.0
453.0	5.0
454.0	4.0
455.0	2.0
456.0	2.0
457.0	4.0
458.0	4.0
459.0	2.0
464.0	1.0
465.0	1.0
469.0	1.0
471.0	1.0
472.0	2.0
473.0	1.0
474.0	1.0
475.0	1.0
476.0	1.0
480.0	2.0
481.0	2.0
482.0	1.0
483.0	1.0
487.0	4.0
488.0	2.0
489.0	4.0
490.0	4.0
492.0	3.0
495.0	2.0
496.0	3.0
498.0	4.0
499.0	4.0
500.0	3.0
501.0	2.0
502.0	3.0
503.0	3.0
504.0	3.0
505.0	4.0
506.0	5.0
507.0	1.0
508.0	3.0
509.0	2.0
510.0	1.0
511.0	2.0
512.0	3.0
513.0	3.0
514.0	2.0
515.0	2.0
516.0	2.0
517.0	2.0
518.0	5.0
519.0	1.0
522.0	1.0
523.0	1.0
524.0	1.0
525.0	3.0
526.0	3.0
528.0	2.0
529.0	1.0
530.0	1.0
531.0	3.0
532.0	7.0
533.0	2.0
534.0	1.0
535.0	2.0
536.0	1.0
539.0	1.0
540.0	3.0
541.0	1.0
542.0	4.0
543.0	3.0
544.0	2.0
545.0	1.0
547.0	1.0
548.0	1.0
549.0	1.0
551.0	3.0
552.0	2.0
555.0	1.0
556.0	1.0
559.0	1.0
560.0	2.0
561.0	1.0
562.0	1.0
563.0	2.0
564.0	1.0
565.0	2.0
566.0	1.0
569.0	2.0
570.0	4.0
571.0	1.0
572.0	6.0
573.0	4.0
574.0	2.0
575.0	5.0
576.0	4.0
577.0	7.0
578.0	2.0
579.0	4.0
581.0	2.0
582.0	3.0
583.0	1.0
586.0	2.0
587.0	2.0
588.0	2.0
590.0	1.0
591.0	1.0
592.0	2.0
593.0	2.0
595.0	1.0
596.0	1.0
598.0	1.0
599.0	2.0
600.0	1.0
601.0	1.0
607.0	1.0
610.0	2.0
612.0	1.0
614.0	1.0
616.0	1.0
