#Insert size (bp)	insert size
2.0	5.0
3.0	10.0
4.0	2.0
5.0	1.0
6.0	8.0
7.0	2.0
8.0	1.0
9.0	2.0
10.0	4.0
11.0	1.0
12.0	7.0
13.0	10.0
14.0	15.0
15.0	15.0
16.0	24.0
17.0	20.0
18.0	84.0
19.0	289.0
20.0	2312.0
21.0	333.0
22.0	740.0
23.0	192.0
24.0	230.0
25.0	3514.0
26.0	407.0
27.0	190.0
28.0	230.0
29.0	40.0
30.0	430.0
31.0	87.0
32.0	49.0
33.0	58.0
34.0	76.0
35.0	90.0
36.0	103.0
37.0	97.0
38.0	95.0
39.0	142.0
40.0	113.0
41.0	147.0
42.0	142.0
43.0	166.0
44.0	186.0
45.0	185.0
46.0	265.0
47.0	229.0
48.0	243.0
49.0	228.0
50.0	273.0
51.0	306.0
52.0	307.0
53.0	337.0
54.0	343.0
55.0	341.0
56.0	390.0
57.0	361.0
58.0	415.0
59.0	461.0
60.0	448.0
61.0	455.0
62.0	494.0
63.0	508.0
64.0	517.0
65.0	567.0
66.0	583.0
67.0	623.0
68.0	660.0
69.0	641.0
70.0	713.0
71.0	736.0
72.0	696.0
73.0	735.0
74.0	806.0
75.0	865.0
76.0	908.0
77.0	946.0
78.0	939.0
79.0	930.0
80.0	947.0
81.0	1052.0
82.0	1047.0
83.0	1086.0
84.0	1104.0
85.0	1079.0
86.0	1157.0
87.0	1201.0
88.0	1208.0
89.0	1205.0
90.0	1250.0
91.0	1263.0
92.0	1357.0
93.0	1309.0
94.0	1349.0
95.0	1399.0
96.0	1403.0
97.0	1512.0
98.0	1489.0
99.0	1501.0
100.0	1572.0
101.0	1592.0
102.0	1619.0
103.0	1611.0
104.0	1636.0
105.0	1655.0
106.0	1685.0
107.0	1696.0
108.0	1789.0
109.0	1702.0
110.0	1765.0
111.0	1803.0
112.0	1801.0
113.0	1860.0
114.0	1875.0
115.0	1898.0
116.0	1928.0
117.0	2046.0
118.0	1936.0
119.0	2066.0
120.0	2033.0
121.0	2012.0
122.0	2012.0
123.0	2119.0
124.0	2068.0
125.0	2075.0
126.0	2120.0
127.0	2168.0
128.0	2151.0
129.0	2179.0
130.0	2238.0
131.0	2207.0
132.0	2235.0
133.0	2231.0
134.0	2297.0
135.0	2281.0
136.0	2289.0
137.0	2343.0
138.0	2265.0
139.0	2303.0
140.0	2355.0
141.0	2359.0
142.0	2372.0
143.0	2324.0
144.0	2287.0
145.0	2327.0
146.0	2256.0
147.0	2362.0
148.0	2387.0
149.0	2355.0
150.0	2415.0
151.0	2382.0
152.0	2382.0
153.0	2412.0
154.0	2488.0
155.0	2356.0
156.0	2432.0
157.0	2388.0
158.0	2340.0
159.0	2388.0
160.0	2439.0
161.0	2370.0
162.0	2345.0
163.0	2340.0
164.0	2441.0
165.0	2412.0
166.0	2434.0
167.0	2416.0
168.0	2407.0
169.0	2416.0
170.0	2430.0
171.0	2437.0
172.0	2395.0
173.0	2387.0
174.0	2362.0
175.0	2387.0
176.0	2321.0
177.0	2409.0
178.0	2455.0
179.0	2373.0
180.0	2437.0
181.0	2314.0
182.0	2296.0
183.0	2434.0
184.0	2373.0
185.0	2260.0
186.0	2326.0
187.0	2328.0
188.0	2277.0
189.0	2324.0
190.0	2299.0
191.0	2305.0
192.0	2227.0
193.0	2203.0
194.0	2298.0
195.0	2258.0
196.0	2211.0
197.0	2267.0
198.0	2229.0
199.0	2189.0
200.0	2211.0
201.0	2267.0
202.0	2193.0
203.0	2222.0
204.0	2185.0
205.0	2192.0
206.0	2207.0
207.0	2159.0
208.0	2211.0
209.0	2268.0
210.0	2087.0
211.0	2179.0
212.0	2139.0
213.0	2123.0
214.0	2119.0
215.0	2101.0
216.0	2126.0
217.0	2056.0
218.0	2066.0
219.0	2070.0
220.0	2099.0
221.0	2006.0
222.0	2053.0
223.0	2025.0
224.0	1985.0
225.0	2018.0
226.0	1969.0
227.0	2015.0
228.0	1938.0
229.0	2002.0
230.0	1978.0
231.0	1985.0
232.0	1953.0
233.0	1959.0
234.0	1875.0
235.0	1946.0
236.0	1836.0
237.0	1902.0
238.0	1869.0
239.0	1799.0
240.0	1822.0
241.0	1810.0
242.0	1814.0
243.0	1825.0
244.0	1825.0
245.0	1775.0
246.0	1845.0
247.0	1824.0
248.0	1851.0
249.0	1827.0
250.0	1772.0
251.0	1786.0
252.0	1699.0
253.0	1746.0
254.0	1753.0
255.0	1766.0
256.0	1732.0
257.0	1630.0
258.0	1699.0
259.0	1673.0
260.0	1690.0
261.0	1665.0
262.0	1620.0
263.0	1648.0
264.0	1632.0
265.0	1662.0
266.0	1630.0
267.0	1668.0
268.0	1639.0
269.0	1594.0
270.0	1543.0
271.0	1525.0
272.0	1539.0
273.0	1515.0
274.0	1472.0
275.0	1515.0
276.0	1537.0
277.0	1492.0
278.0	1470.0
279.0	1451.0
280.0	1478.0
281.0	1405.0
282.0	1474.0
283.0	1417.0
284.0	1399.0
285.0	1408.0
286.0	1450.0
287.0	1427.0
288.0	1418.0
289.0	1394.0
290.0	1385.0
291.0	1380.0
292.0	1368.0
293.0	1363.0
294.0	1352.0
295.0	1327.0
296.0	1316.0
297.0	1297.0
298.0	1278.0
299.0	1261.0
300.0	1243.0
301.0	1241.0
302.0	1233.0
303.0	1270.0
304.0	1223.0
305.0	1240.0
306.0	1215.0
307.0	1219.0
308.0	1204.0
309.0	1210.0
310.0	1195.0
311.0	1174.0
312.0	1155.0
313.0	1157.0
314.0	1155.0
315.0	1091.0
316.0	1094.0
317.0	1127.0
318.0	1156.0
319.0	1067.0
320.0	1132.0
321.0	1118.0
322.0	1105.0
323.0	1097.0
324.0	1080.0
325.0	1067.0
326.0	1010.0
327.0	1006.0
328.0	1008.0
329.0	1030.0
330.0	998.0
331.0	967.0
332.0	1030.0
333.0	964.0
334.0	962.0
335.0	1003.0
336.0	969.0
337.0	960.0
338.0	925.0
339.0	914.0
340.0	925.0
341.0	948.0
342.0	923.0
343.0	919.0
344.0	895.0
345.0	877.0
346.0	892.0
347.0	902.0
348.0	908.0
349.0	899.0
350.0	899.0
351.0	850.0
352.0	884.0
353.0	887.0
354.0	875.0
355.0	863.0
356.0	871.0
357.0	878.0
358.0	839.0
359.0	848.0
360.0	842.0
361.0	858.0
362.0	828.0
363.0	861.0
364.0	850.0
365.0	840.0
366.0	873.0
367.0	875.0
368.0	896.0
369.0	856.0
370.0	863.0
371.0	836.0
372.0	829.0
373.0	818.0
374.0	864.0
375.0	825.0
376.0	845.0
377.0	811.0
378.0	805.0
379.0	757.0
380.0	762.0
381.0	725.0
382.0	665.0
383.0	612.0
384.0	592.0
385.0	529.0
386.0	572.0
387.0	489.0
388.0	449.0
389.0	547.0
390.0	479.0
391.0	444.0
392.0	416.0
393.0	410.0
394.0	392.0
395.0	329.0
396.0	312.0
397.0	315.0
398.0	288.0
399.0	283.0
400.0	273.0
401.0	237.0
402.0	229.0
403.0	222.0
404.0	239.0
405.0	197.0
406.0	193.0
407.0	200.0
408.0	167.0
409.0	164.0
410.0	180.0
411.0	175.0
412.0	154.0
413.0	148.0
414.0	137.0
415.0	136.0
416.0	122.0
417.0	114.0
418.0	117.0
419.0	114.0
420.0	105.0
421.0	107.0
422.0	110.0
423.0	120.0
424.0	121.0
425.0	117.0
426.0	104.0
427.0	120.0
428.0	99.0
429.0	120.0
430.0	105.0
431.0	117.0
432.0	99.0
433.0	113.0
434.0	100.0
435.0	90.0
436.0	91.0
437.0	89.0
438.0	92.0
439.0	102.0
440.0	83.0
441.0	99.0
442.0	108.0
443.0	86.0
444.0	84.0
445.0	89.0
446.0	99.0
447.0	88.0
448.0	82.0
449.0	75.0
450.0	77.0
451.0	73.0
452.0	86.0
453.0	92.0
454.0	87.0
455.0	69.0
456.0	63.0
457.0	81.0
458.0	72.0
459.0	87.0
460.0	84.0
461.0	75.0
462.0	79.0
463.0	61.0
464.0	88.0
465.0	83.0
466.0	61.0
467.0	55.0
468.0	58.0
469.0	47.0
470.0	64.0
471.0	71.0
472.0	71.0
473.0	51.0
474.0	57.0
475.0	61.0
476.0	52.0
477.0	59.0
478.0	54.0
479.0	58.0
480.0	48.0
481.0	57.0
482.0	44.0
483.0	53.0
484.0	42.0
485.0	46.0
486.0	53.0
487.0	36.0
488.0	50.0
489.0	27.0
490.0	49.0
491.0	42.0
492.0	41.0
493.0	47.0
494.0	46.0
495.0	39.0
496.0	45.0
497.0	44.0
498.0	48.0
499.0	45.0
500.0	35.0
501.0	36.0
502.0	41.0
503.0	37.0
504.0	41.0
505.0	40.0
506.0	33.0
507.0	37.0
508.0	38.0
509.0	40.0
510.0	40.0
511.0	39.0
512.0	26.0
513.0	40.0
514.0	34.0
515.0	26.0
516.0	37.0
517.0	28.0
518.0	28.0
519.0	29.0
520.0	33.0
521.0	15.0
522.0	26.0
523.0	29.0
524.0	27.0
525.0	23.0
526.0	23.0
527.0	29.0
528.0	29.0
529.0	33.0
530.0	26.0
531.0	22.0
532.0	29.0
533.0	26.0
534.0	29.0
535.0	20.0
536.0	24.0
537.0	24.0
538.0	23.0
539.0	27.0
540.0	58.0
541.0	35.0
542.0	24.0
543.0	18.0
544.0	18.0
545.0	20.0
546.0	30.0
547.0	17.0
548.0	23.0
549.0	22.0
550.0	22.0
551.0	19.0
552.0	12.0
553.0	21.0
554.0	10.0
555.0	23.0
556.0	16.0
557.0	19.0
558.0	18.0
559.0	25.0
560.0	12.0
561.0	14.0
562.0	15.0
563.0	15.0
564.0	14.0
565.0	18.0
566.0	20.0
567.0	16.0
568.0	18.0
569.0	17.0
570.0	19.0
571.0	11.0
572.0	10.0
573.0	28.0
574.0	13.0
575.0	14.0
576.0	13.0
