#Duplication rate	Coverage
1.0	545.0
2.0	661.0
3.0	588.0
4.0	614.0
5.0	583.0
6.0	635.0
7.0	710.0
8.0	651.0
9.0	685.0
10.0	683.0
11.0	695.0
12.0	720.0
13.0	721.0
14.0	741.0
15.0	732.0
16.0	709.0
17.0	712.0
18.0	685.0
19.0	664.0
20.0	644.0
21.0	612.0
22.0	591.0
23.0	541.0
24.0	604.0
25.0	581.0
26.0	543.0
27.0	493.0
28.0	504.0
29.0	461.0
30.0	436.0
31.0	450.0
32.0	380.0
33.0	422.0
34.0	372.0
35.0	344.0
36.0	332.0
37.0	333.0
38.0	290.0
39.0	289.0
40.0	269.0
41.0	264.0
42.0	288.0
43.0	251.0
44.0	223.0
45.0	214.0
46.0	199.0
47.0	193.0
48.0	165.0
49.0	167.0
50.0	4656.0
