#Mapping quality	mapping quality
0.0	1.0
5.0	3.0
8.0	20.0
10.0	1.0
11.0	2.0
12.0	44.0
14.0	1.0
15.0	21.0
17.0	44.0
18.0	50.0
19.0	43.0
20.0	7.0
21.0	65.0
22.0	29.0
23.0	43.0
24.0	7.0
25.0	2.0
26.0	8.0
27.0	2.0
28.0	4.0
29.0	2.0
30.0	1.0
31.0	3.0
32.0	43.0
33.0	32.0
35.0	16.0
36.0	17.0
37.0	2.0
38.0	4.0
39.0	19.0
40.0	47.0
41.0	20.0
42.0	10.0
44.0	3.0
45.0	2.0
46.0	4.0
47.0	38.0
48.0	19.0
49.0	4.0
50.0	46.0
51.0	14.0
52.0	15.0
53.0	10.0
54.0	13.0
55.0	24.0
56.0	5.0
57.0	29.0
58.0	4.0
59.0	134.0
60.0	12147.0
