#Coverage	Number of genomic locations
0.0	8692.0
1.0	3695.0
2.0	3143.0
3.0	1524.0
4.0	1403.0
5.0	1138.0
6.0	1184.0
7.0	668.0
8.0	651.0
9.0	595.0
10.0	410.0
11.0	504.0
12.0	381.0
13.0	364.0
14.0	356.0
15.0	306.0
16.0	313.0
17.0	225.0
18.0	255.0
19.0	259.0
20.0	127.0
21.0	154.0
22.0	75.0
23.0	67.0
24.0	71.0
25.0	85.0
26.0	96.0
27.0	76.0
28.0	32.0
29.0	18.0
30.0	35.0
31.0	7.0
32.0	14.0
33.0	25.0
34.0	25.0
35.0	11.0
36.0	8.0
37.0	22.0
38.0	26.0
39.0	33.0
40.0	34.0
41.0	28.0
42.0	8.0
43.0	9.0
44.0	5.0
45.0	2.0
46.0	8.0
47.0	31.0
48.0	42.0
49.0	10.0
50.0	35.0
51.0	12.0
52.0	9.0
53.0	12.0
54.0	10.0
55.0	19.0
56.0	25.0
57.0	9.0
58.0	5.0
59.0	16.0
60.0	9.0
61.0	5.0
62.0	8.0
63.0	10.0
64.0	28.0
65.0	38.0
66.0	14.0
67.0	7.0
68.0	4.0
69.0	2.0
70.0	2.0
71.0	10.0
72.0	6.0
73.0	7.0
74.0	19.0
75.0	12.0
76.0	16.0
77.0	9.0
78.0	20.0
79.0	14.0
80.0	10.0
81.0	14.0
82.0	19.0
83.0	21.0
84.0	14.0
85.0	7.0
86.0	13.0
87.0	19.0
88.0	17.0
89.0	11.0
90.0	10.0
91.0	7.0
92.0	3.0
93.0	22.0
94.0	15.0
95.0	24.0
96.0	31.0
97.0	26.0
98.0	24.0
99.0	20.0
100.0	34.0
101.0	17.0
102.0	4.0
103.0	15.0
104.0	17.0
105.0	20.0
106.0	26.0
107.0	13.0
108.0	20.0
109.0	17.0
110.0	13.0
111.0	12.0
112.0	18.0
113.0	19.0
114.0	18.0
115.0	15.0
116.0	13.0
117.0	9.0
118.0	11.0
119.0	5.0
120.0	4.0
121.0	18.0
122.0	19.0
123.0	14.0
124.0	11.0
125.0	12.0
126.0	10.0
127.0	7.0
128.0	15.0
129.0	14.0
130.0	18.0
131.0	14.0
132.0	23.0
133.0	18.0
134.0	10.0
135.0	17.0
136.0	8.0
137.0	7.0
138.0	9.0
139.0	14.0
140.0	26.0
141.0	18.0
142.0	12.0
143.0	15.0
144.0	9.0
145.0	7.0
146.0	16.0
147.0	10.0
148.0	13.0
149.0	9.0
150.0	12.0
151.0	12.0
152.0	9.0
153.0	11.0
154.0	22.0
155.0	15.0
156.0	19.0
157.0	13.0
158.0	15.0
159.0	13.0
160.0	16.0
161.0	9.0
162.0	7.0
163.0	15.0
164.0	4.0
165.0	9.0
166.0	17.0
167.0	16.0
168.0	11.0
169.0	4.0
170.0	3.0
171.0	2.0
172.0	6.0
173.0	6.0
174.0	3.0
175.0	6.0
176.0	7.0
177.0	7.0
178.0	4.0
179.0	10.0
180.0	7.0
181.0	6.0
182.0	3.0
183.0	2.0
184.0	4.0
185.0	6.0
186.0	9.0
187.0	4.0
188.0	7.0
189.0	4.0
190.0	8.0
191.0	4.0
192.0	4.0
193.0	2.0
194.0	6.0
195.0	3.0
196.0	4.0
197.0	4.0
198.0	5.0
199.0	2.0
200.0	2.0
201.0	7.0
202.0	4.0
203.0	4.0
204.0	3.0
205.0	2.0
206.0	2.0
207.0	6.0
208.0	3.0
