#Insert size (bp)	insert size
2.0	13.0
3.0	69.0
4.0	9.0
5.0	14.0
6.0	7.0
7.0	4.0
8.0	2.0
9.0	4.0
10.0	3.0
15.0	1.0
16.0	3.0
17.0	7.0
18.0	8.0
19.0	317.0
20.0	2917.0
21.0	252.0
22.0	417.0
23.0	252.0
24.0	2121.0
25.0	5681.0
26.0	1216.0
27.0	7665.0
28.0	7360.0
29.0	561.0
30.0	1716.0
31.0	18.0
32.0	1.0
47.0	1.0
50.0	2.0
55.0	1.0
66.0	1.0
69.0	1.0
71.0	4.0
72.0	3.0
73.0	2.0
74.0	1.0
75.0	1.0
77.0	1.0
79.0	2.0
80.0	1.0
82.0	2.0
83.0	2.0
86.0	1.0
87.0	2.0
88.0	1.0
90.0	1.0
92.0	1.0
94.0	2.0
96.0	1.0
97.0	2.0
99.0	2.0
100.0	1.0
101.0	3.0
102.0	3.0
103.0	3.0
106.0	1.0
107.0	2.0
108.0	2.0
109.0	1.0
112.0	1.0
113.0	2.0
114.0	3.0
115.0	2.0
118.0	1.0
119.0	2.0
120.0	2.0
121.0	3.0
122.0	2.0
123.0	1.0
124.0	2.0
126.0	3.0
127.0	4.0
128.0	5.0
129.0	4.0
130.0	4.0
131.0	2.0
132.0	1.0
133.0	4.0
135.0	2.0
136.0	4.0
137.0	2.0
138.0	9.0
139.0	9.0
140.0	3.0
141.0	18.0
142.0	10.0
143.0	10.0
144.0	1.0
145.0	3.0
146.0	1.0
147.0	10.0
148.0	9.0
149.0	24.0
150.0	25.0
151.0	31.0
152.0	19.0
153.0	33.0
154.0	25.0
155.0	23.0
156.0	21.0
157.0	22.0
158.0	28.0
159.0	20.0
160.0	26.0
161.0	19.0
162.0	20.0
163.0	24.0
164.0	34.0
165.0	16.0
166.0	18.0
167.0	24.0
168.0	16.0
169.0	19.0
170.0	25.0
171.0	31.0
172.0	22.0
173.0	20.0
174.0	28.0
175.0	20.0
176.0	23.0
177.0	20.0
178.0	29.0
179.0	24.0
180.0	30.0
181.0	23.0
182.0	28.0
183.0	30.0
184.0	26.0
185.0	23.0
186.0	30.0
187.0	22.0
188.0	26.0
189.0	24.0
190.0	30.0
191.0	22.0
192.0	22.0
193.0	23.0
194.0	27.0
195.0	20.0
196.0	25.0
197.0	19.0
198.0	22.0
199.0	20.0
200.0	18.0
201.0	14.0
202.0	27.0
203.0	17.0
204.0	19.0
205.0	24.0
206.0	19.0
207.0	24.0
208.0	18.0
209.0	15.0
210.0	21.0
211.0	23.0
212.0	17.0
213.0	19.0
214.0	18.0
215.0	14.0
216.0	26.0
217.0	21.0
218.0	18.0
219.0	11.0
220.0	20.0
221.0	19.0
222.0	22.0
223.0	24.0
224.0	17.0
225.0	12.0
226.0	22.0
227.0	28.0
228.0	20.0
229.0	18.0
230.0	17.0
231.0	23.0
232.0	18.0
233.0	19.0
234.0	15.0
235.0	16.0
236.0	24.0
237.0	17.0
238.0	22.0
239.0	15.0
240.0	16.0
241.0	14.0
242.0	15.0
243.0	14.0
244.0	16.0
245.0	19.0
246.0	16.0
247.0	19.0
248.0	11.0
249.0	13.0
250.0	13.0
251.0	16.0
252.0	16.0
253.0	15.0
254.0	13.0
255.0	12.0
256.0	13.0
257.0	12.0
258.0	11.0
259.0	10.0
260.0	8.0
261.0	14.0
262.0	10.0
263.0	19.0
264.0	15.0
265.0	11.0
266.0	14.0
267.0	13.0
268.0	9.0
269.0	10.0
270.0	14.0
271.0	16.0
272.0	10.0
273.0	7.0
274.0	7.0
275.0	11.0
276.0	8.0
277.0	10.0
278.0	14.0
279.0	14.0
280.0	8.0
281.0	11.0
282.0	8.0
283.0	9.0
284.0	12.0
285.0	10.0
286.0	16.0
287.0	10.0
288.0	8.0
289.0	11.0
290.0	7.0
291.0	14.0
292.0	11.0
293.0	9.0
294.0	8.0
295.0	8.0
296.0	5.0
297.0	10.0
298.0	9.0
299.0	10.0
300.0	9.0
301.0	14.0
302.0	4.0
303.0	7.0
304.0	10.0
305.0	6.0
306.0	9.0
307.0	6.0
308.0	9.0
309.0	9.0
310.0	4.0
311.0	6.0
312.0	7.0
313.0	9.0
314.0	8.0
315.0	4.0
316.0	9.0
317.0	8.0
318.0	7.0
319.0	4.0
320.0	8.0
321.0	4.0
322.0	7.0
323.0	6.0
324.0	3.0
325.0	9.0
326.0	5.0
327.0	6.0
328.0	9.0
329.0	3.0
330.0	3.0
331.0	6.0
332.0	4.0
333.0	1.0
334.0	3.0
335.0	2.0
336.0	1.0
337.0	8.0
338.0	4.0
339.0	4.0
340.0	6.0
341.0	4.0
342.0	1.0
343.0	4.0
344.0	6.0
345.0	2.0
346.0	8.0
347.0	9.0
348.0	49.0
349.0	17.0
350.0	13.0
351.0	66.0
352.0	248.0
353.0	1892.0
354.0	397.0
355.0	109.0
356.0	81.0
357.0	61.0
358.0	80.0
359.0	27.0
360.0	17.0
361.0	23.0
362.0	11.0
363.0	13.0
364.0	8.0
365.0	11.0
366.0	9.0
367.0	6.0
368.0	7.0
369.0	5.0
370.0	7.0
371.0	9.0
372.0	6.0
373.0	2.0
374.0	2.0
375.0	3.0
376.0	1.0
377.0	1.0
378.0	1.0
379.0	3.0
380.0	6.0
381.0	1.0
382.0	1.0
388.0	1.0
391.0	1.0
401.0	1.0
403.0	3.0
408.0	1.0
984.0	1.0
985.0	2.0
986.0	71.0
987.0	127.0
988.0	2328.0
989.0	168.0
990.0	73.0
991.0	70.0
992.0	115.0
993.0	98.0
994.0	2006.0
995.0	74.0
996.0	40.0
997.0	49.0
998.0	19.0
999.0	19.0
1007.0	2.0
1025.0	1.0
1026.0	1.0
1027.0	1.0
1028.0	1.0
1035.0	2.0
1036.0	71.0
1037.0	8.0
1244.0	1.0
1391.0	18.0
1392.0	39.0
1393.0	635.0
1394.0	239.0
1395.0	10.0
1396.0	38.0
1397.0	6.0
1398.0	1.0
1399.0	1.0
1400.0	5.0
1401.0	1.0
1402.0	4.0
1403.0	2.0
1411.0	1.0
1412.0	2.0
1438.0	2.0
1440.0	2.0
1474.0	7.0
1491.0	1.0
1492.0	2.0
1497.0	1.0
1500.0	2.0
1504.0	1.0
1646.0	1.0
1736.0	1.0
1767.0	1.0
1769.0	4.0
1770.0	26.0
1771.0	30.0
1772.0	266.0
1773.0	12.0
1774.0	4.0
1775.0	14.0
1776.0	2.0
1777.0	22.0
1778.0	1.0
1848.0	8.0
1849.0	47.0
1850.0	12.0
1851.0	2.0
1853.0	3.0
1854.0	1.0
1855.0	3.0
1856.0	1.0
1857.0	3.0
1858.0	1.0
1860.0	1.0
1861.0	1.0
1862.0	1.0
1867.0	2.0
1870.0	1.0
1872.0	23.0
1873.0	17.0
1874.0	73.0
1875.0	6047.0
1876.0	3152.0
1877.0	36.0
1878.0	4.0
1886.0	1.0
1893.0	2.0
1896.0	1.0
1897.0	2.0
1903.0	1.0
1910.0	2.0
1911.0	1.0
1921.0	1.0
1922.0	3.0
1930.0	3.0
1938.0	1.0
1949.0	1.0
1950.0	1.0
1951.0	1.0
1957.0	1.0
1963.0	1.0
1985.0	1.0
1987.0	1.0
1990.0	2.0
2048.0	1.0
2063.0	1.0
2091.0	1.0
2121.0	1.0
2123.0	1.0
2217.0	1.0
2219.0	1.0
2245.0	1.0
2246.0	1.0
2317.0	1.0
2396.0	2.0
2398.0	113.0
2399.0	2640.0
2400.0	1329.0
2401.0	123.0
2402.0	246.0
2403.0	92.0
2404.0	51.0
2405.0	741.0
2406.0	280.0
2407.0	50.0
2408.0	99.0
2409.0	47.0
2410.0	22.0
2411.0	16.0
2412.0	29.0
2413.0	8.0
2414.0	7.0
2415.0	7.0
2416.0	2.0
2417.0	2.0
2418.0	1.0
2420.0	1.0
2421.0	1.0
2423.0	16.0
2424.0	7.0
2425.0	1.0
2426.0	7.0
2427.0	1.0
2441.0	1.0
2443.0	2.0
2444.0	8.0
2446.0	10.0
2447.0	4.0
2448.0	10.0
2449.0	41.0
2450.0	179.0
2451.0	26.0
2454.0	1.0
2455.0	5.0
2741.0	1.0
2773.0	5.0
2776.0	50.0
2777.0	74.0
2778.0	781.0
2779.0	57.0
2780.0	42.0
2781.0	21.0
2782.0	29.0
2783.0	51.0
2784.0	632.0
2785.0	42.0
2786.0	16.0
2787.0	13.0
2788.0	15.0
2789.0	16.0
2791.0	3.0
2792.0	4.0
2793.0	2.0
2794.0	2.0
2825.0	10.0
3265.0	1.0
3266.0	6.0
3267.0	6.0
3268.0	106.0
3269.0	4.0
3270.0	1.0
3272.0	2.0
3273.0	3.0
3274.0	1.0
3275.0	4.0
3276.0	3.0
3279.0	2.0
3281.0	1.0
3355.0	1.0
3439.0	1.0
3581.0	1.0
3586.0	1.0
3655.0	1.0
