#Coverage	Number of genomic locations
0.0	643.0
1.0	186.0
2.0	182.0
3.0	79.0
4.0	87.0
5.0	130.0
6.0	130.0
7.0	67.0
8.0	56.0
9.0	107.0
10.0	98.0
11.0	109.0
12.0	88.0
13.0	56.0
14.0	58.0
15.0	76.0
16.0	57.0
17.0	42.0
18.0	51.0
19.0	53.0
20.0	26.0
21.0	26.0
22.0	26.0
23.0	41.0
24.0	35.0
25.0	47.0
26.0	44.0
27.0	38.0
28.0	39.0
29.0	44.0
30.0	31.0
31.0	34.0
32.0	38.0
33.0	27.0
34.0	38.0
35.0	25.0
36.0	36.0
37.0	41.0
38.0	22.0
39.0	36.0
40.0	26.0
41.0	14.0
42.0	32.0
43.0	22.0
44.0	27.0
45.0	25.0
46.0	21.0
47.0	25.0
48.0	18.0
49.0	25.0
50.0	25.0
51.0	16.0
52.0	16.0
53.0	20.0
54.0	18.0
55.0	16.0
56.0	19.0
57.0	16.0
58.0	17.0
59.0	12.0
60.0	14.0
61.0	12.0
62.0	9.0
63.0	30.0
64.0	34.0
65.0	23.0
66.0	21.0
67.0	21.0
68.0	38.0
69.0	30.0
70.0	24.0
71.0	33.0
72.0	21.0
73.0	22.0
74.0	26.0
75.0	19.0
76.0	22.0
77.0	22.0
78.0	21.0
79.0	13.0
80.0	28.0
81.0	15.0
82.0	19.0
83.0	22.0
84.0	22.0
85.0	24.0
86.0	23.0
87.0	24.0
88.0	27.0
89.0	20.0
90.0	17.0
91.0	21.0
92.0	22.0
93.0	19.0
94.0	22.0
95.0	16.0
96.0	14.0
97.0	14.0
98.0	18.0
99.0	22.0
100.0	17.0
101.0	14.0
102.0	4.0
103.0	11.0
104.0	9.0
105.0	14.0
106.0	2.0
107.0	11.0
108.0	5.0
109.0	9.0
110.0	13.0
111.0	19.0
112.0	8.0
113.0	12.0
114.0	12.0
115.0	9.0
116.0	9.0
117.0	14.0
118.0	7.0
119.0	5.0
120.0	6.0
121.0	16.0
122.0	7.0
123.0	12.0
124.0	15.0
125.0	9.0
126.0	6.0
127.0	6.0
128.0	5.0
129.0	4.0
130.0	8.0
131.0	9.0
132.0	7.0
133.0	7.0
134.0	13.0
135.0	7.0
136.0	9.0
137.0	11.0
138.0	9.0
139.0	9.0
140.0	6.0
141.0	15.0
142.0	21.0
143.0	7.0
144.0	13.0
145.0	8.0
146.0	12.0
147.0	13.0
148.0	9.0
149.0	10.0
150.0	4.0
151.0	9.0
152.0	11.0
153.0	9.0
154.0	5.0
155.0	6.0
156.0	7.0
157.0	12.0
158.0	13.0
159.0	9.0
160.0	15.0
161.0	19.0
162.0	7.0
163.0	13.0
164.0	13.0
165.0	14.0
166.0	13.0
167.0	13.0
168.0	12.0
169.0	13.0
170.0	13.0
171.0	18.0
172.0	13.0
173.0	15.0
174.0	19.0
175.0	22.0
176.0	23.0
177.0	13.0
178.0	16.0
179.0	15.0
180.0	12.0
181.0	12.0
182.0	19.0
183.0	11.0
184.0	11.0
185.0	14.0
186.0	10.0
187.0	11.0
188.0	10.0
189.0	5.0
190.0	16.0
191.0	17.0
192.0	15.0
193.0	16.0
194.0	11.0
195.0	11.0
196.0	14.0
197.0	17.0
198.0	20.0
199.0	14.0
200.0	12.0
201.0	22.0
202.0	17.0
203.0	11.0
204.0	13.0
205.0	12.0
206.0	17.0
207.0	10.0
208.0	21.0
209.0	10.0
210.0	12.0
211.0	12.0
212.0	19.0
213.0	14.0
214.0	12.0
215.0	12.0
216.0	16.0
217.0	14.0
218.0	12.0
219.0	13.0
220.0	9.0
221.0	8.0
222.0	18.0
223.0	13.0
224.0	8.0
225.0	18.0
226.0	13.0
227.0	8.0
228.0	4.0
229.0	14.0
230.0	8.0
231.0	13.0
232.0	7.0
233.0	13.0
234.0	9.0
235.0	8.0
236.0	4.0
237.0	5.0
238.0	8.0
239.0	7.0
240.0	4.0
241.0	6.0
242.0	9.0
243.0	21.0
244.0	12.0
245.0	9.0
246.0	13.0
247.0	7.0
248.0	21.0
249.0	4.0
250.0	16.0
251.0	11.0
