#Read position (bp)	Clipping profile
0.0	14.454203262233376
1.0	14.451693851944794
2.0	11.074027603513175
3.0	6.567126725219572
4.0	3.4654956085319952
5.0	0.958594730238394
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	1.809284818067754
31.0	4.358845671267252
32.0	8.145545796737768
33.0	11.407779171894605
34.0	13.452948557089083
35.0	9.854454203262234
