#Duplication rate	Coverage
1.0	1444.0
2.0	1033.0
3.0	823.0
4.0	731.0
5.0	576.0
6.0	588.0
7.0	459.0
8.0	396.0
9.0	402.0
10.0	350.0
11.0	356.0
12.0	290.0
13.0	284.0
14.0	257.0
15.0	274.0
16.0	266.0
17.0	215.0
18.0	225.0
19.0	224.0
20.0	227.0
21.0	201.0
22.0	196.0
23.0	177.0
24.0	181.0
25.0	177.0
26.0	188.0
27.0	153.0
28.0	177.0
29.0	157.0
30.0	136.0
31.0	120.0
32.0	126.0
33.0	122.0
34.0	113.0
35.0	129.0
36.0	125.0
37.0	110.0
38.0	120.0
39.0	107.0
40.0	108.0
41.0	108.0
42.0	109.0
43.0	96.0
44.0	106.0
45.0	93.0
46.0	85.0
47.0	89.0
48.0	95.0
49.0	112.0
50.0	12332.0
