#Duplication rate	Coverage
1.0	283.0
2.0	67.0
3.0	61.0
4.0	70.0
5.0	56.0
6.0	49.0
7.0	64.0
8.0	56.0
9.0	71.0
10.0	57.0
11.0	59.0
12.0	78.0
13.0	101.0
14.0	73.0
15.0	79.0
16.0	68.0
17.0	61.0
18.0	80.0
19.0	71.0
20.0	79.0
21.0	71.0
22.0	72.0
23.0	76.0
24.0	91.0
25.0	71.0
26.0	78.0
27.0	86.0
28.0	88.0
29.0	86.0
30.0	69.0
31.0	85.0
32.0	68.0
33.0	82.0
34.0	95.0
35.0	80.0
36.0	83.0
37.0	71.0
38.0	83.0
39.0	84.0
40.0	83.0
41.0	92.0
42.0	76.0
43.0	64.0
44.0	89.0
45.0	74.0
46.0	79.0
47.0	90.0
48.0	63.0
49.0	60.0
50.0	13988.0
