#Coverage	Number of genomic locations
1.0	49.0
2.0	8.0
3.0	29.0
4.0	10.0
5.0	8.0
6.0	27.0
7.0	14.0
8.0	9.0
9.0	32.0
10.0	11.0
11.0	9.0
12.0	38.0
13.0	20.0
14.0	21.0
15.0	42.0
16.0	52.0
17.0	53.0
18.0	50.0
19.0	34.0
20.0	89.0
21.0	111.0
22.0	63.0
23.0	50.0
24.0	35.0
25.0	10.0
26.0	33.0
27.0	27.0
28.0	33.0
29.0	52.0
30.0	14.0
31.0	47.0
32.0	46.0
33.0	44.0
34.0	32.0
35.0	44.0
36.0	55.0
37.0	74.0
38.0	54.0
39.0	89.0
40.0	77.0
41.0	75.0
42.0	131.0
43.0	132.0
44.0	105.0
45.0	137.0
46.0	145.0
47.0	139.0
48.0	170.0
49.0	133.0
50.0	112.0
51.0	98.0
52.0	154.0
53.0	160.0
54.0	111.0
55.0	122.0
56.0	142.0
57.0	191.0
58.0	217.0
59.0	166.0
60.0	128.0
61.0	130.0
62.0	135.0
63.0	134.0
64.0	247.0
65.0	185.0
66.0	163.0
67.0	213.0
68.0	231.0
69.0	229.0
70.0	184.0
71.0	194.0
72.0	216.0
73.0	177.0
74.0	178.0
75.0	202.0
76.0	196.0
77.0	265.0
78.0	246.0
79.0	193.0
80.0	174.0
81.0	210.0
82.0	202.0
83.0	210.0
84.0	229.0
85.0	244.0
86.0	266.0
87.0	285.0
88.0	264.0
89.0	196.0
90.0	203.0
91.0	258.0
92.0	221.0
93.0	243.0
94.0	232.0
95.0	228.0
96.0	232.0
97.0	266.0
98.0	227.0
99.0	203.0
100.0	174.0
101.0	192.0
102.0	181.0
103.0	179.0
104.0	214.0
105.0	186.0
106.0	202.0
107.0	219.0
108.0	204.0
109.0	219.0
110.0	227.0
111.0	218.0
112.0	200.0
113.0	217.0
114.0	227.0
115.0	221.0
116.0	191.0
117.0	207.0
118.0	214.0
119.0	226.0
120.0	204.0
121.0	218.0
122.0	193.0
123.0	226.0
124.0	193.0
125.0	173.0
126.0	188.0
127.0	146.0
128.0	134.0
129.0	162.0
130.0	173.0
131.0	162.0
132.0	134.0
133.0	121.0
134.0	137.0
135.0	136.0
136.0	155.0
137.0	153.0
138.0	131.0
139.0	135.0
140.0	163.0
141.0	141.0
142.0	159.0
143.0	136.0
144.0	119.0
145.0	125.0
146.0	113.0
147.0	114.0
148.0	104.0
149.0	135.0
150.0	112.0
151.0	104.0
152.0	103.0
153.0	98.0
154.0	103.0
155.0	92.0
156.0	97.0
157.0	96.0
158.0	110.0
159.0	87.0
160.0	92.0
161.0	73.0
162.0	84.0
163.0	108.0
164.0	89.0
165.0	96.0
166.0	74.0
167.0	96.0
168.0	97.0
169.0	110.0
170.0	87.0
171.0	102.0
172.0	82.0
173.0	88.0
174.0	110.0
175.0	74.0
176.0	68.0
177.0	88.0
178.0	71.0
179.0	61.0
180.0	70.0
181.0	65.0
182.0	56.0
183.0	63.0
184.0	73.0
185.0	78.0
186.0	65.0
187.0	91.0
188.0	97.0
189.0	66.0
190.0	83.0
191.0	65.0
192.0	69.0
193.0	60.0
194.0	70.0
195.0	52.0
196.0	68.0
197.0	58.0
198.0	57.0
199.0	46.0
200.0	61.0
201.0	44.0
202.0	34.0
203.0	51.0
204.0	45.0
205.0	42.0
206.0	51.0
207.0	61.0
208.0	63.0
209.0	56.0
210.0	45.0
211.0	48.0
212.0	42.0
213.0	67.0
214.0	64.0
215.0	56.0
216.0	30.0
217.0	40.0
218.0	44.0
219.0	38.0
220.0	41.0
221.0	41.0
222.0	36.0
223.0	34.0
224.0	34.0
225.0	34.0
226.0	42.0
227.0	40.0
228.0	36.0
229.0	37.0
230.0	26.0
231.0	37.0
232.0	22.0
233.0	23.0
234.0	32.0
235.0	39.0
236.0	35.0
237.0	43.0
238.0	27.0
239.0	23.0
240.0	27.0
241.0	23.0
242.0	44.0
243.0	26.0
244.0	23.0
245.0	33.0
246.0	30.0
247.0	28.0
248.0	26.0
249.0	29.0
250.0	28.0
251.0	33.0
